SYMBOL,PBS_IR_DMXAA,Ure_IR,Ure_mock_IR,Ure_mock_IR_DMXAA,control,Difference_Ure_IR_vs_Ure_mock_IR,Difference_Ure_IR_vs_Ure_mock_IR_DMXAA,Difference_Ure_mock_IR_vs_Ure_mock_IR_DMXAA
Rhox2d,0,1,0,0,0,1,1,0
Ribc1,0,1,0,0,0,1,1,0
Loxhd1,1,1,0,0,0,1,1,0
Rinl,0,1,0,0,0,1,1,0
Ripk1,0,1,0,0,0,1,1,0
S1pr4,0,1,1,0,0,0,1,1
Rnf207,0,1,0,0,0,1,1,0
Rnf216,0,1,0,0,0,1,1,0
Rnf8,0,1,0,0,0,1,1,0
Robo3,0,1,1,0,0,0,1,1
Robo4,0,1,0,0,0,1,1,0
Rpain,0,1,1,0,0,0,1,1
Rpap2,0,1,0,0,0,1,1,0
Rpgrip1,0,1,0,0,0,1,1,0
Rtn1,0,1,0,0,0,1,1,0
Rttn,0,1,0,0,0,1,1,0
Rwdd4a,0,1,0,0,0,1,1,0
Rnf185,0,1,0,0,0,1,1,0
Speg,0,1,0,0,0,1,1,0
Spon2,0,1,0,0,0,1,1,0
Sppl3,0,1,0,0,0,1,1,0
Srsf12,0,1,0,0,0,1,1,0
Sspn,0,1,0,0,0,1,1,0
Sstr5,0,1,0,0,0,1,1,0
St3gal6,0,1,0,0,0,1,1,0
Stac2,0,1,0,0,0,1,1,0
Stk11ip,0,1,0,0,0,1,1,0
Stk32b,0,1,0,0,0,1,1,0
Slc26a4,0,1,0,0,0,1,1,0
Stt3b,0,1,0,0,0,1,1,0
Sumf2,0,1,0,0,0,1,1,0
Svil,0,1,0,0,0,1,1,0
Syne2,0,1,0,0,0,1,1,0
Syp,0,1,0,0,0,1,1,0
Sypl,0,1,0,0,0,1,1,0
Taf11,0,1,0,0,0,1,1,0
Tafa2,0,2,1,1,0,1,1,0
Tapt1,0,1,0,0,0,1,1,0
Tbata,0,1,0,0,0,1,1,0
Tbc1d22a,0,1,0,0,0,1,1,0
Stk36,0,1,0,0,0,1,1,0
Slc28a2b,0,1,0,0,0,1,1,0
Slc35c2,0,1,0,0,0,1,1,0
Slc36a2,0,1,0,0,0,1,1,0
Slc48a1,0,1,0,0,0,1,1,0
Slc4a10,0,1,0,0,0,1,1,0
Slc4a4,0,1,0,0,0,1,1,0
Slc9a1,0,1,0,0,0,1,1,0
Slc9a2,0,1,1,0,0,0,1,1
Slc9a3r2,0,1,0,0,0,1,1,0
Slc9c1,0,1,0,0,0,1,1,0
Slco2a1,0,1,0,0,0,1,1,0
Spata45,0,1,0,0,0,1,1,0
Snrpb,0,1,0,0,0,1,1,0
Snx11,0,1,0,0,0,1,1,0
Snx2,0,1,0,0,0,1,1,0
Snx25,0,1,0,0,0,1,1,0
Soga1,0,1,0,0,0,1,1,0
Sos1,0,1,1,0,0,0,1,1
Sowahc,0,1,0,0,0,1,1,0
Sox10,0,1,0,0,0,1,1,0
Sp4,0,1,0,0,0,1,1,0
Sp5,0,1,0,0,0,1,1,0
Spata31d1b,0,1,0,0,0,1,1,0
Smc1a,0,1,0,0,0,1,1,0
Cdh12,0,1,0,0,0,1,1,0
Cdh6,0,1,0,0,0,1,1,0
Cdk17,0,1,0,0,0,1,1,0
Cdk20,0,1,0,0,0,1,1,0
Cdk5,0,1,0,0,0,1,1,0
Cdk5rap2,0,1,0,0,0,1,1,0
Cdk8,0,1,0,0,0,1,1,0
Cdkal1,0,1,0,0,0,1,1,0
Celf3,0,1,0,0,0,1,1,0
Cenpe,0,1,0,0,1,1,1,0
Lama4,0,1,0,0,0,1,1,0
Cep290,0,1,0,0,0,1,1,0
Cep95,0,1,0,0,0,1,1,0
Ces2b,0,1,0,0,0,1,1,0
Cfap58,0,1,0,0,0,1,1,0
Cfap70,0,1,0,0,0,1,1,0
Chat,0,1,0,0,0,1,1,0
Chd4,0,1,0,0,0,1,1,0
Chgb,0,1,0,0,0,1,1,0
Chic2,0,1,0,0,0,1,1,0
Chid1,0,1,0,0,0,1,1,0
Chit1,0,1,0,0,0,1,1,0
Cep135,0,1,0,0,0,1,1,0
C2cd3,0,1,0,0,0,1,1,0
Cacna1a,0,1,0,0,0,1,1,0
Cacna1b,0,1,0,0,0,1,1,0
