"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Source"
"GO:0002429","immune response-activating cell surface receptor signaling pathway","11/232, 24/865","303/28905","0.03630363, 0.0792079207920792","4.523088085, 2.64682653236422","5.545401736, 5.06138055020202","3.73e-05, 1.66502532246858e-05","0.001906815, 0.000606508061262006","0.001639325, 0.000476614347712753","12775/12518/15985/12478/217166/56792/69169/11486/12143/12482/12477, 12267/17060/83433/18751/14728/16019/16889/217303/226421/217166/56743/237754/21897/12518/56644/56620/240754/16854/414084/12478/23960/12477/20371/329693","11, 24","Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure"
"GO:0002437","inflammatory response to antigenic stimulus","7/373, 11/711, 13/865","106/28905","0.0660377358490566, 0.10377358490566, 0.122641509433962","5.11748191613132, 4.21881219648117, 4.09821136437998","4.85582706777171, 5.27224148304849, 5.61271893322304","0.000459583376748404, 6.17621108351941e-05, 1.72772103368709e-05","0.031946151165978, 0.00194863935200315, 0.000622667581166957","0.0289295641363732, 0.0015654881335267, 0.00048931303966884","18782/14125/16016/83433/14990/109648/21926, 18782/14125/14990/14728/83433/14130/109648/12514/16016/16160/16181, 18782/14990/83433/14728/14125/14130/109648/12514/16184/16016/16181/246256/16160","7, 11, 13","Ure_RT_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0002438","acute inflammatory response to antigenic stimulus","6/711, 7/865","60/28905","0.1, 0.116666666666667","4.06540084388186, 3.8985549132948","3.77453149151389, 3.94747973737561","0.0035180570366931, 0.00204091271402063","0.0368314653240898, 0.0251712568062544","0.0295894783434351, 0.0197804166342986","18782/14125/14990/14130/109648/16016, 18782/14990/14125/14130/109648/16016/246256","6, 7","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0002440","production of molecular mediator of immune response","78/373, 86/711, 93/865","423/28905","0.184397163120567, 0.203309692671395, 0.219858156028369","14.2895442359249, 8.26535396155649, 7.34682080924855","31.4819998304462, 23.9043614586774, 23.096129341425","7.8442141086229e-67, 3.99954034761471e-53, 4.68393717557675e-53","1.22683508658862e-63, 8.70699933675722e-50, 1.10049103940176e-49","1.11098842980549e-63, 6.99498556585456e-50, 8.64802716417012e-50","16142/626347/381783/385253/545847/404743/667683/667550/692187/69816/692169/381777/619846/16098/384514/667914/14125/434040/692161/14990/667940/381778/108005/434041/667924/381776/667899/240754/16447/434025/545851/108022/232065/667435/385109/628571/545848/236047/692165/243420/667881/243431/434028/434033/667865/22163/381782/546213/384515/235952/628072/628268/692245/100689/380797/384419/637227/620400/626583/19074/108024/381784/628027/619806/435900/620017/21926/384411/16193/100503545/620050/692152/628541/434039/640340/620126/108004/545850, 14125/108022/14990/637227/21687/381777/16193/545847/14728/16098/14130/667683/236047/667899/16142/11433/545851/667865/434036/381778/692152/692169/636752/243451/16447/18173/243433/667924/619846/385109/434028/243420/19074/69816/381784/692165/434025/546213/404743/385253/628027/11846/108004/435900/13844/628268/67313/667914/677858/692187/232065/235952/626347/16160/243439/620017/384515/667881/620400/108024/667550/381783/381782/108005/667435/667940/434033/692161/628144/545850/381831/100503545/546244/434041/243431/384514/640340/384419/620050/434040/13137/619806/213684/434034/692154/434039, 14990/21687/16197/22418/545847/14728/14125/16019/667683/16193/11433/14130/236047/16098/667865/381783/16142/667550/667924/108022/16447/435900/18173/381777/404743/69816/667881/620400/667914/100689/626347/380797/434025/637227/56644/108024/667899/619846/385109/667940/545851/692161/434040/677858/22163/692165/385253/434036/692169/692187/243433/240754/243420/384514/628144/381778/434041/26909/232065/628571/667435/640340/384515/628027/246256/619806/692152/108004/235952/620050/108005/243451/546244/20371/243431/434028/636752/381784/381776/19074/692245/545848/381831/546213/620126/620017/434039/628072/16160/100503545/58218/545850/628541","78, 86, 93","Ure_RT_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0002444","myeloid leukocyte mediated immunity","10/373, 17/711, 22/865","157/28905","0.0636942675159236, 0.10828025477707, 0.140127388535032","4.93587882720582, 4.40202639146443, 4.68252273480358","5.65398966218218, 6.78764489326063, 8.12623669917689","3.96277992153262e-05, 3.64697769146856e-07, 1.95511449008563e-09","0.00619778779727701, 2.88708015793711e-05, 4.17594681314199e-07","0.00561254777307593, 2.3194080131579e-05, 3.28159886661263e-07","233231/243978/14126/14125/16016/243979/14990/100689/20311/230899, 14125/14990/14126/243978/243979/233231/14130/19204/225642/13035/16414/217304/214084/11846/16016/68891/237625, 14990/243978/233231/14126/14125/225642/243979/12523/19204/16414/217303/14130/56743/217304/100689/20311/214084/16016/13035/246256/68891/58218","10, 17, 22","Ure_RT_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0002446","neutrophil mediated immunity","6/711, 7/865","41/28905","0.146341463414634, 0.170731707317073","5.94936708860759, 5.70520231213873","5.0361512354012, 5.29529299993018","0.000468245001748453, 0.000194041629338808","0.00906106105605673, 0.00434191245839551","0.00727942989852683, 0.00341202022917563","19204/13035/16414/217304/11846/68891, 19204/16414/217304/20311/13035/68891/58218","6, 7","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0002448","mast cell mediated immunity","7/373, 8/711, 11/865","70/28905","0.1, 0.114285714285714, 0.157142857142857","7.74932975871314, 4.64617239300784, 5.25111478117258","6.46423255477123, 4.85022256247353, 6.25446111355749","3.35875130322126e-05, 0.000317394729917483, 6.99325782891636e-06","0.00552956530340848, 0.00690968327030361, 0.0003044389137773","0.00500742368807114, 0.00555106677639893, 0.000239238294716853","233231/243978/14126/14125/243979/100689/230899, 14125/14126/243978/243979/233231/225642/214084/237625, 243978/233231/14126/14125/225642/243979/12523/217303/56743/100689/214084","7, 8, 11","Ure_RT_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0002449","lymphocyte mediated immunity","37/373, 50/711, 56/865","482/28905","0.0767634854771784, 0.103734439834025, 0.116182572614108","5.94865562390842, 4.21722079240856, 3.88237833689108","12.5268845954281, 11.3111003490344, 11.2082438248141","4.05766822528861e-18, 1.09360436520621e-17, 4.47256198212356e-18","2.11539770145046e-15, 7.93592234351307e-15, 3.50276145899977e-15","1.91564652530731e-15, 6.37552158873726e-15, 2.75258726899815e-15","777686/404711/110786/544896/110785/619833/238418/238447/668421/14125/16016/100775175/83433/14990/780931/195180/780939/380823/619994/636260/668549/780825/629826/668469/780956/434609/110787/380797/213570/100775173/16199/435328/380795/21926/16193/780799/12630, 12268/14125/12259/12262/12260/14990/16193/544896/404711/14728/777686/83433/14130/780825/238447/100775175/619994/380808/110786/18173/12984/780939/380809/434609/110785/11846/668469/380823/16016/100775173/16160/195180/780932/12519/668421/213570/12269/780931/238418/19368/19369/19370/56554/636260/780793/629826/619833/13137/780956/379043, 777686/12268/14990/544896/16197/83433/404711/14728/14125/12259/16019/110786/14128/16193/12260/12262/14130/238447/12984/18733/780939/18173/110787/619994/380797/780825/77777/380823/629826/238418/668421/780931/110785/16016/100775175/26909/619833/100775173/246256/12478/16199/20371/195180/668549/434609/213570/12630/780799/12269/668469/380808/380809/16160/780793/636260/435328","37, 50, 56","Ure_RT_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0002455","humoral immune response mediated by circulating immunoglobulin","7/373, 10/711, 13/865","59/28905","0.11864406779661, 0.169491525423729, 0.220338983050847","9.1941200527105, 6.8905099048845, 7.3628882139708","7.20365344130361, 7.19236176717194, 8.5928162133258","1.07929528287675e-05, 1.61256140871673e-06, 1.60103061414012e-08","0.00241145403202748, 9.75718745637488e-05, 2.089789682179e-06","0.00218374707234686, 7.83868044327871e-05, 1.6422267235098e-06","404711/238447/16016/83433/380795/21926/12630, 12259/12262/12260/404711/83433/14130/238447/16016/12269/13137, 83433/404711/12259/16019/14128/12260/12262/14130/238447/16016/26909/12630/12269","7, 10, 13","Ure_RT_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","38/373, 12/232, 55/711, 62/865","494/28905","0.0769230769230769, 0.024291498, 0.111336032388664, 0.125506072874494","5.9610228913178, 3.026490297, 4.52625600027332, 4.19393414617023","12.7162403485814, 4.086496605, 12.5536344859666, 12.5760482574878","1.3021125415854e-18, 0.000700358, 9.00883444638005e-21, 1.27531355969937e-21","8.14601606015828e-16, 0.019749416, 1.30748217265129e-17, 1.19853968340547e-18","7.37681020927646e-16, 0.016978949, 1.05039848650249e-17, 9.41852624721138e-19","777686/404711/110786/544896/110785/619833/238418/238447/17082/668421/14125/16016/100775175/83433/14990/780931/195180/780939/380823/619994/636260/668549/780825/629826/668469/780956/434609/110787/380797/213570/100775173/16199/435328/380795/21926/16193/780799/12630, 14128/12775/380797/12478/69169/11486/110787/72049/11846/777686/380808/780932, 12268/14125/12267/12259/12262/12260/14990/17082/16193/544896/404711/14728/777686/83433/14130/780825/238447/100775175/619994/380808/110786/18173/12984/780939/380809/434609/110785/11846/13844/668469/380823/16016/11486/100775173/16160/195180/780932/12519/668421/213570/12269/780931/240873/238418/19368/19369/19370/56554/636260/780793/629826/619833/13137/780956/379043, 777686/12268/12267/14990/544896/17082/16197/83433/404711/14728/14125/12259/16019/110786/14128/16193/12260/12262/14130/17085/238447/12984/18733/780939/18173/110787/619994/380797/56644/780825/77777/380823/629826/238418/668421/56620/780931/110785/16016/100775175/26909/619833/100775173/246256/12478/16199/20371/195180/668549/434609/213570/12630/780799/240873/12269/668469/380808/380809/16160/780793/636260/435328","38, 12, 55, 62","Ure_RT_vs_Ure, Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
