"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Source"
"GO:0032651","regulation of interleukin-1 beta production","11/711, 12/865","107/28905","0.102803738317757, 0.11214953271028","4.17938404511219, 3.74760952946896","5.23225790271114, 5.00107954706564","6.733250432902e-05, 8.76880945826794e-05","0.00206862135446438, 0.00226399096947259","0.00166187867439139, 0.00177911992941608","12774/16193/14728/83433/16000/11433/15951/67313/20302/282663/381308, 12774/22418/83433/14728/16193/15507/11433/16000/15951/56644/637515/13653","11, 12","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0032652","regulation of interleukin-1 production","11/711, 14/865","128/28905","0.0859375, 0.109375","3.49370385021097, 3.65489523121387","4.49016736644458, 5.28722311089567","0.000332596096140658, 3.08294119818824e-05","0.00720459404276827, 0.000959386800681228","0.0057879907173365, 0.000753918279766075","12774/16193/14728/83433/16000/11433/15951/67313/20302/282663/381308, 12774/22418/83433/14728/16193/15507/11433/16000/15951/380797/56644/637515/13653/20186","11, 14","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0032653","regulation of interleukin-10 production","8/711, 12/865","64/28905","0.125, 0.1875","5.08175105485232, 6.26553468208092","5.19118815644464, 7.4067098290849","0.000169306699870471, 3.75857182436143e-07","0.00405033720459357, 2.71715830810375e-05","0.00325393963950014, 2.13523400159674e-05","16193/14728/83433/14130/19074/67313/100043314/16160, 13388/83433/14728/16193/12523/14130/56644/100043314/20371/19074/15930/16160","8, 12","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0032680","regulation of tumor necrosis factor production","16/711, 23/865","216/28905","0.0740740740740741, 0.106481481481481","3.01140803250508, 3.55820488118176","4.71199452769282, 6.62830550023588","9.7503016933177e-05, 1.61433537659481e-07","0.00283620799960928, 1.5171523869238e-05","0.00227853859311502, 1.19222915812518e-05","12774/14990/16193/14728/83433/20296/14130/19204/16000/11433/93695/246730/13844/23960/20302/16160, 14990/12774/22418/83433/14728/16193/12523/19204/15507/11433/14130/93695/16000/21897/100689/56644/69165/20296/23960/20371/246727/20186/16160","16, 23","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0032682","negative regulation of chemokine production","5/711, 5/865","35/28905","0.142857142857143","5.80771549125979, 4.77374071015689","4.5194419915098, 3.92356372393052","0.00156401718967477, 0.00365666761363549","0.0210827580304766, 0.035300594118314","0.0169373606690215, 0.0277403891459651","16193/14728/246730/81799/23960, 14728/16193/23960/246727/20186","5","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0032693","negative regulation of interleukin-10 production","4/711, 8/865","22/28905","0.181818181818182, 0.363636363636364","7.39163789796701, 12.1513399894903","4.76253061400708, 9.18999490752652","0.00186555343216362, 1.37216513120663e-07","0.0240314190640248, 1.32937623858681e-05","0.0193062412179374, 1.04466837176164e-05","14728/14130/19074/16160, 13388/14728/12523/14130/20371/19074/15930/16160","4, 8","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0032760","positive regulation of tumor necrosis factor production","11/711, 16/865","142/28905","0.0774647887323944, 0.112676056338028","3.14925417483806, 3.76520394040544","4.07708989752567, 5.80165997518889","0.00080060015089647, 5.8291987413357e-06","0.0138877014223236, 0.00026593596976249","0.0111570320881903, 0.000208981391769092","12774/14990/16193/20296/14130/19204/246730/13844/23960/20302/16160, 14990/12774/22418/16193/12523/19204/15507/14130/21897/100689/56644/69165/20296/23960/246727/16160","11, 16","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0032943","mononuclear cell proliferation","11/232, 21/711, 34/865","385/28905","0.028571429, 0.0545454545454545, 0.0883116883116883","3.559729064, 2.2174913693901, 2.95103971173335","4.548162815, 3.8190638768959, 6.76892553901179","0.000305292, 0.000633176900672399, 2.31987204327569e-08","0.010806536, 0.0114868842730318, 2.79514839265448e-06","0.009290585, 0.00922827561813325, 2.19652122208127e-06","12775/380797/12518/12575/12478/11486/243958/72049/22163/11846/12477, 18782/14990/16193/14728/14130/16000/12578/93695/16414/18173/18784/69816/11846/13844/16854/11486/16160/21336/12519/240873/13137, 18782/14990/16197/14728/16019/16193/16889/16414/217303/12578/14130/93695/57916/16000/12518/18173/208154/69816/16184/17079/380797/18784/22163/16854/12478/16199/12477/21942/20371/21950/240873/15930/20533/16160","11, 21, 34","Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0032944","regulation of mononuclear cell proliferation","9/232, 19/711, 26/865","285/28905","0.031578947, 0.0666666666666667, 0.0912280701754386","3.934437387, 2.71026722925457, 3.04849406753879","4.478152323, 4.60772993330306, 6.10408186068504","0.000526527, 9.31562261468765e-05, 5.51130401294108e-07","0.015801537, 0.00274055546380744, 3.80847317011914e-05","0.013584882, 0.00220169373745427, 2.99282577049494e-05","12775/380797/12575/11486/243958/72049/22163/11846/12477, 18782/14990/16193/14728/14130/16000/12578/93695/18784/69816/11846/13844/16854/11486/16160/21336/12519/240873/13137, 18782/14990/14728/16019/16193/217303/12578/14130/93695/57916/16000/208154/69816/16184/380797/18784/22163/16854/12477/21942/20371/21950/240873/15930/20533/16160","9, 19, 26","Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0032945","negative regulation of mononuclear cell proliferation","9/711, 14/865","122/28905","0.0737704918032787, 0.114754098360656","2.99906619630629, 3.83464417701128","3.51377937130094, 5.51072147165976","0.00324926226926336, 1.78793237002783e-05","0.0349315751120313, 0.000626977179609015","0.0280631540500641, 0.000492699666461716","18782/14990/14728/14130/12578/93695/18784/11846/12519, 18782/14990/14728/217303/12578/14130/93695/57916/208154/16184/18784/12477/20371/15930","9, 14","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0032963","collagen metabolic process","12/711, 14/865","124/28905","0.0967741935483871, 0.112903225806452","3.93425888117599, 3.77279507738206","5.19986127620718, 5.43467653524112","5.78293722046907e-05, 2.15260082272546e-05","0.00185717887535921, 0.000712328962393447","0.00149201107337927, 0.000559771955976347","17392/58223/16193/17381/20296/17390/16323/12842/13038/13030/13039/11846, 18787/17381/14219/16193/16323/58223/13038/12842/13030/13039/118453/20296/20186/17389","12, 14","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0033555","multicellular organismal response to stress","9/711, 15/865","122/28905","0.0737704918032787, 0.122950819672131","2.99906619630629, 4.10854733251208","3.51377937130094, 6.04320594093276","0.00324926226926336, 3.84797116568859e-06","0.0349315751120313, 0.000188350171953861","0.0280631540500641, 0.000148011873346881","237253/18619/17242/225642/56710/13983/18413/13844/21336, 18619/225642/12286/18143/237253/246228/17242/15165/56710/18413/12290/13983/15930/12287/72585","9, 15","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0034368","protein-lipid complex remodeling","4/711, 5/865","27/28905","0.148148148148148, 0.185185185185185","6.02281606501016, 6.18818240205523","4.14649386949629, 4.73708945146178","0.00406143579829162, 0.00110737383768608","0.0414133289596293, 0.0159618087830886","0.0332704330277901, 0.0125433239347845","68453/18784/238055/237625, 68453/16891/18784/20186/238055","4, 5","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0034369","plasma lipoprotein particle remodeling","4/711, 5/865","27/28905","0.148148148148148, 0.185185185185185","6.02281606501016, 6.18818240205523","4.14649386949629, 4.73708945146178","0.00406143579829162, 0.00110737383768608","0.0414133289596293, 0.0159618087830886","0.0332704330277901, 0.0125433239347845","68453/18784/238055/237625, 68453/16891/18784/20186/238055","4, 5","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0034612","response to tumor necrosis factor","13/711, 18/865","213/28905","0.0610328638497653, 0.0845070422535211","2.48123056199362, 2.82390295530408","3.44562081057094, 4.69255250921052","0.00250453805203707, 8.06263321685581e-05","0.0304602197725402, 0.00209316649093953","0.024470978967713, 0.00164488033292993","20307/245527/16193/20296/84094/20306/20308/66107/20302/108153/20293/20305/240873, 18126/245527/84094/20307/16193/217166/108153/20308/20296/20305/21935/66107/239337/20186/240873/20293/17940/20306","13, 18","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0034764","positive regulation of transmembrane transport","16/711, 16/865","243/28905","0.065843621399177","2.67680714000451, 2.20024263184186","4.16839083629936, 3.30002297055977","0.000372636955047049, 0.00283331796584109","0.00776297273815719, 0.0308903970336131","0.00623657820005714, 0.0242747085704495","83433/15945/217154/16000/17329/14065/16429/493583/12061/13844/12372/57394/80982/20617/241528/237611, 83433/217154/16429/493583/16000/241528/14065/12061/70261/15945/14168/17329/12478/11838/80982/57394","16","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0034765","regulation of monoatomic ion transmembrane transport","19/711, 21/865","366/28905","0.0519125683060109, 0.0573770491803279","2.11045398999331, 1.91732208850564","3.39513589982773, 3.10199462880665","0.00197939182478489, 0.00364972286283118","0.0252735249416816, 0.035300594118314","0.0203041180236462, 0.0277403891459651","14126/83433/15945/217154/17329/14065/19218/12061/13844/53416/16513/12372/80982/68460/20617/72821/241528/237611/108017, 17918/83433/14126/217154/57814/241528/14065/12061/70261/15945/19218/14168/14811/17329/16513/12478/11838/329693/16499/80982/108017","19, 21","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0034767","positive regulation of monoatomic ion transmembrane transport","7/232, 12/711, 12/865","169/28905","0.041420118, 0.0710059171597633","5.160553969, 2.88667515541907, 2.37274686185313","4.879414967, 3.90627444317613, 3.14353773329107","0.000449508, 0.00101749695390323, 0.00504167065883072","0.014103327, 0.0165305288705024, 0.0435492838710397","0.012124898, 0.0132802135813842, 0.0342224858188432","12478/233081/12372/18125/12482/12335/241528, 83433/15945/217154/17329/14065/12061/13844/12372/80982/20617/241528/237611, 83433/217154/241528/14065/12061/70261/15945/14168/17329/12478/11838/80982","7, 12","Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0035821","modulation of process of another organism","3/232, 5/865","20/28905","0.15, 0.25","18.68857759, 8.35404624277457","7.118002269, 5.77834132175186","0.000526001, 0.000252944566398533","0.015801537, 0.00545223173168215","0.013584882, 0.00428454630094667","14128/20311/11846, 18126/14128/56644/20311/20202","3, 5","Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure"
"GO:0042026","protein refolding","7/232, 6/865","24/28905","0.291666667, 0.25","36.33890086, 8.35404624277457","15.5789773, 6.33029409908402","6.04e-10, 5.98603158960265e-05","2.46e-07, 0.00162591690401982","2.12e-07, 0.00127769995840134","15481/15502/15519/15507/15511/193740/15482, 15511/193740/15481/15502/15519/15507","7, 6","Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure"
"GO:0042060","wound healing","27/711, 30/865","373/28905","0.0723860589812333, 0.0804289544235925","2.94278345267588, 2.6876288180508","5.99719445758142, 5.76186746538184","7.12797374136747e-07, 1.11979846911005e-06","4.70230267725969e-05, 6.33967832090136e-05","3.77771239913303e-05, 4.98193155312373e-05","16193/100503895/17381/14728/19124/20344/20296/235505/16000/13035/12825/22402/18173/14065/59011/19695/13844/17882/17312/21857/214593/21789/12845/11553/15378/234199/22349, 68169/235505/18787/22418/17381/14728/16193/100503895/19124/14069/16000/20344/15442/18173/14065/22402/56644/20296/14724/17312/234199/13035/76905/217847/21857/214593/20533/385643/11553/20202","27, 30","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0042098","T cell proliferation","16/711, 23/865","265/28905","0.060377358490566, 0.0867924528301887","2.45458164158905, 2.90027265786891","3.77754771830618, 5.45821166257837","0.000949235329104878, 5.64877611729375e-06","0.0157147171974245, 0.000260231362501601","0.0126248108809906, 0.000204498520324731","18782/14990/16193/14728/16000/12578/93695/16414/18173/18784/11846/16854/16160/12519/240873/13137, 18782/14990/14728/16193/16889/16414/12578/93695/16000/18173/208154/16184/18784/22163/16854/12477/21942/20371/21950/240873/15930/20533/16160","16, 23","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0042100","B cell proliferation","9/232, 15/865","123/28905","0.073170732, 0.121951219512195","9.11637931, 4.07514450867052","8.114108408, 6.00282418791553","7.05e-07, 4.26282302292849e-06","6.08e-05, 0.00020439801413001","5.23e-05, 0.000160622805203363","380797/12518/12575/12478/11486/243958/72049/22163/12477, 16197/16019/217303/12578/14130/57916/12518/208154/69816/17079/380797/22163/12478/16199/12477","9, 15","Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure"
"GO:0042113","B cell activation","14/373, 13/232, 31/865","319/28905","0.0438871473354232, 0.040752351, 0.0971786833855799","3.40095976871423, 5.077356502, 3.24734085926033","4.93027123478638, 6.586940367, 7.08901047438805","7.81585627608599e-05, 2.09e-06, 1.0634703143405e-08","0.00972041321640334, 0.000152153, 1.56163968971438e-06","0.0088025413801795, 0.000130809, 1.22718877062713e-06","18985/16071/17060/69816/12518/240754/110763/12578/22163/380797/16199/16193/12477/12557, 380797/12518/242248/15985/12575/12478/229499/11486/243958/72049/22163/12482/12477, 17060/18985/16197/13388/18751/14728/16019/16193/16071/217303/12578/14130/57916/56743/12518/208154/69816/79221/17079/380797/242248/110763/22163/240754/229499/26909/12478/16199/12477/20371/12557","14, 13, 31","Ure_RT_vs_Ure, Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure"
"GO:0042116","macrophage activation","10/711, 11/865","114/28905","0.087719298245614, 0.0964912280701754","3.56614109112444, 3.22436872528141","4.35953339542436, 4.17954354681533","0.000521241488961613, 0.000633207589793469","0.00987874629671782, 0.0108990566462986","0.00793633777627186, 0.00856484374395793","12259/17082/83433/18173/18784/53416/329731/19369/20617/237625, 17082/22418/83433/12259/14128/12523/217166/21897/18173/18784/77777","10, 11","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0042129","regulation of T cell proliferation","14/711, 19/865","221/28905","0.0633484162895928, 0.085972850678733","2.5753670504229, 2.87288468077315","3.73330493691778, 4.90891306135927","0.00122728531130713, 4.08875362637588e-05","0.0185179482039897, 0.00115048223295451","0.0148768565824185, 0.000904087470616237","18782/14990/16193/14728/16000/12578/93695/18784/11846/16854/16160/12519/240873/13137, 18782/14990/14728/16193/12578/93695/16000/208154/16184/18784/16854/12477/21942/20371/21950/240873/15930/20533/16160","14, 19","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0042130","negative regulation of T cell proliferation","8/711, 11/865","105/28905","0.0761904761904762, 0.104761904761905","3.09744826200522, 3.50074318744839","3.41920460270332, 4.50884725822486","0.00443936015759363, 0.000312360137253157","0.0441300779136134, 0.00643763282873941","0.035453001210487, 0.00505890748607606","18782/14990/14728/12578/93695/18784/11846/12519, 18782/14990/14728/12578/93695/208154/16184/18784/12477/20371/15930","8, 11","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0042330","taxis","35/711, 38/865","467/28905","0.0749464668094218, 0.0813704496788009","3.04687429412987, 2.71908999764825","7.08166721263759, 6.57817695767089","6.82222699466332e-09, 3.15957419198443e-08","1.4851988167382e-06, 3.62118027515483e-06","1.19317159490875e-06, 2.84564474081678e-06","12774/12267/20307/20210/83433/15945/20296/17242/19204/17390/270190/13035/13123/17329/16414/16948/55985/18705/268902/20306/20308/16854/20750/73710/53416/20302/20293/12642/12777/252837/20305/319476/93726/240873/330122, 12267/12774/18787/22418/13123/83433/20210/20307/268902/19204/15507/13655/16414/270190/20750/17242/118453/20308/20296/20305/12642/20311/15945/16854/17329/227288/22422/13035/12777/93726/330122/240873/20301/20293/58218/12771/20202/20306","35, 38","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0042403","thyroid hormone metabolic process","6/711, 7/865","39/28905","0.153846153846154, 0.179487179487179","6.25446283674132, 5.9977767896843","5.21438089079554, 5.48547043937534","0.000354204755189496, 0.000139825709051616","0.00748644419463625, 0.00342208857725804","0.00601442208224168, 0.00268919181662867","13038/13030/13039/21819/114479/214593, 13038/21819/13030/114479/13039/70337/214593","6, 7","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0042445","hormone metabolic process","14/711, 17/865","246/28905","0.0569105691056911, 0.0691056910569106","2.31364275668073, 2.30924855491329","3.28586517640354, 3.62207270791247","0.00329748728189805, 0.00127265984278261","0.0353627084369067, 0.017692984027324","0.0284095157836329, 0.0139037394222405","13070/16000/56448/241452/13038/20856/13030/13039/13076/21819/20750/114479/214593/232174, 13070/56448/12286/16000/13038/20856/21819/13030/20750/114479/13076/13039/70337/394432/13653/58226/214593","14, 17","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0042596","fear response","6/711, 8/865","65/28905","0.0923076923076923, 0.123076923076923","3.75267770204479, 4.11276122721209","3.52817275634384, 4.4126845477803","0.00523698834895401, 0.00069617504790451","0.049461707746954, 0.0117251847673953","0.0397362993117346, 0.0092140428902057","18619/17242/225642/56710/13983/13844, 18619/225642/18143/17242/56710/12290/13983/72585","6, 8","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0042692","muscle cell differentiation","18/232, 35/711, 27/865","476/28905","0.037815126, 0.0735294117647059, 0.0567226890756303","4.711406114, 2.98926532638372, 1.89545587020936","7.344251876, 6.94945623646495, 3.4599107476844","6.83e-08, 1.10845908809294e-08, 0.00126448269813344","9.93e-06, 1.85624264213717e-06, 0.0176839410670508","8.54e-06, 1.49125892701734e-06, 0.0138966331611909","59011/17996/21957/11459/20190/11535/109272/12372/233199/12292/66211/11474/320502/12335/228003/228785/17306/20682, 20307/15945/234214/244723/16000/17329/22402/16948/59011/109272/18807/20682/11459/21957/23886/17306/228003/17996/11474/320502/20190/13874/12372/69852/12292/12845/17930/18175/116904/66211/237611/68802/232174/68016/18741, 54409/79362/13388/244723/20307/234214/17130/16000/79221/22402/11549/225638/18807/23886/15945/17329/22422/22431/228785/207215/13874/69852/23956/20682/233199/22437/70127","18, 35, 27","Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0042742","defense response to bacterium","18/373, 31/711, 32/865","430/28905","0.0418604651162791, 0.072093023255814, 0.0744186046511628","3.24390548039155, 2.9308703758218, 2.48678585831429","5.36011618127332, 6.40605861092082, 5.45567896124367","1.4495769232014e-05, 1.18706107696586e-07, 2.64235038231127e-06","0.00302285107718265, 1.20196835560683e-05, 0.000137960049405341","0.00273741157918243, 9.6563132405326e-06, 0.000108413627381847","404711/17110/16069/238447/18126/16016/83433/14990/16447/109648/192200/100689/93726/19074/380795/20311/21926/12945, 17110/14990/404711/16069/83433/238447/13035/11433/109648/18778/55985/17474/100034251/246730/16447/18173/57911/19074/19695/23960/66107/16016/16160/93726/19368/19369/19370/12945/240913/209232/192200, 17110/18126/14990/16197/18787/83433/404711/16019/11433/16069/109648/192200/238447/16447/18173/100689/100034251/20311/16016/17474/66107/13035/23960/93726/12945/246727/20186/19074/209232/16160/58218/17940","18, 31, 32","Ure_RT_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0042745","circadian sleep/wake cycle","5/232, 7/865","41/28905","0.12195122, 0.170731707317073","15.19396552, 5.70520231213873","8.180951455, 5.29529299993018","1.89e-05, 0.000194041629338808","0.001043063, 0.00434191245839551","0.000896741, 0.00341202022917563","18628/217166/18143/11486/18167, 18628/16193/16490/217166/18143/19218/11657","5, 7","Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure"
"GO:0042748","circadian sleep/wake cycle, non-REM sleep","4/711, 4/865","16/28905","0.25","10.1635021097046, 8.35404624277457","5.82224729788859, 5.16794778027098","0.000521844659679627, 0.00108720414668226","0.00987874629671782, 0.0159151784587537","0.00793633777627186, 0.0125066802641789","16193/19218/11657/11486, 16193/16490/19218/11657","4","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0042749","regulation of circadian sleep/wake cycle","4/232, 6/865","32/28905","0.125, 0.1875","15.57381466, 6.26553468208092","7.419739795, 5.23443166787575","0.000121883, 0.000328641130968345","0.005022656, 0.00652721974836213","0.004318072, 0.00512930788796146","18628/217166/11486/18167, 18628/16193/16490/217166/19218/11657","4, 6","Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure"
"GO:0042752","regulation of circadian rhythm","8/232, 11/865","127/28905","0.062992126, 0.0866141732283465","7.848221559, 2.89431523371717","6.957220344, 3.75769763549138","9.01e-06, 0.00154433392333207","0.00054077, 0.0204655211380382","0.000464911, 0.0160824919416758","353187/18628/11865/217166/18143/11486/18167/15378, 353187/11865/18628/16193/211949/16490/217166/18143/225998/19218/11657","8, 11","Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure"
"GO:0042886","amide transport","10/232, 24/865","386/28905","0.025906736, 0.0621761658031088","3.227733607, 2.07769025727036","3.963475352, 3.7438503938868","0.001198736, 0.000666893508914347","0.03008827, 0.0113541036173497","0.025867458, 0.00892243489424687","11865/217166/233081/12143/18125/20526/74591/20186/18167/15378, 18126/100039795/11865/17918/13924/245049/18751/108052/16193/276952/217166/22270/19156/18575/214084/78896/19218/12290/16181/20186/114644/57394/12557/20202","10, 24","Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure"
"GO:0043030","regulation of macrophage activation","6/711, 7/865","60/28905","0.1, 0.116666666666667","4.06540084388186, 3.8985549132948","3.77453149151389, 3.94747973737561","0.0035180570366931, 0.00204091271402063","0.0368314653240898, 0.0251712568062544","0.0295894783434351, 0.0197804166342986","17082/83433/18784/329731/19369/20617, 17082/22418/83433/12523/217166/18784/77777","6, 7","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0043062","extracellular structure organization","29/711, 29/865","329/28905","0.088145896656535","3.583484026522, 2.94549958711808","7.48408028972365, 6.23342009493051","3.80520683356824e-09, 2.57201997096669e-07","9.74580620785654e-07, 2.08377962820215e-05","7.82953703278468e-07, 1.63750382180602e-05","17228/17392/58223/16193/17381/14086/12832/15118/17390/12842/13035/12825/77794/71355/213945/16948/12819/12821/20682/382864/16854/108153/15891/30060/12845/15117/20724/240913/545893, 54409/78892/68169/17228/17381/15118/14086/71355/14219/16193/58223/12819/12842/246228/213945/108153/118453/382864/15891/16854/22431/13035/12821/239337/545893/68553/20682/17389/30060","29","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0043270","positive regulation of monoatomic ion transport","8/232, 15/711","241/28905","0.033195021, 0.0622406639004149","4.135784805, 2.53033247544514","4.39716512, 3.7884481283013","0.000774088, 0.000997803294000031","0.021372562, 0.0163324644438952","0.018374398, 0.0131210935732572","12478/233081/12372/18125/12482/12335/241528/11827, 83433/15945/217154/17329/14065/12669/12061/13844/16854/53416/12372/80982/20617/241528/237611","8, 15","Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA"
"GO:0043299","leukocyte degranulation","11/711, 14/865","96/28905","0.114583333333333, 0.145833333333333","4.65827180028129, 4.8731936416185","5.70141850504348, 6.67634480898535","2.44509235263941e-05, 1.02455493461738e-06","0.0010307783370017, 5.87119955825255e-05","0.000828101543373702, 4.61378525113965e-05","14125/14126/243978/243979/233231/19204/225642/16414/214084/68891/237625, 243978/233231/14126/14125/225642/243979/12523/19204/16414/217303/56743/214084/246256/68891","11, 14","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0043300","regulation of leukocyte degranulation","6/711, 7/865","56/28905","0.107142857142857, 0.125","4.35578661844485, 4.17702312138728","3.99170461849101, 4.17971847182723","0.00247778667463498, 0.00135837973548346","0.030219280620058, 0.018663819815897","0.0242774144768157, 0.0146666547001415","14125/14126/19204/16414/68891/237625, 14126/14125/12523/19204/16414/217303/68891","6, 7","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0043302","positive regulation of leukocyte degranulation","6/711, 5/865","37/28905","0.162162162162162, 0.135135135135135","6.59254190899761, 4.51570067177004","5.40551638282626, 3.75839506385833","0.000263127297585436, 0.00467493504733269","0.00593604276521756, 0.0422349439213762","0.00476886833856779, 0.0331896334665131","14125/14126/19204/16414/68891/237625, 14126/14125/19204/16414/68891","6, 5","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0043303","mast cell degranulation","6/373, 8/711, 10/865","68/28905","0.0882352941176471, 0.117647058823529, 0.147058823529412","6.83764390474689, 4.78282452221395, 4.91414484869092","5.51041489949729, 4.95942172646665, 5.6756333809947","0.000247460529472284, 0.000259442103051019, 3.30671292298301e-05","0.0221159010339801, 0.00588339019106321, 0.000995935608773764","0.0200275574378922, 0.00472656857696565, 0.000782639557258177","233231/243978/14126/14125/243979/230899, 14125/14126/243978/243979/233231/225642/214084/237625, 243978/233231/14126/14125/225642/243979/12523/217303/56743/214084","6, 8, 10","Ure_RT_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0043313","regulation of neutrophil degranulation","3/711, 3/865","12/28905","0.25","10.1635021097046, 8.35404624277457","5.04186502831671, 4.47526424907515","0.00276187751479241, 0.00479962971994358","0.0320672391984164, 0.0422349439213762","0.0257620181941198, 0.0331896334665131","19204/16414/68891","3","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0043588","skin development","16/232, 29/711","342/28905","0.046783626, 0.0847953216374269","5.828796128, 3.44726972142029","8.080466095, 7.22983535138761","2.05e-08, 9.11324460573127e-09","3.34e-06, 1.58716268053416e-06","2.87e-06, 1.27508681367768e-06","16682/16939/21818/12575/67855/20766/72383/20190/11686/110308/386463/16664/332131/74591/230824/20682, 16939/12832/16323/235505/12842/12578/12825/21818/67855/16447/16682/13039/19156/20766/20682/72383/19695/386463/20190/11686/332131/12845/16870/110308/74591/14160/232174/16664/16678","16, 29","Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA"
"GO:0043616","keratinocyte proliferation","9/711, 10/865","64/28905","0.140625, 0.15625","5.71696993670886, 5.2212789017341","5.99906220165953, 5.93781825028765","2.57906205048635e-05, 1.91856633747671e-05","0.00103974408961274, 0.00065805424962066","0.000835304404850502, 0.000517121068910357","17242/235505/12578/13039/19695/259277/13874/15117/57277, 235505/14313/12578/13039/17242/55948/259277/13874/76905/57277","9, 10","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
