ID,X,Gene.name,logFC,logCPM,LR,PValue,FDR,gene,symbol,effectsize,signif
ENSMUSG00000042439,ENSMUSG00000042439,Zfp532,-0.089136802,5.00697724,0.461855283,0.496758178,0.807670055,328977,Zfp532,-0.089136802,FALSE
ENSMUSG00000043456,ENSMUSG00000043456,Zfp536,-0.101138112,-0.909135943,0.030715882,0.860875757,0.963928109,243937,Zfp536,-0.101138112,FALSE
ENSMUSG00000023882,ENSMUSG00000023882,Zfp54,0.110254,2.511789606,0.27167516,0.602210268,0.862752665,22712,Zfp54,0.110254,FALSE
ENSMUSG00000034071,ENSMUSG00000034071,Zfp551,-0.371638702,1.283144035,1.897224696,0.168389293,0.508827874,619331,Zfp551,-0.371638702,FALSE
ENSMUSG00000045598,ENSMUSG00000045598,Zfp553,-0.292990492,4.092991502,4.596679734,0.032033938,0.196129517,233887,Zfp553,-0.292990492,TRUE
ENSMUSG00000074500,ENSMUSG00000074500,Zfp558,-0.058386554,0.520326809,0.026048832,0.871781118,0.966541399,72230,Zfp558,-0.058386554,FALSE
ENSMUSG00000045519,ENSMUSG00000045519,Zfp560,-0.343129691,3.000030147,3.679448737,0.055087061,0.274702296,434377,Zfp560,-0.343129691,FALSE
ENSMUSG00000067424,ENSMUSG00000067424,Zfp563,-0.275869681,2.440228594,1.599945533,0.20591093,0.559817279,240068,Zfp563,-0.275869681,FALSE
ENSMUSG00000078768,ENSMUSG00000078768,Zfp566,-0.173228961,1.831172595,0.548642169,0.458873034,0.787199833,72556,Zfp566,-0.173228961,FALSE
ENSMUSG00000074221,ENSMUSG00000074221,Zfp568,-0.063060184,5.319211227,0.330710352,0.565241106,0.843816435,243905,Zfp568,-0.063060184,FALSE
ENSMUSG00000036036,ENSMUSG00000036036,Zfp57,0.018256574,4.674565361,0.010396595,0.918785492,0.98157255,22715,Zfp57,0.018256574,FALSE
