,ID,Gene.name,logFC,logCPM,LR,PValue,FDR
ENSMUSG00000024664,ENSMUSG00000024664,Fads3,-0.150438301,7.349280567,2.411509511,0.120446173,0.430871876
ENSMUSG00000032352,ENSMUSG00000032352,Lrrc1,0.177974082,5.121328341,2.411145333,0.120474194,0.430882702
ENSMUSG00000041616,ENSMUSG00000041616,Nppa,-1.18415532,5.647793446,2.410748165,0.120504761,0.43090263
ENSMUSG00000021240,ENSMUSG00000021240,Abcd4,-0.223569957,3.908217388,2.409327068,0.120614204,0.431204536
ENSMUSG00000024806,ENSMUSG00000024806,Mlana,-0.44259527,1.561263571,2.408651215,0.120666293,0.43130131
ENSMUSG00000107086,ENSMUSG00000107086,Gm43808,0.55556127,0.457501171,2.407406183,0.120762313,0.431437983
ENSMUSG00000108456,ENSMUSG00000108456,4732496C06Rik,0.382326556,1.582581096,2.407124547,0.120784045,0.431437983
ENSMUSG00000049107,ENSMUSG00000049107,Ntf3,0.460968965,1.538147996,2.40677353,0.120811137,0.431437983
ENSMUSG00000044134,ENSMUSG00000044134,Fam109a,0.221421158,3.904172702,2.406684928,0.120817977,0.431437983
ENSMUSG00000005148,ENSMUSG00000005148,Klf5,0.186354364,5.196546257,2.406533536,0.120829664,0.431437983
ENSMUSG00000058230,ENSMUSG00000058230,Arhgap35,-0.15890626,7.500813128,2.405540736,0.12090634,0.431622363
ENSMUSG00000026576,ENSMUSG00000026576,Atp1b1,0.214366922,8.809012461,2.404021774,0.121023756,0.431952076
ENSMUSG00000047898,ENSMUSG00000047898,Ccr4,-0.589897048,0.354573985,2.399836654,0.121347921,0.433019417
ENSMUSG00000029322,ENSMUSG00000029322,Plac8,0.240941379,4.54636905,2.399100841,0.121405013,0.433133491
ENSMUSG00000028716,ENSMUSG00000028716,Pdzk1ip1,-0.281286777,3.743157402,2.396061167,0.121641182,0.43388627
ENSMUSG00000051037,ENSMUSG00000051037,Zfp455,0.45259645,1.667741242,2.394288729,0.121779128,0.434288453
ENSMUSG00000057322,ENSMUSG00000057322,Rpl38,0.168543043,6.576463612,2.39345883,0.121843776,0.434377882
ENSMUSG00000027070,ENSMUSG00000027070,Lrp2,-0.256238977,7.399260904,2.393319944,0.121854599,0.434377882
ENSMUSG00000111080,ENSMUSG00000111080,Gm20300,0.189185375,4.588053091,2.39270269,0.121902713,0.434459555
ENSMUSG00000079467,ENSMUSG00000079467,Gm14966,0.71162579,-0.142744455,2.391780245,0.121974654,0.434623895
ENSMUSG00000036594,ENSMUSG00000036594,H2-Aa,-0.196797223,8.716472381,2.391465044,0.121999248,0.434623895
ENSMUSG00000090963,ENSMUSG00000090963,Gm17655,-0.439952345,1.168524354,2.390493894,0.122075055,0.434804107
ENSMUSG00000049526,ENSMUSG00000049526,Tmem202,-0.888783994,-0.415235789,2.389334421,0.122165632,0.435036838
ENSMUSG00000037669,ENSMUSG00000037669,Ldah,-0.175635356,5.22534728,2.388582194,0.122224435,0.435100067
ENSMUSG00000051817,ENSMUSG00000051817,Sox12,0.207046661,4.398428421,2.388461581,0.122233866,0.435100067
ENSMUSG00000054626,ENSMUSG00000054626,Xlr,-0.382401137,2.172672074,2.387616008,0.12230001,0.435135902
ENSMUSG00000061315,ENSMUSG00000061315,Naca,0.158145463,7.828253727,2.386883374,0.12235735,0.435135902
ENSMUSG00000060152,ENSMUSG00000060152,Pop5,0.234153354,3.846534059,2.386858473,0.1223593,0.435135902
ENSMUSG00000034997,ENSMUSG00000034997,Htr2a,-0.638205207,-0.311358806,2.386825054,0.122361916,0.435135902
ENSMUSG00000104943,ENSMUSG00000104943,Gm42868,0.613925672,0.563125449,2.386138862,0.122415651,0.435135902
ENSMUSG00000028550,ENSMUSG00000028550,Atg4c,-0.193630293,4.394615092,2.386108123,0.122418059,0.435135902
ENSMUSG00000021792,ENSMUSG00000021792,Fam213a,0.184072834,5.291598846,2.386075386,0.122420623,0.435135902
ENSMUSG00000019822,ENSMUSG00000019822,Smpd2,0.183032464,4.690641271,2.385033843,0.122502239,0.435248758
ENSMUSG00000046865,ENSMUSG00000046865,Fbl,0.196862284,5.456000509,2.384850763,0.122516592,0.435248758
ENSMUSG00000049493,ENSMUSG00000049493,Pls1,0.181507347,5.13536933,2.384465642,0.12254679,0.435248758
ENSMUSG00000019558,ENSMUSG00000019558,Slc6a8,-0.188362248,6.444364731,2.384381788,0.122553366,0.435248758
ENSMUSG00000105710,ENSMUSG00000105710,Gm43859,0.5576057,0.494177128,2.383870487,0.122593472,0.435301518
ENSMUSG00000075470,ENSMUSG00000075470,Deaf1,-0.218513836,5.584780404,2.383204161,0.122645761,0.435397503
ENSMUSG00000035890,ENSMUSG00000035890,Rnf126,0.177684166,5.040534208,2.380037432,0.122894602,0.436025426
ENSMUSG00000036327,ENSMUSG00000036327,Qsox2,-0.163814521,5.199288609,2.380013088,0.122896517,0.436025426
ENSMUSG00000037580,ENSMUSG00000037580,Gch1,-0.224356354,4.432240011,2.379987662,0.122898518,0.436025426
ENSMUSG00000064293,ENSMUSG00000064293,Cntn4,-0.346984051,2.575479997,2.377849293,0.123066873,0.436532886
ENSMUSG00000097990,ENSMUSG00000097990,Gm19557,0.552377796,0.832567321,2.376158376,0.123200182,0.436915846
ENSMUSG00000032238,ENSMUSG00000032238,Rora,-0.177565645,6.361505637,2.375554036,0.123247865,0.436995054
ENSMUSG00000024446,ENSMUSG00000024446,Rpp21,0.284986026,3.43931154,2.374627905,0.123320979,0.437083848
ENSMUSG00000009876,ENSMUSG00000009876,Cox4i2,0.218539475,4.749668307,2.374594496,0.123323617,0.437083848
ENSMUSG00000007812,ENSMUSG00000007812,Zfp655,-0.163531652,5.32631637,2.374043873,0.12336711,0.437125655
ENSMUSG00000030699,ENSMUSG00000030699,Tbx6,0.497757648,1.318890245,2.373566141,0.123404859,0.437125655
ENSMUSG00000022218,ENSMUSG00000022218,Tgm1,-0.44111369,2.904044481,2.373300107,0.123425886,0.437125655
ENSMUSG00000020063,ENSMUSG00000020063,Sirt1,0.182527069,5.327579458,2.373161535,0.12343684,0.437125655
ENSMUSG00000018263,ENSMUSG00000018263,Tbx5,0.184966473,5.49322363,2.372475699,0.123491071,0.437227885
ENSMUSG00000029439,ENSMUSG00000029439,Sfswap,0.182746267,5.917405046,2.371794021,0.123544999,0.437236219
ENSMUSG00000067148,ENSMUSG00000067148,Polr1c,0.204791503,5.29905811,2.371486359,0.123569348,0.437236219
ENSMUSG00000038042,ENSMUSG00000038042,Ptpdc1,-0.247471443,3.681387562,2.371278053,0.123585836,0.437236219
ENSMUSG00000000339,ENSMUSG00000000339,Rtca,-0.201108584,4.360689954,2.371163834,0.123594878,0.437236219
ENSMUSG00000046743,ENSMUSG00000046743,Fat4,-0.257993976,5.633896443,2.368634695,0.123795279,0.437855317
ENSMUSG00000054715,ENSMUSG00000054715,Zscan22,0.268125856,3.578669893,2.367432533,0.123890661,0.438102791
ENSMUSG00000054074,ENSMUSG00000054074,Skida1,0.294665826,3.2026452,2.365657679,0.124031631,0.438511339
ENSMUSG00000025609,ENSMUSG00000025609,Mkln1,0.149056651,6.503794525,2.364948511,0.124088007,0.438620701
ENSMUSG00000024787,ENSMUSG00000024787,Snx15,0.216112771,4.144359584,2.363767674,0.124181943,0.438862754
ENSMUSG00000015202,ENSMUSG00000015202,Magi1,-0.224205579,4.881511572,2.363204431,0.124226777,0.4389216
ENSMUSG00000037805,ENSMUSG00000037805,Rpl10a,0.168609432,7.675424839,2.362918842,0.124249516,0.4389216
ENSMUSG00000038024,ENSMUSG00000038024,Dennd4c,-0.194169282,6.324484305,2.359536315,0.124519196,0.439784147
