"gene","symbol","effectsize","pvalue","signif"
11490,"Adam15",-0.219237667515421,0.0574378173278983,"false"
11491,"Adam17",-0.107191337498958,0.218015421038666,"false"
11492,"Adam19",-0.0129500996580172,0.932680230053641,"false"
11495,"Adam2",-2.41084717373201,0.10843482071168,"false"
11496,"Adam22",-0.129972414423176,0.371939842544536,"false"
11497,"Adam3",0.328088277576905,0.359506614888932,"false"
11498,"Adam4",0.468554442333256,0.273515483705762,"false"
11499,"Adam5",-0.4050006018601,0.259134187523381,"false"
11500,"Adam7",-0.26073684710937,0.384724170230297,"false"
11501,"Adam8",-0.160128367477097,0.295604052177959,"false"
11502,"Adam9",-0.0681100119894979,0.487441310249836,"false"
11504,"Adamts1",-0.00647404261070591,0.976050159615731,"false"
11512,"Adcy6",0.0574174936702729,0.598556460805878,"false"
11513,"Adcy7",0.124040381078774,0.346823411797739,"false"
11514,"Adcy8",0.361671567901821,0.102174493744701,"false"
11515,"Adcy9",0.0686532383239723,0.605275126806381,"false"
11516,"Adcyap1",2.47777502137634,0.0311758972010868,"false"
11517,"Adcyap1r1",0.112052956839209,0.566411963571826,"false"
11518,"Add1",0.014318140254349,0.85397057608591,"false"
11519,"Add2",-0.469764914843131,0.0192431465295315,"false"
11520,"Plin2",-0.321486478678826,0.0837860842255882,"false"
11522,"Adh1",0.117455819237613,0.387621327938977,"false"
11529,"Adh7",0.33031519258565,0.236039380301574,"false"
11532,"Adh5",-0.0171617553010094,0.857194713468334,"false"
11534,"Adk",-0.0691299194320719,0.487966894695555,"false"
11535,"Adm",-0.244403148650202,0.385839514877126,"false"
11536,"Gpr182",0.880541651925291,0.000267135232587011,"false"
11537,"Cfd",0.497920177880866,0.199480440735407,"false"
11538,"Adnp",0.0487549601060002,0.765117571562219,"false"
11539,"Adora1",0.0154837991448352,0.952685837183961,"false"
11540,"Adora2a",-0.2036166057143,0.330167300213222,"false"
11541,"Adora2b",-0.31643132844718,0.0648899852444156,"false"
11542,"Adora3",-0.729514294024906,0.0343669564788986,"false"
11544,"Adprh",-0.0980210486809758,0.341063514666648,"false"
11545,"Parp1",-0.029235706862395,0.730801839893666,"false"
11546,"Parp2",0.053278840125905,0.624150509244355,"false"
11548,"Adra1b",0.218326990382444,0.443190315614715,"false"
11549,"Adra1a",0.181747314971541,0.5597603559074,"false"
11550,"Adra1d",-0.00859696379604265,0.975461807373776,"false"
11551,"Adra2a",0.419488761704977,0.148323462763902,"false"
11552,"Adra2b",1.12617007259413,0.00471869420909104,"false"
11553,"Adra2c",-0.245146989969468,0.603678317411836,"false"
11554,"Adrb1",0.120546743214285,0.566548898408698,"false"
11555,"Adrb2",0.151347876197609,0.346337364406707,"false"
11556,"Adrb3",0.0309418740330261,0.899483541071116,"false"
11564,"Adsl",0.0337178440816093,0.741522891279075,"false"
11565,"Adss1",-0.0937025788206143,0.594945416246138,"false"
11566,"Adss2",0.00573174733523098,0.955215714949232,"false"
11567,"Avil",-0.249903512452953,0.385700445510083,"false"
11568,"Aebp1",0.00026855754988703,0.997977124161561,"false"
11569,"Aebp2",0.000442036731417112,0.995605702290605,"false"
11571,"Crisp1",-2.48562501901508,0.150625394985661,"false"
11572,"Crisp3",0.747051783026634,0.223169971298667,"false"
11576,"Afp",-0.306325270348862,0.367853452562389,"false"
11593,"Aga",-0.0996651294781861,0.428682930772627,"false"
11595,"Acan",0.694599667733026,0.278468074325973,"false"
11596,"Ager",-0.0135546021603373,0.89680664118903,"false"
11600,"Angpt1",-0.0761220082830212,0.497404204159455,"false"
11601,"Angpt2",0.168002368044587,0.323517428422529,"false"
11602,"Angpt4",-0.0184001104568543,0.956888490639358,"false"
11603,"Agrn",-0.0178533540446154,0.855310960565878,"false"
11604,"Agrp",0.176673782684774,0.659901212153828,"false"
11605,"Gla",-0.321950233422271,0.161834061994044,"false"
11606,"Agt",-0.155197355843274,0.67188114766562,"false"
11607,"Agtr1a",0.154991771082735,0.395635972145118,"false"
11608,"Agtr1b",0.327975332902085,0.61049087509461,"false"
11609,"Agtr2",0.626785958434042,0.641356130138306,"false"
11610,"Agtrap",-0.0166504497542845,0.868056790494203,"false"
11611,"Agxt",4.53262437608521,0.000294207498441444,"false"
11614,"Nr0b1",-1.68777834198849,0.24695342351268,"false"
11615,"Ahcyl",-0.0996007181817866,0.827650374897176,"false"
11622,"Ahr",0.207091428769749,0.239211583330562,"false"
11624,"Ahrr",-0.392793872020568,0.339393059751725,"false"
11625,"Ahsg",-0.181870630854644,0.599676194123201,"false"
11628,"Aicda",0.713750783633761,0.31842733296053,"false"
