"gene","symbol","effectsize","pvalue","signif"
11522,"Adh1",0.0904609758925603,0.506617605784949,"false"
11529,"Adh7",0.0255033861465956,0.927642715319863,"false"
11532,"Adh5",-0.0181565465410867,0.850165668147336,"false"
11534,"Adk",-0.026820384469959,0.788897163832739,"false"
11535,"Adm",-0.551533899412561,0.0526282110451966,"false"
11536,"Gpr182",-0.340509574740426,0.16024890064424,"false"
11537,"Cfd",-0.175849929938017,0.650305131814663,"false"
11538,"Adnp",-0.111702566013156,0.504211097372615,"false"
11539,"Adora1",0.321940570176132,0.217940941871813,"false"
11540,"Adora2a",-0.0543547027185204,0.796083148783742,"false"
11541,"Adora2b",-0.105293691234871,0.539805892042992,"false"
11542,"Adora3",-0.274336938815258,0.423266203991544,"false"
11544,"Adprh",-0.0703770404611928,0.497857732684037,"false"
11545,"Parp1",0.0821084489715273,0.336564178801519,"false"
11546,"Parp2",0.0661834774784445,0.548857317908625,"false"
11548,"Adra1b",-0.112642738023216,0.699873988494361,"false"
11549,"Adra1a",-0.588158114363086,0.062790461076033,"false"
11550,"Adra1d",0.102055158942338,0.720106941914252,"false"
11551,"Adra2a",0.115379322911887,0.700015195054519,"false"
11552,"Adra2b",0.231281652881183,0.599331796626463,"false"
11553,"Adra2c",0.756955126249411,0.0885522180642069,"false"
11554,"Adrb1",0.202815913275807,0.335789163604487,"false"
11555,"Adrb2",-0.134413293309195,0.405311902116338,"false"
11556,"Adrb3",-0.442314831420082,0.0769710237076093,"false"
11564,"Adsl",-0.0161218008252641,0.876470427652314,"false"
11565,"Adss1",0.0762791352803467,0.665814726861413,"false"
11566,"Adss2",0.113784902055775,0.266229211688847,"false"
11567,"Avil",-0.0996723270390519,0.732968924177159,"false"
11568,"Aebp1",0.101767306872412,0.337183343849981,"false"
11569,"Aebp2",-0.115187666812041,0.154287763489225,"false"
11571,"Crisp1",-2.48562501901508,0.190220004867063,"false"
11572,"Crisp3",1.09737763280389,0.0774393508910287,"false"
11576,"Afp",0.00879060437794707,0.979573310505266,"false"
11593,"Aga",-0.0185397962053183,0.884159522390114,"false"
11595,"Acan",1.7664316102852,0.00385204440817185,"false"
11596,"Ager",-0.0858096553554749,0.411729786104216,"false"
11600,"Angpt1",-0.117377368995723,0.297210355235235,"false"
11601,"Angpt2",0.112808350655915,0.510698976195019,"false"
11602,"Angpt4",-0.361871919564336,0.33221188319955,"false"
11603,"Agrn",0.0631391913439825,0.519269701378741,"false"
11604,"Agrp",0.193531865091442,0.637272401947665,"false"
11605,"Gla",0.172695756824481,0.451891069475343,"false"
11606,"Agt",0.0953894683159019,0.798721341832557,"false"
11607,"Agtr1a",-0.0490325449123208,0.792011453939819,"false"
11608,"Agtr1b",-0.693867202335763,0.36492641800899,"false"
11609,"Agtr2",0.247899590548291,0.857988711680953,"false"
11610,"Agtrap",0.122953599628675,0.221634996747555,"false"
11611,"Agxt",4.00571118209902,0.00382320400314595,"false"
11614,"Nr0b1",-1.68777834198849,0.299401109594999,"false"
11615,"Ahcyl",-0.722545792579427,0.183345821550485,"false"
11622,"Ahr",0.250153430737506,0.155688786370628,"false"
11624,"Ahrr",0.463671817849153,0.236736008297503,"false"
11625,"Ahsg",0.200244796082371,0.562266915164094,"false"
11628,"Aicda",0.862490138063667,0.237889645267092,"false"
11629,"Aif1",0.157365258234304,0.422158735688668,"false"
11630,"Crybg1",0.213388529864454,0.112373782744627,"false"
11632,"Aip",-0.0619408481704662,0.501005773860305,"false"
11634,"Aire",0.697552258999992,0.44091106368913,"false"
11636,"Ak1",0.118982699738457,0.534791850447821,"false"
11637,"Ak2",-0.0998792166214427,0.284537672652045,"false"
11639,"Ak4",-0.139539902107012,0.563037196104032,"false"
