Gene,Symbol,Ure,Ure,Ure,Ure_DMXAA,Ure_DMXAA,Ure_DMXAA,Ure_RT,Ure_RT,Ure_RT,Ure_RT_DMXAA,Ure_RT_DMXAA,Ure_RT_DMXAA,PBS_RT_DMXAA,PBS_RT_DMXAA,PBS_RT_DMXAA
ENSMUSG00000025925,Terf1,12.29078011,12.34081986,12.60100706,13.56623513,12.19679289,11.21520698,13.80716951,12.03716516,13.24559857,13.07874929,12.58120253,13.61401979,12.52119703,12.33418783,13.23669486
ENSMUSG00000104379,Gm37509,0.364557037,0.423459505,0.420033569,0.842042181,0.208492186,0.514983994,0.499408259,0.371190115,0.364557759,0.589615747,0.371596699,0.69560685,0.293752423,0.641927991,0.29560857
ENSMUSG00000032719,Sbspon,1.77070561,1.996309095,1.08008632,1.263063271,1.250953116,1.888274644,1.733240428,1.272651823,2.065827299,1.608042946,1.964153982,1.838389533,1.725795485,1.604819978,1.87218761
ENSMUSG00000067795,4930444P10Rik,0.468716191,0.24197686,0.720057546,0.561361454,0.416984372,0.743865769,0.616916085,0.636325911,0.607596264,0.750420041,0.424681942,0.596234443,0.403909582,0.779483989,1.018207297
ENSMUSG00000043716,Rpl7,443.8221531,424.003953,537.2229344,457.1353439,442.576788,469.6081819,432.9575836,414.5133041,426.2490327,414.7678772,397.130701,381.5900437,442.7583395,420.8755021,377.656371
ENSMUSG00000025921,Rdh10,37.13273823,37.56690752,31.80254163,36.11425353,34.08847242,36.621084,36.57431073,33.08894739,33.66083305,35.00173479,31.63880468,34.23379428,34.80966212,34.06803552,35.11172904
ENSMUSG00000025920,Stau2,21.09222859,20.26556203,21.42171201,21.33173525,21.26620298,23.51760238,21.88583253,23.01378713,24.22283774,25.08546996,22.13654622,21.11663653,22.06815077,23.88889167,21.7108072
ENSMUSG00000025939,Ube2w,34.42460024,35.44961,38.04304037,36.72239511,34.92244117,35.3050138,34.13602335,36.64176706,41.51907807,37.5746035,34.770834,39.84833529,39.80345331,43.28428739,40.85967346
ENSMUSG00000079658,Eloc,45.20507263,40.22865298,51.064081,45.28315728,41.1250837,44.74638702,44.65297375,47.56536188,46.94693804,46.95485402,45.54713827,46.05911074,48.616026,48.78652732,47.69151597
ENSMUSG00000025940,Tmem70,18.95696594,20.1445736,21.90175037,16.56016289,16.67937489,17.9099989,18.24308993,18.18831563,19.72662539,16.72364664,17.73047108,17.14174024,22.17830793,20.54169571,18.82041229
ENSMUSG00000025779,Ly96,2.864376722,2.903722321,3.300263754,2.85358739,2.971013651,3.20434485,2.438287382,4.772444335,3.483551916,3.966505933,3.238199807,4.769875546,3.1945576,3.989123944,4.138519981
ENSMUSG00000042686,Jph1,4.843400639,3.266687611,2.460196617,3.789189814,2.658275372,8.697507451,3.789627377,2.863466601,4.212667434,2.144057261,2.601176894,1.838389533,3.231276652,2.705267962,2.956085701
ENSMUSG00000067780,Pi15,18.54032933,20.62852732,10.44083442,11.55468993,10.78947063,15.33507893,13.7484156,23.59708588,21.26586926,18.17088529,16.13791379,18.43358154,23.09628425,28.97846359,22.00641577
ENSMUSG00000025776,Crispld1,3.072695029,4.597560341,4.020321301,5.520054296,2.866767558,5.435942157,5.229098241,6.204177636,4.010135346,6.753780373,7.378848741,7.552302948,5.25082456,11.46299984,7.225987268
ENSMUSG00000043760,Pkhd1,0.989511958,1.08889587,1.740139071,1.21628315,3.179505838,0.9155271,1.204455213,1.113570345,1.458231035,0.911224336,1.592557282,1.78870333,0.624223899,0.962891987,0.755444123
ENSMUSG00000041859,Mcm3,20.10271663,20.68902153,22.8618271,22.73513888,26.2178924,26.26418368,23.82471165,22.53654269,22.11650403,28.46236014,25.37474603,27.07898097,24.23457489,27.32779162,24.30559354
ENSMUSG00000025931,Paqr8,52.86077041,62.30904146,58.86470442,55.34088333,84.64782754,51.2695176,41.27462376,44.43675948,48.04061131,46.579644,41.83117128,51.32584832,46.70663525,47.86948733,42.76470647
ENSMUSG00000041809,Efhc1,10.15551747,10.58648763,9.300743308,11.55468993,10.16399407,10.81466387,12.39707561,11.82505652,12.31395096,13.13235073,11.25407146,10.93096479,12.41103987,11.46299984,14.71473771
ENSMUSG00000041779,Tram2,38.48680722,40.95458356,29.40234981,40.4648048,37.37222435,36.96440667,40.98085419,47.67141619,47.47352147,45.93642682,44.9632006,47.54969685,43.84254913,42.32139541,50.84467405
ENSMUSG00000025933,Tmem14a,4.583002755,4.718548771,7.200575464,4.958692842,5.83778121,6.523130588,6.081029977,5.726933202,5.346847127,6.324968921,5.308524274,5.564854804,6.315677093,5.593943922,6.667615525
ENSMUSG00000025934,Gsta3,193.1631502,185.4752632,197.9558205,167.566394,127.753587,190.3724164,198.7644871,175.6259515,173.6510124,143.8126408,159.3618987,108.6140411,179.7764828,150.8072259,166.3619342
ENSMUSG00000025936,Gm4956,11.61374562,13.49020995,12.78102145,15.53100022,10.00762493,14.19067005,16.33358776,12.19624663,11.42280977,8.951439066,12.74045826,6.310147858,12.7782304,8.803583877,13.72937581
