"","ID","Gene.name","logFC","logCPM","LR","PValue"
"12115","ENSMUSG00000041189","Chrnb1",0.475676177207667,4.94285219674576,6.24761786108381,0.0124360441338046
"12116","ENSMUSG00000042826","Fgf11",0.0685471567344447,3.75221195244268,0.0599274564144552,0.806610635334722
"12117","ENSMUSG00000089876","Tmem102",-0.0423502784003469,3.07908106127431,0.0277118655015525,0.867788024797913
"12118","ENSMUSG00000051790","Nlgn2",-0.441158935474622,5.61249291071687,4.12978628339654,0.0421346716788882
"12119","ENSMUSG00000070394","Tmem256",-0.112698377605373,4.58888038292061,0.232204507025218,0.629894015806999
"12120","ENSMUSG00000019461","Plscr3",-0.174249949120997,6.45396527714449,1.2583790159841,0.261958143892885
"12121","ENSMUSG00000001583","Tnk1",0.100746343485559,3.72274789530528,0.121932783633815,0.726947610942243
"12122","ENSMUSG00000094845","Tmem95",-0.941358585435661,-0.908973103121712,2.22582984512437,0.135719718338357
"12123","ENSMUSG00000046731","Kctd11",-0.457347300589091,5.01947769511142,7.92407704515936,0.00487812228127648
"12124","ENSMUSG00000001588","Acap1",0.902036810602894,3.86785311762273,13.4366454032109,0.0002467564639352
"12125","ENSMUSG00000018570","2810408A11Rik",0.40407303502168,0.682001270523278,0.447655208214659,0.503450566933944
"12126","ENSMUSG00000047284","Neurl4",0.154540316057931,5.96639284620545,0.870195167761063,0.350901283627349
"12127","ENSMUSG00000023170","Gps2",0.350404614690173,5.3509454908702,5.59362053888289,0.0180260002777514
"12128","ENSMUSG00000078812","Eif5a",0.0321393341687669,8.17739555366617,0.0381828165614428,0.845076498451145
"12129","ENSMUSG00000018554","Ybx2",0.595860979846559,0.591950327719327,1.25904665937187,0.261831622117802
"12130","ENSMUSG00000018566","Slc2a4",-0.0406480172043888,3.5206323532449,0.00696821548888416,0.93347318900436
"12131","ENSMUSG00000018569","Cldn7",-0.107561362454168,5.90016608309377,0.163137390835342,0.686284271017628
"12132","ENSMUSG00000018565","Elp5",-0.0587610208172844,4.74824319743182,0.14518572722032,0.703179170676435
"12133","ENSMUSG00000105100","Gm44349",0.357763167529359,0.838984950458389,0.664789091278328,0.414874287919893
"12134","ENSMUSG00000018559","Ctdnep1",0.0965112958814613,6.35276233829541,0.409412049550025,0.522268076698711
"12135","ENSMUSG00000018567","Gabarap",0.0244054443455727,7.79313308836917,0.0188131419346105,0.890903531187732
"12136","ENSMUSG00000018572","Phf23",-0.136602545057159,5.7275058124079,0.554429439319801,0.456513454520833
"12137","ENSMUSG00000020888","Dvl2",0.0742561731063682,4.85865230891941,0.203661069540265,0.651781824323133
"12138","ENSMUSG00000018574","Acadvl",-0.0111184942212687,6.13759349602685,0.00472026561696937,0.945225083567138
"12139","ENSMUSG00000020886","Dlg4",0.100785668518088,4.97388968503924,0.179947500687411,0.671418361497358
"12140","ENSMUSG00000020884","Asgr1",1.15138042341731,1.80815183916289,10.5698828118899,0.00114945012938373
"12141","ENSMUSG00000040963","Asgr2",0.140181036664375,1.33527978373751,0.0754993634022694,0.783491814613688
"12142","ENSMUSG00000040950","Mgl2",-0.5228096343195,4.85107623395911,4.59263221654609,0.0321096660260087
"12143","ENSMUSG00000000318","Clec10a",-0.853925066459011,2.31461500325058,4.62347454289156,0.0315372930183157
"12144","ENSMUSG00000040938","Slc16a11",0.392144160342601,5.82157323716042,4.71177357884459,0.0299567306140712
