"X","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000068890","ENSMUSG00000068890","Lce1a2",-3.94686208866319,-3.0344936368325,5.07216389882983,0.0243130150180646,0.525373601001278
"ENSMUSG00000031757","ENSMUSG00000031757","Mt4",-3.94686208866319,-3.0344936368325,5.07216389882983,0.0243130150180646,0.525373601001278
"ENSMUSG00000017204","ENSMUSG00000017204","Gsdma",-3.94686208866319,-2.91890726463037,5.07216389882983,0.0243130150180646,0.525373601001278
"ENSMUSG00000033765","ENSMUSG00000033765","Calm4",-3.94686208866319,-3.0344936368325,5.07216389882983,0.0243130150180646,0.525373601001278
"ENSMUSG00000024471","ENSMUSG00000024471","Myot",-3.94686208866319,-3.0344936368325,5.07216389882983,0.0243130150180646,0.525373601001278
"ENSMUSG00000034739","ENSMUSG00000034739","Mfrp",-1.21582591845313,-0.94876317197039,4.63031892264438,0.0314117242212079,0.571537920711515
"ENSMUSG00000103674","ENSMUSG00000103674",NA,-1.17547177632641,-0.788510851397444,4.54131811713273,0.0330861052951804,0.57775263143284
"ENSMUSG00000065037","ENSMUSG00000065037","Rn7sk",-1.03095505581973,-0.622158166191932,4.26865356932718,0.0388216802539019,0.607853720160776
"ENSMUSG00000028996","ENSMUSG00000028996","Rbp7",-1.03201486927496,1.02459432078619,4.2598940637149,0.0390223548476442,0.609335484799401
"ENSMUSG00000105355","ENSMUSG00000105355","Gm40117",-1.22897152440539,0.198640173335412,4.22525983450676,0.039826520905856,0.61191568083427
"ENSMUSG00000098488","ENSMUSG00000098488","Pla2g4b",-1.05563941421473,-0.533537945446854,3.97531214778172,0.046171894804161,0.650823625943525
"ENSMUSG00000085124","ENSMUSG00000085124","Gm12766",-1.15998329981458,-0.839379631977773,3.9564004863278,0.0466934487651577,0.65229357861579
"ENSMUSG00000087496","ENSMUSG00000087496","Gm13523",-1.12258951363221,-0.920109260252024,3.93866215711939,0.0471882911233298,0.65229357861579
"ENSMUSG00000051243","ENSMUSG00000051243","Islr2",-1.03609173830289,-0.620552025468232,3.90252026980647,0.0482137296360587,0.656022337939372
