gene1	gene2	correlation	module1	module2
ENSMUSG00000059956	ENSMUSG00000053522	0.7360945099016585	brown	brown
ENSMUSG00000059956	ENSMUSG00000030592	0.7432499160201352	brown	brown
ENSMUSG00000059956	ENSMUSG00000074199	0.782758010647446	brown	brown
ENSMUSG00000059956	ENSMUSG00000030693	0.7382335996395695	brown	brown
ENSMUSG00000059956	ENSMUSG00000038670	0.7011921225747706	brown	brown
ENSMUSG00000059956	ENSMUSG00000030730	0.7191299412458313	brown	brown
ENSMUSG00000059956	ENSMUSG00000030672	0.73407771148019	brown	brown
ENSMUSG00000059956	ENSMUSG00000031097	0.7748924689950024	brown	brown
ENSMUSG00000059956	ENSMUSG00000061723	0.759273702230249	brown	brown
ENSMUSG00000059956	ENSMUSG00000000031	0.7565978699366718	brown	brown
ENSMUSG00000059956	ENSMUSG00000005355	0.7463346884964946	brown	brown
ENSMUSG00000059956	ENSMUSG00000020216	0.7068830161740352	brown	brown
ENSMUSG00000059956	ENSMUSG00000020061	0.7491020344092848	brown	brown
ENSMUSG00000059956	ENSMUSG00000035923	0.7260612192579425	brown	brown
ENSMUSG00000059956	ENSMUSG00000059230	0.7852836513498807	brown	brown
ENSMUSG00000059956	ENSMUSG00000074156	0.7291082254402982	brown	brown
ENSMUSG00000059956	ENSMUSG00000031757	0.767197000995369	brown	brown
ENSMUSG00000059956	ENSMUSG00000062826	0.7223480271881961	brown	brown
ENSMUSG00000059956	ENSMUSG00000031972	0.7084857417286259	brown	brown
ENSMUSG00000059956	ENSMUSG00000068697	0.7209027043284661	brown	brown
ENSMUSG00000059956	ENSMUSG00000043681	0.7482075461381645	brown	brown
ENSMUSG00000059956	ENSMUSG00000032373	0.7315164689737252	brown	brown
ENSMUSG00000059956	ENSMUSG00000032262	0.7091941635050797	brown	brown
ENSMUSG00000059956	ENSMUSG00000033196	0.7415455673912787	brown	brown
ENSMUSG00000059956	ENSMUSG00000056328	0.7747592286521106	brown	brown
ENSMUSG00000059956	ENSMUSG00000057003	0.7415783537648175	brown	brown
ENSMUSG00000059956	ENSMUSG00000055775	0.7683003447102521	brown	brown
ENSMUSG00000059956	ENSMUSG00000032807	0.7341989629013219	brown	brown
ENSMUSG00000059956	ENSMUSG00000017204	0.7252916292941839	brown	brown
ENSMUSG00000059956	ENSMUSG00000044041	0.7770131682110917	brown	brown
ENSMUSG00000059956	ENSMUSG00000045545	0.7053856533547669	brown	brown
ENSMUSG00000059956	ENSMUSG00000020722	0.7311275946422799	brown	brown
ENSMUSG00000059956	ENSMUSG00000018862	0.7257184183977571	brown	brown
ENSMUSG00000059956	ENSMUSG00000033765	0.7602510153510186	brown	brown
ENSMUSG00000059956	ENSMUSG00000021506	0.7263041201825905	brown	brown
ENSMUSG00000059956	ENSMUSG00000021565	0.7150466782433504	brown	brown
ENSMUSG00000059956	ENSMUSG00000034634	0.7169270949451539	brown	brown
ENSMUSG00000059956	ENSMUSG00000059668	0.7396018397533252	brown	brown
ENSMUSG00000059956	ENSMUSG00000050463	0.7014722443264921	brown	brown
ENSMUSG00000059956	ENSMUSG00000090356	0.7445403517045972	brown	brown
ENSMUSG00000059956	ENSMUSG00000034362	0.7315977391436446	brown	brown
ENSMUSG00000059956	ENSMUSG00000046748	0.7286680942711821	brown	brown
ENSMUSG00000059956	ENSMUSG00000062713	0.7144381887749153	brown	brown
ENSMUSG00000059956	ENSMUSG00000002500	0.70857364079029606	brown	brown
ENSMUSG00000059956	ENSMUSG00000092586	0.7322708159627157	brown	brown
ENSMUSG00000059956	ENSMUSG00000039518	0.7340522415427453	brown	brown
ENSMUSG00000059956	ENSMUSG00000039269	0.7416844570219033	brown	brown
ENSMUSG00000059956	ENSMUSG00000025431	0.7495394210175209	brown	brown
ENSMUSG00000059956	ENSMUSG00000059898	0.7150331379492909	brown	brown
ENSMUSG00000059956	ENSMUSG00000044322	0.7600218925963517	brown	brown
ENSMUSG00000059956	ENSMUSG00000069441	0.7338063529526664	brown	brown
ENSMUSG00000059956	ENSMUSG00000061928	0.7364322084088765	brown	brown
ENSMUSG00000059956	ENSMUSG00000056632	0.7442217328006482	brown	brown
ENSMUSG00000059956	ENSMUSG00000071858	0.7766712368937417	brown	brown
ENSMUSG00000059956	ENSMUSG00000024471	0.7208865092803648	brown	brown
ENSMUSG00000059956	ENSMUSG00000069372	0.7438327026077697	brown	brown
ENSMUSG00000059956	ENSMUSG00000049173	0.7292903908350591	brown	brown
ENSMUSG00000059956	ENSMUSG00000075296	0.7243440431767558	brown	brown
ENSMUSG00000059956	ENSMUSG00000006457	0.7193720217937366	brown	brown
ENSMUSG00000059956	ENSMUSG00000056078	0.739449378071473	brown	brown
ENSMUSG00000044594	ENSMUSG00000061816	0.7156244578255188	brown	brown
ENSMUSG00000044594	ENSMUSG00000050296	0.7160643628693424	brown	brown
ENSMUSG00000044594	ENSMUSG00000059956	0.7852836513498807	brown	brown
ENSMUSG00000044594	ENSMUSG00000073602	0.7874926876407348	brown	brown
ENSMUSG00000044594	ENSMUSG00000073601	0.7904841126487525	brown	brown
ENSMUSG00000044594	ENSMUSG00000026327	0.7725947684661398	brown	brown
ENSMUSG00000044594	ENSMUSG00000026450	0.7511247650038122	brown	brown
ENSMUSG00000044594	ENSMUSG00000026413	0.7800340489794105	brown	brown
ENSMUSG00000044594	ENSMUSG00000026407	0.7665715051805253	brown	brown
ENSMUSG00000044594	ENSMUSG00000007122	0.7641741800984263	brown	brown
ENSMUSG00000044594	ENSMUSG00000026983	0.7826770442570595	brown	brown
ENSMUSG00000044594	ENSMUSG00000036731	0.7725939042720268	brown	brown
ENSMUSG00000044594	ENSMUSG00000026950	0.7636515109773777	brown	brown
ENSMUSG00000044594	ENSMUSG00000027077	0.7626973474363583	brown	brown
ENSMUSG00000044594	ENSMUSG00000075217	0.7389431104212444	brown	brown
ENSMUSG00000044594	ENSMUSG00000050808	0.7565155104258832	brown	brown
ENSMUSG00000044594	ENSMUSG00000027401	0.7939476521411898	brown	brown
ENSMUSG00000044594	ENSMUSG00000017697	0.791439837731958	brown	brown
ENSMUSG00000044594	ENSMUSG00000040154	0.7712661283578295	brown	brown
ENSMUSG00000044594	ENSMUSG00000017300	0.7866460620104474	brown	brown
ENSMUSG00000044594	ENSMUSG00000043461	0.7227382845389092	brown	brown
ENSMUSG00000044594	ENSMUSG00000074489	0.7681379839949884	brown	brown
ENSMUSG00000044594	ENSMUSG00000043165	0.789915835239993	brown	brown
ENSMUSG00000044594	ENSMUSG00000045539	0.791444806350588	brown	brown
ENSMUSG00000044594	ENSMUSG00000057609	0.7660023793729882	brown	brown
ENSMUSG00000044594	ENSMUSG00000027923	0.787492687640735	brown	brown
ENSMUSG00000044594	ENSMUSG00000068890	0.7946086715431293	brown	brown
ENSMUSG00000044594	ENSMUSG00000042092	0.7919057066761918	brown	brown
ENSMUSG00000044594	ENSMUSG00000103243	0.7868458669362526	brown	brown
ENSMUSG00000044594	ENSMUSG00000068889	0.7944159405956205	brown	brown
ENSMUSG00000044594	ENSMUSG00000042124	0.7917993709255077	brown	brown
ENSMUSG00000044594	ENSMUSG00000027919	0.7874926876407348	brown	brown
ENSMUSG00000044594	ENSMUSG00000049593	0.7874926876407348	brown	brown
ENSMUSG00000044594	ENSMUSG00000068888	0.7874926876407348	brown	brown
ENSMUSG00000044594	ENSMUSG00000095870	0.7874926876407347	brown	brown
ENSMUSG00000044594	ENSMUSG00000059832	0.7874926876407348	brown	brown
ENSMUSG00000044594	ENSMUSG00000090314	0.7874926876407348	brown	brown
ENSMUSG00000044594	ENSMUSG00000054325	0.792814198652981	brown	brown
ENSMUSG00000044594	ENSMUSG00000042031	0.7874926876407348	brown	brown
ENSMUSG00000044594	ENSMUSG00000045475	0.7874926876407348	brown	brown
ENSMUSG00000044594	ENSMUSG00000074433	0.7874926876407348	brown	brown
ENSMUSG00000044594	ENSMUSG00000068885	0.7874926876407348	brown	brown
ENSMUSG00000044594	ENSMUSG00000027913	0.7917578130733588	brown	brown
ENSMUSG00000044594	ENSMUSG00000027912	0.7906067535942506	brown	brown
ENSMUSG00000044594	ENSMUSG00000102439	0.7874926876407348	brown	brown
ENSMUSG00000044594	ENSMUSG00000041991	0.7749496092101169	brown	brown
ENSMUSG00000044594	ENSMUSG00000041984	0.7753861700004605	brown	brown
ENSMUSG00000044594	ENSMUSG00000028148	0.774708778843741	brown	brown
ENSMUSG00000044594	ENSMUSG00000027868	0.7776015366536224	brown	brown
ENSMUSG00000044594	ENSMUSG00000027887	0.7557519964273188	brown	brown
ENSMUSG00000044594	ENSMUSG00000090066	0.7143630554960593	brown	brown
ENSMUSG00000044594	ENSMUSG00000028464	0.7457522021185718	brown	brown
ENSMUSG00000044594	ENSMUSG00000037188	0.7177911908111316	brown	brown
ENSMUSG00000044594	ENSMUSG00000037139	0.7196150718945961	brown	brown
ENSMUSG00000044594	ENSMUSG00000028749	0.793922270321945	brown	brown
ENSMUSG00000044594	ENSMUSG00000043430	0.7774908075890851	brown	brown
ENSMUSG00000044594	ENSMUSG00000072845	0.7810212397646582	brown	brown
ENSMUSG00000044594	ENSMUSG00000039070	0.7739507840819434	brown	brown
ENSMUSG00000044594	ENSMUSG00000033508	0.7842175845913942	brown	brown
ENSMUSG00000044594	ENSMUSG00000044086	0.7180111691684334	brown	brown
ENSMUSG00000044594	ENSMUSG00000030484	0.7948684786704178	brown	brown
ENSMUSG00000044594	ENSMUSG00000011632	0.7378549864102468	brown	brown
ENSMUSG00000044594	ENSMUSG00000057454	0.779561795279595	brown	brown
ENSMUSG00000044594	ENSMUSG00000063651	0.7898537871036113	brown	brown
ENSMUSG00000044594	ENSMUSG00000047586	0.7596350478290094	brown	brown
ENSMUSG00000044594	ENSMUSG00000053522	0.7711392501352264	brown	brown
ENSMUSG00000044594	ENSMUSG00000030592	0.7964864972718967	brown	brown
ENSMUSG00000044594	ENSMUSG00000046056	0.7566069830212532	brown	brown
ENSMUSG00000044594	ENSMUSG00000074199	0.7909690547046999	brown	brown
ENSMUSG00000044594	ENSMUSG00000030693	0.7889218578469729	brown	brown
