"gene","kMEblue","kMEbrown","kMEgreen","kMEgrey","kMEred","kMEturquoise","kMEyellow"
"ENSMUSG00000080727",0.845693622481128,0.125084985640126,0.159903341124368,0.143851682896532,0.192828116307884,-0.854754473884106,0.401831930390923
"ENSMUSG00000038543",0.935260952008769,0.148589770158005,0.480816108074083,-0.268209204454749,-0.0390625943033734,-0.870480957808549,0.333005979733772
"ENSMUSG00000056145",0.801679477058702,0.00798108977487794,0.120289163261037,0.210410118495201,0.291424486613397,-0.819795925832495,0.463487910517099
"ENSMUSG00000040724",0.91037192437564,-0.012500755755191,0.515793355391421,-0.286257844104939,-0.0942337291780594,-0.829658866196947,0.261790589594089
"ENSMUSG00000050947",0.944018156406292,0.072424308456154,0.537362394110657,-0.244982973938914,-0.0777132266319613,-0.920501207221539,0.472242038862644
"ENSMUSG00000046561",0.914755663715765,0.203914545140294,0.287611408248527,0.0234192726747271,0.237073032694039,-0.882833542307753,0.367824614673111
"ENSMUSG00000045573",0.94334503520633,0.403761457948798,0.282556592918631,-0.0341020659156977,0.110191484843413,-0.953435698943306,0.502681634573848
"ENSMUSG00000028444",0.848969500994202,0.365659225186744,0.191428899797976,0.0874126986346711,0.115391780606494,-0.884914635405419,0.59528893080044
"ENSMUSG00000028475",0.848514593159252,-0.0700597273704529,0.533352298465729,-0.192245977458722,-0.209739801694056,-0.84124567939,0.602353551849399
"ENSMUSG00000028476",0.912524079831722,0.341376710134225,0.27746398383897,-0.046086218104999,0.229931929728704,-0.879759719501529,0.191803250798223
"ENSMUSG00000028347",0.876675948217346,0.121425080096385,0.25831020512102,0.00141031148310858,0.0692836510846978,-0.893427403059349,0.632120854067476
"ENSMUSG00000008305",0.856050519749469,0.118667268152244,0.430315660532781,-0.266559691022037,-0.154440453202536,-0.828553752444241,0.474830825186327
"ENSMUSG00000048706",0.879374100255588,0.469588474056158,0.325440804698515,-0.0838701053500816,0.0758249691797888,-0.897847254267712,0.373379184043235
"ENSMUSG00000038007",0.847684212277837,0.334809764741906,0.178871757420529,-0.0463026815255455,0.257047331582226,-0.825868672669432,0.301998928961853
"ENSMUSG00000006386",0.972462861324555,0.226205325251556,0.342688699782424,-0.0706624307188699,0.129672876294204,-0.954438608598863,0.482899580448988
"ENSMUSG00000052684",0.977068770991271,0.226339924012303,0.298180153367732,-0.0174424649152201,0.129991577740128,-0.97394279427533,0.529762985234548
"ENSMUSG00000057722",0.919228254980192,0.340398207757876,0.377305288223827,-0.145959621832936,0.160463351950034,-0.879169961503853,0.271394615848743
"ENSMUSG00000028713",0.943590139381503,0.226840216931106,0.457014632379717,-0.276328710615273,-0.0282973909380218,-0.884904707831224,0.235100823086386
"ENSMUSG00000028909",0.862238922848947,0.135778916514374,-0.0685254706413326,0.380146343625976,0.425975560260712,-0.904531480128348,0.571792851310845
"ENSMUSG00000028906",0.882166404773722,0.235687533280874,-0.0757024306606753,0.311057546146751,0.476125344092156,-0.894168239759186,0.404880075775787
"ENSMUSG00000028832",0.910898677648226,0.0908983338356434,0.408045365459871,-0.0969500933776965,-0.0224943070557525,-0.903723267463547,0.6304735165493
"ENSMUSG00000057530",0.96910123291258,0.156021867983003,0.244028965524492,0.0246073904811691,0.196215247543884,-0.947007082834253,0.44927354920718
"ENSMUSG00000060572",0.936818606485829,0.124491382942613,0.423663564910122,-0.172513717992108,-0.0185861036544981,-0.893496207901488,0.442718460462629
"ENSMUSG00000028977",0.885615373239239,-0.0785466546863195,0.240187513286598,0.117066786257233,0.205198127616639,-0.887695361622732,0.465575682148501
"ENSMUSG00000002944",0.959295739348078,0.171889991245439,0.274895998657514,0.0241772278909819,0.142503218195633,-0.964653056941888,0.584897153192511
"ENSMUSG00000042453",0.870543852008315,0.346032445627597,0.0633121757215565,0.172643344621107,0.439537056075141,-0.868143336862225,0.273522704731568
"ENSMUSG00000029168",0.904248022272903,0.129772283173078,0.30521324429507,-0.0866594620358044,0.232932414440643,-0.849148708823337,0.151605481859709
"ENSMUSG00000029096",0.908815016999041,0.217854413903497,0.432003546920211,-0.227502617846969,-0.0396656300454083,-0.850117035101604,0.327278402622972
"ENSMUSG00000107134",0.893681405429149,0.174227588722074,0.157879920823474,0.16076515268658,0.251158218741335,-0.899845972902542,0.505710370481796
"ENSMUSG00000051022",0.842620099937715,0.248344548157872,0.00864253901629065,0.295375811411516,0.312518572401548,-0.888896219858755,0.607589380538009
"ENSMUSG00000039706",0.808414034414276,0.0078362687523351,0.74475309650689,-0.506917693479012,-0.315273602971451,-0.733901023947029,0.329056094980282
"ENSMUSG00000029090",0.858881647173863,0.0670142115815575,0.637516480871967,-0.414414119646208,-0.122040889272546,-0.76484109521846,0.0963370439944579
"ENSMUSG00000037999",0.878726207499175,0.143648018766867,-0.00831800205002277,0.228537108089467,0.420663916135477,-0.875464701584964,0.408424492164518
"ENSMUSG00000054920",0.968134267622216,0.0948998977383124,0.474729295107111,-0.185830403697005,0.0155835283792246,-0.920464709245639,0.394520820149546
"ENSMUSG00000005672",0.93924470353005,0.318278720845827,0.0954644341163278,0.161334384064826,0.372356567876324,-0.932221429751192,0.40683767075429
"ENSMUSG00000037605",0.941709047332322,0.306638814218707,0.170760974086527,0.0476894889359932,0.316358664648972,-0.922874615094625,0.322032281280772
"ENSMUSG00000029334",0.824936994922279,-0.0326958313362745,0.571057049339235,-0.397101194428465,-0.158616511116904,-0.719245432867221,0.198200283995629
"ENSMUSG00000029287",0.879723569957525,0.396031465324244,0.0834074870526062,0.111530507034111,0.366744307483856,-0.859499321366955,0.196947823362429
"ENSMUSG00000087516",0.824634144436157,0.222161017231331,0.0354878273634464,0.204112418616115,0.376644652404403,-0.805518804850238,0.281610810127748
"ENSMUSG00000029455",0.903824217763679,0.142345730032423,0.460413499858883,-0.228988968633558,-0.100713297249933,-0.871371555642546,0.520975919234756
"ENSMUSG00000034310",0.937743789725052,0.26121648318791,0.0932996960593601,0.173940808837024,0.306081841921168,-0.952913210448382,0.502686862021474
"ENSMUSG00000018001",0.942329225809643,0.051978248695381,0.469941975542196,-0.222146819863125,-0.00932583026819452,-0.891993028867686,0.381585067005347
"ENSMUSG00000092035",0.816612586529132,0.00930192108419522,0.448096560859208,-0.0741382694144251,-0.0312453598093429,-0.835706007111958,0.540297362100775
"ENSMUSG00000002588",0.8374903657478,0.0822673089125644,0.563855577331468,-0.42034281891561,-0.16562234109338,-0.759472611467096,0.112163880626433
"ENSMUSG00000000058",0.924633550861912,0.233130974634971,0.372569501013913,-0.170815877071003,0.0662572235555242,-0.894434577589964,0.312137287049527
"ENSMUSG00000007655",0.948501513559256,0.321220348894577,0.454011356365,-0.242371561457866,-0.00196956169533881,-0.912630976308239,0.299105770371138
"ENSMUSG00000041301",0.879464090964179,0.104505775541869,0.356281890607601,-0.0633491147921086,0.0523014164471026,-0.880560443882789,0.38468211751509
"ENSMUSG00000017978",0.954936888038811,0.302122102074332,0.286877775700584,-0.0139783260611809,0.217449273414399,-0.955509206089781,0.397512931413564
"ENSMUSG00000003500",0.867062327113806,-0.198649808808242,0.358977915094893,-0.0729470913812076,0.00369236378782973,-0.837619039829784,0.544838476448123
"ENSMUSG00000043421",0.914806435385819,0.219050770281329,0.239739039225378,-0.0453190136058416,0.125262269187209,-0.899279110408455,0.497509432695901
