"gene1","module1","EntrezID"
"ENSMUSG00000020884","blue","11889"
"ENSMUSG00000040938","blue","216867"
"ENSMUSG00000020811","blue","216881"
"ENSMUSG00000020788","blue","53313"
"ENSMUSG00000020836","blue","216961"
"ENSMUSG00000017344","blue","22370"
"ENSMUSG00000018334","blue","16706"
"ENSMUSG00000078763","blue","20555"
"ENSMUSG00000000204","blue","20558"
"ENSMUSG00000035085","blue","66330"
"ENSMUSG00000020682","blue","118453"
"ENSMUSG00000000805","blue","12351"
"ENSMUSG00000069763","blue","67888"
"ENSMUSG00000038700","blue","15413"
"ENSMUSG00000061718","blue","19049"
"ENSMUSG00000058756","blue","21833"
"ENSMUSG00000020911","blue","16669"
"ENSMUSG00000001552","blue","16480"
"ENSMUSG00000004044","blue","19285"
"ENSMUSG00000001240","blue","54409"
"ENSMUSG00000034936","blue","80981"
"ENSMUSG00000006574","blue","20533"
"ENSMUSG00000085338","blue","69739"
"ENSMUSG00000048878","blue","192231"
"ENSMUSG00000018411","blue","17762"
"ENSMUSG00000020681","blue","11421"
"ENSMUSG00000001029","blue","15896"
"ENSMUSG00000018363","blue","66313"
"ENSMUSG00000078607","blue","69066"
"ENSMUSG00000040430","blue","71795"
"ENSMUSG00000020599","blue","19739"
"ENSMUSG00000041828","blue","217258"
"ENSMUSG00000034471","blue","140721"
"ENSMUSG00000034282","blue","14027"
"ENSMUSG00000025150","blue","12409"
"ENSMUSG00000076431","blue","20677"
"ENSMUSG00000039004","blue","12161"
"ENSMUSG00000051335","blue","328232"
"ENSMUSG00000021390","blue","18295"
"ENSMUSG00000005320","blue","14186"
"ENSMUSG00000021495","blue","212483"
"ENSMUSG00000021559","blue","69635"
"ENSMUSG00000044258","blue","13024"
"ENSMUSG00000021573","blue","72948"
"ENSMUSG00000052485","blue","380863"
"ENSMUSG00000023132","blue","14938"
"ENSMUSG00000021765","blue","14313"
"ENSMUSG00000042284","blue","109700"
"ENSMUSG00000020571","blue","71853"
"ENSMUSG00000020642","blue","108089"
"ENSMUSG00000019256","blue","11622"
"ENSMUSG00000045930","blue","66864"
"ENSMUSG00000046768","blue","80837"
"ENSMUSG00000063450","blue","319565"
"ENSMUSG00000021055","blue","13983"
"ENSMUSG00000060716","blue","211945"
"ENSMUSG00000066438","blue","217682"
"ENSMUSG00000021224","blue","18222"
"ENSMUSG00000072949","blue","26897"
"ENSMUSG00000044456","blue","217835"
"ENSMUSG00000066363","blue","238393"
"ENSMUSG00000021294","blue","668303"
"ENSMUSG00000011171","blue","22355"
"ENSMUSG00000054263","blue","16880"
"ENSMUSG00000022197","blue","68070"
"ENSMUSG00000022237","blue","67434"
"ENSMUSG00000051359","blue","52589"
"ENSMUSG00000060429","blue","20649"
"ENSMUSG00000022376","blue","11514"
"ENSMUSG00000053469","blue","21819"
"ENSMUSG00000036661","blue","105841"
"ENSMUSG00000022595","blue","68311"
"ENSMUSG00000022579","blue","68453"
"ENSMUSG00000091694","blue","328563"
"ENSMUSG00000033170","blue","105844"
"ENSMUSG00000049521","blue","104445"
"ENSMUSG00000055065","blue","67040"
"ENSMUSG00000053411","blue","52609"
"ENSMUSG00000042428","blue","17309"
"ENSMUSG00000061740","blue","56448"
"ENSMUSG00000022623","blue","58234"
"ENSMUSG00000036158","blue","106042"
"ENSMUSG00000022475","blue","56233"
"ENSMUSG00000023000","blue","13363"
"ENSMUSG00000023011","blue","72393"
"ENSMUSG00000000530","blue","11482"
"ENSMUSG00000061397","blue","223917"
"ENSMUSG00000023046","blue","16012"
"ENSMUSG00000039457","blue","19041"
"ENSMUSG00000003526","blue","19125"
"ENSMUSG00000041378","blue","12741"
"ENSMUSG00000022537","blue","224090"
"ENSMUSG00000022844","blue","72599"
"ENSMUSG00000061080","blue","268890"
"ENSMUSG00000075033","blue","385658"
"ENSMUSG00000035258","blue","320712"
"ENSMUSG00000022747","blue","54613"
"ENSMUSG00000041134","blue","224405"
"ENSMUSG00000022941","blue","170765"
"ENSMUSG00000014773","blue","13388"
"ENSMUSG00000045551","blue","14293"
"ENSMUSG00000052270","blue","14289"
"ENSMUSG00000039218","blue","75956"
"ENSMUSG00000002504","blue","65962"
"ENSMUSG00000039628","blue","328779"
"ENSMUSG00000024163","blue","30957"
"ENSMUSG00000063011","blue","56047"
"ENSMUSG00000024190","blue","19252"
"ENSMUSG00000024008","blue","240058"
"ENSMUSG00000024011","blue","74116"
"ENSMUSG00000024027","blue","14652"
"ENSMUSG00000041119","blue","18585"
"ENSMUSG00000073424","blue","106648"
"ENSMUSG00000042099","blue","80880"
"ENSMUSG00000096727","blue","16912"
"ENSMUSG00000015468","blue","18132"
"ENSMUSG00000035929","blue","15015"
"ENSMUSG00000055413","blue","15016"
"ENSMUSG00000073409","blue","110557"
