"X","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000052373","ENSMUSG00000052373","Mpp3",-1.0492186560419,1.91753224849014,9.47706125688876,0.00208056983142157,0.145800582617384
"ENSMUSG00000024517","ENSMUSG00000024517","Grp",-1.14556948088321,0.779837498777828,8.87723429506491,0.00288748639522819,0.183005066056393
"ENSMUSG00000013611","ENSMUSG00000013611","Snx31",-1.47081927825521,-0.551673438030029,8.74622896446745,0.00310242946655318,0.194482842086947
"ENSMUSG00000076563","ENSMUSG00000076563","Igkv5-48",-1.47410725519233,5.68214930881348,8.57442314201297,0.00340917949755842,0.205492466288146
"ENSMUSG00000105355","ENSMUSG00000105355","Gm40117",-1.692203930833,0.198640173335412,8.42266188321161,0.00370572868269819,0.218030910447215
"ENSMUSG00000094509","ENSMUSG00000094509","Ighv14-1",-1.89426302400313,1.31699878224308,8.13732699104223,0.00433631609481252,0.241498882086371
"ENSMUSG00000095753","ENSMUSG00000095753","Igkv4-53",-1.6302039613952,3.85663458836397,7.98534603023663,0.00471574811718281,0.251057126440966
"ENSMUSG00000092500","ENSMUSG00000092500","Gm20400",-1.40491271610005,-0.35381909754227,7.8359908814343,0.0051216070447418,0.259991920213832
"ENSMUSG00000096074","ENSMUSG00000096074","Ighv1-72",-1.29615854228657,1.30631556062182,7.62450865129744,0.00575803549599093,0.28070849222164
"ENSMUSG00000035916","ENSMUSG00000035916","Ptprq",-1.7662900784096,0.470898047569178,7.62254692863763,0.00576430223600329,0.28070849222164
"ENSMUSG00000039257","ENSMUSG00000039257","Vstm2b",-1.40717126409896,-0.617996078353893,7.31439648629155,0.00684043677477335,0.314459438827514
"ENSMUSG00000028359","ENSMUSG00000028359","Orm3",-1.33636952842074,-0.734385661180127,6.83669066940946,0.00893041292154882,0.366453595146421
"ENSMUSG00000097597","ENSMUSG00000097597","Gm26674",-1.1383134787063,-0.062351276864238,6.78763620679007,0.00917913729702563,0.37232740673747
"ENSMUSG00000045027","ENSMUSG00000045027","Prss22",-1.13225067848175,0.525303079569583,6.54661101627615,0.0105084130729327,0.392865316364633
"ENSMUSG00000076522","ENSMUSG00000076522","Igkv16-104",-1.42250829367757,5.11052913525869,6.54405302825164,0.0105235327314605,0.392865316364633
"ENSMUSG00000068860","ENSMUSG00000068860","Gm128",-1.5006757459833,-0.94533696543918,6.43161137438931,0.0112106826931826,0.398429252486559
"ENSMUSG00000048355","ENSMUSG00000048355","Arxes1",-1.21617121324676,-0.407707251203658,6.35905289354523,0.011678386580284,0.403162047663587
"ENSMUSG00000096594","ENSMUSG00000096594","Igkv8-19",-1.30935634778742,4.47844882205751,6.28511816412076,0.012175596000943,0.409951366133313
"ENSMUSG00000053030","ENSMUSG00000053030","Spink2",-1.48914187551893,-1.19128984774093,6.22445995412009,0.012599733214897,0.41365940681896
