Unnamed: 0,ID_Ure_RT_vs_PBS,Gene.name,logFC_Ure_RT_vs_PBS,logCPM_Ure_RT_vs_PBS,LR_Ure_RT_vs_PBS,PValue_Ure_RT_vs_PBS,FDR_Ure_RT_vs_PBS,X,ID_Cluster1,logFC_Cluster1,logCPM_Cluster1,LR_Cluster1,PValue_Cluster1,FDR_Cluster1
ENSMUSG00000055254,ENSMUSG00000055254,Ntrk2,1.18422446230438,5.33956397267135,11.2523478067269,0.0007952236613686,0.0409219722338325,,,,,,,
ENSMUSG00000047986,ENSMUSG00000047986,Palm3,1.10358735215687,1.66952630437939,15.923477546769,6.59554958627786e-05,0.0064237671930985,,,,,,,
ENSMUSG00000014030,ENSMUSG00000014030,Pax5,1.5886474029598,3.99468548093286,33.4931302051255,7.151614594166531e-09,1.02202035699288e-05,ENSMUSG00000014030,ENSMUSG00000014030,1.58871272783756,4.19006851262882,77.6471635309676,1.2319308820625399e-18,7.0790854919587105e-15
ENSMUSG00000028957,ENSMUSG00000028957,Per3,1.62740754597744,6.16064725404965,37.738853901258,8.08775149980733e-10,1.99178211578826e-06,ENSMUSG00000028957,ENSMUSG00000028957,1.62770397637552,5.93227091134831,110.26801212287,8.55988036088864e-26,1.47563777541359e-21
ENSMUSG00000021506,ENSMUSG00000021506,Pitx1,2.86021009557218,0.0626721105032128,11.1405098395927,0.0008446267366788,0.0426988516448225,,,,,,,
ENSMUSG00000026413,ENSMUSG00000026413,Pkp1,7.10546932323734,0.836669476274105,22.1457179756296,2.52719018981438e-06,0.0007511419255553,,,,,,,
ENSMUSG00000041984,ENSMUSG00000041984,Rptn,3.98575839427064,2.77073327927955,16.4248070749918,5.0618431253398e-05,0.0053509033326991,,,,,,,
ENSMUSG00000030592,ENSMUSG00000030592,Ryr1,2.19323965313026,2.88779485899086,16.0729816990971,6.09474203190968e-05,0.0061442840870228,,,,,,,
ENSMUSG00000044770,ENSMUSG00000044770,Scml4,1.32838744537684,2.32103740775557,25.210464942581,5.14025214024022e-07,0.0002461466851266,ENSMUSG00000044770,ENSMUSG00000044770,1.32850388218301,2.50979688842733,30.909135068105,2.70396016637053e-08,1.08403649553632e-05
ENSMUSG00000001027,ENSMUSG00000001027,Scn4a,1.37256598121958,1.15441536261505,11.3529588383231,0.0007532786370325,0.0394704268200749,,,,,,,
