"X","ID","Gene.name","logFC","logCPM","LR","PValue","FDR","entrezgene_id"
"ENSMUSG00000083692","ENSMUSG00000083692","Gm9575",0.108455715617711,-1.16088079506401,0.0216051848294401,0.883142263480034,0.999992770297331,NA
"ENSMUSG00000020184","ENSMUSG00000020184","Mdm2",-0.0171882049109983,6.58236006199238,0.0216038727197121,0.883145786510982,0.999992770297331,17246
"ENSMUSG00000027420","ENSMUSG00000027420","Bfsp1",0.0596388435978229,0.737889203652243,0.0215905582195317,0.883181542293136,0.999992770297331,12075
"ENSMUSG00000032252","ENSMUSG00000032252","Glce",-0.0209399638466861,5.13109796856269,0.0215849481581331,0.883196611355769,0.999992770297331,93683
"ENSMUSG00000036810","ENSMUSG00000036810","Cnep1r1",0.0216500879810768,5.16038483366088,0.0215741473364623,0.883225628839944,0.999992770297331,382030
"ENSMUSG00000028496","ENSMUSG00000028496","Mllt3",0.0214023378368183,5.11806820064279,0.0215405972366693,0.883315811881952,0.999992770297331,70122
"ENSMUSG00000060600","ENSMUSG00000060600","Eno3",-0.0284272670582716,4.04821511165695,0.0215382772453654,0.883322050695657,0.999992770297331,13808
"ENSMUSG00000024542","ENSMUSG00000024542","Cep192",-0.021373627428638,4.84368413911612,0.0215357113192291,0.883328951265744,0.999992770297331,70799
"ENSMUSG00000082585","ENSMUSG00000082585","Gm15387",-0.0585741935447548,1.29060097471166,0.0215223279720504,0.88336495004063,0.999992770297331,NA
"ENSMUSG00000058756","ENSMUSG00000058756","Thra",-0.0170104168003549,6.42483994216182,0.0215211906445061,0.88336800977234,0.999992770297331,21833
"ENSMUSG00000005045","ENSMUSG00000005045","Chd5",-0.0436530984588637,2.28220946778929,0.0214836791283854,0.88346897264765,0.999992770297331,269610
"ENSMUSG00000036644","ENSMUSG00000036644","Tbc1d9b",0.0152656362128823,7.15005433405348,0.0214658775923557,0.883516917282894,0.999992770297331,76795
"ENSMUSG00000037370","ENSMUSG00000037370","Enpp1",0.0273093586397879,3.99351020418443,0.0214583439798206,0.883537213574466,0.999992770297331,18605
"ENSMUSG00000054892","ENSMUSG00000054892","Txk",-0.0566419350474565,1.1981423455306,0.0214553027769409,0.883545407904583,0.999992770297331,22165
"ENSMUSG00000049307","ENSMUSG00000049307","Fut4",-0.0254784051763746,4.18814053878874,0.0214528304216573,0.883552069947752,0.999992770297331,14345
"ENSMUSG00000022125","ENSMUSG00000022125","Cln5",0.0182267763071276,5.86300645738809,0.0214430164875949,0.883578518580211,0.999992770297331,211286
"ENSMUSG00000079243","ENSMUSG00000079243","Xirp1",0.058462047327315,1.65273387595759,0.0214419550384544,0.883581379564769,0.999992770297331,22437
"ENSMUSG00000038895","ENSMUSG00000038895","Zfp653",0.0314749720378018,3.3182691376646,0.0213705210640807,0.883774086148277,0.999992770297331,319601
"ENSMUSG00000039385","ENSMUSG00000039385","Cdh6",-0.0540904379983014,0.70411870493883,0.0213691905293219,0.883777678634318,0.999992770297331,12563
"ENSMUSG00000084289","ENSMUSG00000084289","Gm6977",-0.0718748198549445,-0.20957796458775,0.0213597421786513,0.883803192767161,0.999992770297331,NA
"ENSMUSG00000028037","ENSMUSG00000028037","Ifi44",0.0340179328227147,4.59480350172585,0.0213454141844704,0.883841894789092,0.999992770297331,99899
"ENSMUSG00000026785","ENSMUSG00000026785","Pkn3",0.0316535823962899,5.25076126529365,0.0213217637638188,0.883905807091141,0.999992770297331,263803
"ENSMUSG00000078656","ENSMUSG00000078656","Vps25",-0.0570436410230507,0.70311977346509,0.0213192262593748,0.883912666529362,0.999992770297331,28084
"ENSMUSG00000027983","ENSMUSG00000027983","Cyp2u1",-0.0582894878299395,1.21560132736357,0.0213189089316845,0.883913524365931,0.999992770297331,71519
"ENSMUSG00000028969","ENSMUSG00000028969","Cdk5",-0.0230742172417997,4.59082963558825,0.021318152752351,0.883915568582827,0.999992770297331,12568
"ENSMUSG00000106891","ENSMUSG00000106891","Gm43460",0.0516784691831406,0.787265276253967,0.0213044601188636,0.883952590962192,0.999992770297331,NA
"ENSMUSG00000078866","ENSMUSG00000078866","Zfp970",0.035369185461538,4.56629895259581,0.0212631734650564,0.884064296145417,0.999992770297331,628308
"ENSMUSG00000028857","ENSMUSG00000028857","Tmem222",0.0237566447806931,4.61747715222071,0.0212351204879624,0.884140259494381,0.999992770297331,52174
"ENSMUSG00000071256","ENSMUSG00000071256","Zfp213",-0.0361855879436025,2.3760823956603,0.0212105572556103,0.884206815213666,0.999992770297331,449521
"ENSMUSG00000042788","ENSMUSG00000042788","Fam166b",-0.0357261408263291,2.6829466037837,0.0211509426087506,0.884368508929937,0.999992770297331,NA
"ENSMUSG00000033106","ENSMUSG00000033106","Slc7a6os",-0.0279423464628858,4.3377449571268,0.0211139159259106,0.884469054132505,0.999992770297331,66432
"ENSMUSG00000090307","ENSMUSG00000090307","1700071M16Rik",-0.082614302254129,-0.296401294088786,0.0211026893237221,0.884499557524644,0.999992770297331,73504
"ENSMUSG00000034610","ENSMUSG00000034610","Zcchc11",0.023561983935294,5.44535467869136,0.0210938951175921,0.884523457729401,0.999992770297331,NA
"ENSMUSG00000038507","ENSMUSG00000038507","Parp12",-0.0166882760206577,6.11962819225481,0.0210790916474455,0.88456370093329,0.999992770297331,243771
"ENSMUSG00000063535","ENSMUSG00000063535","Zfp773",-0.0633072825665502,1.59937172350561,0.0210139718758939,0.884740900477337,0.999992770297331,76373
"ENSMUSG00000003161","ENSMUSG00000003161","Sri",-0.0151520599135588,7.2209715000825,0.0210076923710327,0.884758002654358,0.999992770297331,109552
"ENSMUSG00000064357","ENSMUSG00000064357","mt-Atp6",0.0495628299525539,1.23816640478719,0.0210051298872747,0.884764982306407,0.999992770297331,17705
"ENSMUSG00000019789","ENSMUSG00000019789","Hey2",0.0404731998492112,1.97337275519481,0.0209830326301041,0.884825188505084,0.999992770297331,15214
"ENSMUSG00000091896","ENSMUSG00000091896","Ube2d2a",0.0186741272002706,6.50009503113376,0.0209817586304148,0.884828660631931,0.999992770297331,56550
"ENSMUSG00000038780","ENSMUSG00000038780","Smurf1",-0.0167541622173277,6.6717589159405,0.0208835228759825,0.88509671474684,0.999992770297331,75788
"ENSMUSG00000022534","ENSMUSG00000022534","Mefv",-0.0652297647930779,0.671032585399702,0.0208417665523837,0.885210849375113,0.999992770297331,54483
