"gene1","module1"
"ENSMUSG00000023243","blue"
"ENSMUSG00000039081","blue"
"ENSMUSG00000040717","blue"
"ENSMUSG00000071547","blue"
"ENSMUSG00000021904","blue"
"ENSMUSG00000057606","blue"
"ENSMUSG00000041479","blue"
"ENSMUSG00000072601","blue"
"ENSMUSG00000004558","blue"
"ENSMUSG00000060373","blue"
"ENSMUSG00000022220","blue"
"ENSMUSG00000044461","blue"
"ENSMUSG00000063060","blue"
"ENSMUSG00000034522","blue"
"ENSMUSG00000022032","blue"
"ENSMUSG00000045875","blue"
"ENSMUSG00000022122","blue"
"ENSMUSG00000022132","blue"
"ENSMUSG00000032172","blue"
"ENSMUSG00000032198","blue"
"ENSMUSG00000036395","blue"
"ENSMUSG00000032035","blue"
"ENSMUSG00000035934","blue"
"ENSMUSG00000053310","blue"
"ENSMUSG00000059495","blue"
"ENSMUSG00000066687","blue"
"ENSMUSG00000032315","blue"
"ENSMUSG00000066607","blue"
"ENSMUSG00000032249","blue"
"ENSMUSG00000041729","blue"
"ENSMUSG00000036867","blue"
"ENSMUSG00000091956","blue"
"ENSMUSG00000013584","blue"
"ENSMUSG00000041361","blue"
"ENSMUSG00000033590","blue"
"ENSMUSG00000042487","blue"
"ENSMUSG00000056267","blue"
"ENSMUSG00000037681","blue"
"ENSMUSG00000043154","blue"
"ENSMUSG00000032548","blue"
"ENSMUSG00000079355","blue"
"ENSMUSG00000010047","blue"
"ENSMUSG00000056724","blue"
"ENSMUSG00000066319","blue"
"ENSMUSG00000043953","blue"
"ENSMUSG00000041794","blue"
"ENSMUSG00000044534","blue"
"ENSMUSG00000020427","blue"
"ENSMUSG00000020160","blue"
"ENSMUSG00000032878","blue"
"ENSMUSG00000020467","blue"
"ENSMUSG00000069919","blue"
"ENSMUSG00000069917","blue"
"ENSMUSG00000044707","blue"
"ENSMUSG00000048852","blue"
"ENSMUSG00000078921","blue"
"ENSMUSG00000078920","blue"
"ENSMUSG00000020357","blue"
"ENSMUSG00000018899","blue"
"ENSMUSG00000081769","blue"
"ENSMUSG00000020524","blue"
"ENSMUSG00000082292","blue"
"ENSMUSG00000078853","blue"
"ENSMUSG00000069874","blue"
"ENSMUSG00000004837","blue"
"ENSMUSG00000020902","blue"
"ENSMUSG00000052921","blue"
"ENSMUSG00000020884","blue"
"ENSMUSG00000040938","blue"
"ENSMUSG00000020811","blue"
"ENSMUSG00000020788","blue"
"ENSMUSG00000020836","blue"
"ENSMUSG00000017344","blue"
"ENSMUSG00000018334","blue"
"ENSMUSG00000078763","blue"
"ENSMUSG00000000204","blue"
"ENSMUSG00000035085","blue"
"ENSMUSG00000020682","blue"
"ENSMUSG00000000805","blue"
"ENSMUSG00000069763","blue"
"ENSMUSG00000038700","blue"
"ENSMUSG00000061718","blue"
"ENSMUSG00000058756","blue"
"ENSMUSG00000020911","blue"
"ENSMUSG00000001552","blue"
"ENSMUSG00000004044","blue"
"ENSMUSG00000001240","blue"
"ENSMUSG00000034936","blue"
"ENSMUSG00000006574","blue"
"ENSMUSG00000085338","blue"
"ENSMUSG00000048878","blue"
"ENSMUSG00000018411","blue"
"ENSMUSG00000020681","blue"
"ENSMUSG00000001029","blue"
"ENSMUSG00000018363","blue"
"ENSMUSG00000078607","blue"
"ENSMUSG00000040430","blue"
"ENSMUSG00000020599","blue"
"ENSMUSG00000041828","blue"
"ENSMUSG00000034471","blue"
"ENSMUSG00000034282","blue"
"ENSMUSG00000025150","blue"
"ENSMUSG00000096107","blue"
"ENSMUSG00000076431","blue"
"ENSMUSG00000039004","blue"
"ENSMUSG00000051335","blue"
"ENSMUSG00000021390","blue"
"ENSMUSG00000005320","blue"
"ENSMUSG00000021495","blue"
"ENSMUSG00000021559","blue"
"ENSMUSG00000044258","blue"
"ENSMUSG00000021573","blue"
"ENSMUSG00000052485","blue"
"ENSMUSG00000023132","blue"
"ENSMUSG00000021765","blue"
"ENSMUSG00000042284","blue"
"ENSMUSG00000020571","blue"
"ENSMUSG00000020642","blue"
"ENSMUSG00000019256","blue"
"ENSMUSG00000045930","blue"
"ENSMUSG00000046768","blue"
"ENSMUSG00000063450","blue"
"ENSMUSG00000021055","blue"
"ENSMUSG00000060716","blue"
"ENSMUSG00000066438","blue"
"ENSMUSG00000021224","blue"
"ENSMUSG00000072949","blue"
"ENSMUSG00000044456","blue"
"ENSMUSG00000066363","blue"
"ENSMUSG00000021294","blue"
"ENSMUSG00000011171","blue"
"ENSMUSG00000054263","blue"
"ENSMUSG00000022197","blue"
"ENSMUSG00000022237","blue"
"ENSMUSG00000051359","blue"
"ENSMUSG00000060429","blue"
"ENSMUSG00000022376","blue"
"ENSMUSG00000053469","blue"
"ENSMUSG00000036661","blue"
"ENSMUSG00000022595","blue"
"ENSMUSG00000022579","blue"
"ENSMUSG00000091694","blue"
"ENSMUSG00000033170","blue"
"ENSMUSG00000049521","blue"
"ENSMUSG00000055065","blue"
"ENSMUSG00000053411","blue"
"ENSMUSG00000042428","blue"
"ENSMUSG00000061740","blue"
"ENSMUSG00000022623","blue"
"ENSMUSG00000036158","blue"
"ENSMUSG00000022475","blue"
"ENSMUSG00000023000","blue"
"ENSMUSG00000023011","blue"
"ENSMUSG00000000530","blue"
"ENSMUSG00000061397","blue"
"ENSMUSG00000023046","blue"
"ENSMUSG00000039457","blue"
"ENSMUSG00000003526","blue"
"ENSMUSG00000041378","blue"
"ENSMUSG00000022537","blue"
"ENSMUSG00000022844","blue"
"ENSMUSG00000061080","blue"
"ENSMUSG00000075033","blue"
"ENSMUSG00000035258","blue"
"ENSMUSG00000022747","blue"
"ENSMUSG00000041134","blue"
"ENSMUSG00000022941","blue"
"ENSMUSG00000014773","blue"
"ENSMUSG00000045551","blue"
"ENSMUSG00000052270","blue"
"ENSMUSG00000039218","blue"
"ENSMUSG00000002504","blue"
"ENSMUSG00000039628","blue"
"ENSMUSG00000024163","blue"
"ENSMUSG00000063011","blue"
"ENSMUSG00000024190","blue"
"ENSMUSG00000024008","blue"
"ENSMUSG00000024011","blue"
"ENSMUSG00000024027","blue"
"ENSMUSG00000041119","blue"
"ENSMUSG00000073424","blue"
"ENSMUSG00000042099","blue"
"ENSMUSG00000096727","blue"
"ENSMUSG00000015468","blue"
"ENSMUSG00000035929","blue"
"ENSMUSG00000055413","blue"
"ENSMUSG00000073409","blue"
"ENSMUSG00000060550","blue"
