"X","ID","Gene.name","logFC","logCPM","LR","PValue","entrezgene_id"
15226,"ENSMUSG00000072419","Dppa2",-0.286388175801858,0.277252860117696,0.290503477126462,0.589898070844931,73703
15227,"ENSMUSG00000030775","Trat1",0.264780102976581,-0.903980731344714,0.168657628128136,0.681307581795471,77647
15228,"ENSMUSG00000061100","Retnla",0.28236166518495,5.93048691421405,2.35470515740588,0.124905499191478,57262
15229,"ENSMUSG00000022651","Retnlg",-0.617762076553725,2.27333699365695,3.58356492524953,0.058353797677129,245195
15230,"ENSMUSG00000064061","Dzip3",0.0103355301703569,3.95029352100915,0.00229907560571448,0.961757145510118,224170
15231,"ENSMUSG00000033031","C330027C09Rik",0.246531173613767,2.09488033580973,0.503321945597377,0.478044113481553,NA
15232,"ENSMUSG00000032965","Ift57",0.0748498458560895,4.83368849086401,0.165335618411411,0.684290904834661,73916
15233,"ENSMUSG00000055447","Cd47",-0.0016086838903686,8.15309270891174,9.98952871411607e-05,0.992025465694746,16423
15234,"ENSMUSG00000022641","Bbx",-0.0410296364173909,5.82045849362358,0.0582822195672258,0.809231855307659,70508
15235,"ENSMUSG00000083692","Gm9575",0.0297523001751009,-0.81389482961331,0.00196366566313166,0.96465469624856,NA
15236,"ENSMUSG00000022639","Dubr",-0.108334298408016,5.52052393866511,0.392310540803508,0.531087377104445,NA
15237,"ENSMUSG00000081453","Gm6767",0.123675827142642,-0.662712489253871,0.04299945929307,0.835726290563153,NA
15238,"ENSMUSG00000022637","Cblb",-0.119196638380069,5.69853683270658,0.469860351354731,0.493051420461905,208650
15239,"ENSMUSG00000022636","Alcam",-0.0516047623485337,8.93637674249962,0.101652178075353,0.74985589262958,11658
15240,"ENSMUSG00000035356","Nfkbiz",0.141763002701511,4.52791891486261,0.456438321187335,0.499293249744224,80859
15241,"ENSMUSG00000075033","Nxpe3",-0.156531942100373,4.21055604817679,0.613828963737262,0.43334976928118,385658
15242,"ENSMUSG00000022604","Cep97",-0.00545674251095483,3.62707605403312,0.000531599293654553,0.981605254564486,74201
15243,"ENSMUSG00000098274","Rpl24",0.0582938725755678,5.66122643303241,0.114387647895623,0.73520310934742,68193
15244,"ENSMUSG00000102101","Zbtb11os1",0.085677948691311,2.23705867415717,0.0647524352319051,0.799136341780704,66391
15245,"ENSMUSG00000022601","Zbtb11",0.0248820715070936,4.94896573420359,0.0186332888593129,0.891423016521254,271377
15246,"ENSMUSG00000071533","Pcnp",-0.0507046573298897,6.81988905555105,0.099846814901847,0.752013539626941,76302
15247,"ENSMUSG00000044763","Trmt10c",-0.0975689410146508,4.00950979876198,0.181408729588975,0.670165385378097,52575
15248,"ENSMUSG00000052917","Senp7",-0.0526229639084086,4.77769691363688,0.0815418412644664,0.775218727839012,66315
15249,"ENSMUSG00000035270","Impg2",-0.659732264569098,-0.272867374517357,1.59983536097801,0.205926544040126,224224
15250,"ENSMUSG00000035258","Abi3bp",-0.183718277308212,6.28560684849153,1.34372014201725,0.246378977687368,320712
15251,"ENSMUSG00000022757","Tfg",-0.085229604349329,5.84142131935146,0.253008465395155,0.614964645782776,21787
15252,"ENSMUSG00000022754","Tmem45a",0.0843081523387185,3.88157550077334,0.14194671313416,0.706353334793516,56277
15253,"ENSMUSG00000022752","Tomm70a",-0.0276005193407445,6.18079971039047,0.0285545214289802,0.86581171878244,28185
15254,"ENSMUSG00000022751","Nit2",0.147167228643234,3.57133197369917,0.368629806838869,0.543752089684128,52633
15255,"ENSMUSG00000097876","Gm16892",0.186597525468684,0.30074745298363,0.11866521266058,0.730486707073813,NA
15256,"ENSMUSG00000022749","Tbc1d23",-0.0007360804585527,5.9147284994272,2.05765396009278e-05,0.996380698670973,67581
