"Gene_ID","Gene_Name","Count"
"ENSMUSG00000025949","Pikfyve",1473
"ENSMUSG00000015222","Map2",1893
"ENSMUSG00000055567","Unc80",16
"ENSMUSG00000026005","Rpe",1047
"ENSMUSG00000026004","Kansl1l",901
"ENSMUSG00000102559","Gm37570",26
"ENSMUSG00000102776","Gm38162",12
"ENSMUSG00000026003","Acadl",4326
"ENSMUSG00000061816","Myl1",65
"ENSMUSG00000026000","Lancl1",1074
"ENSMUSG00000062209","Erbb4",109
"ENSMUSG00000025997","Ikzf2",352
"ENSMUSG00000053153","Spag16",648
"ENSMUSG00000026196","Bard1",69
"ENSMUSG00000050296","Abca12",9
"ENSMUSG00000026192","Atic",1592
"ENSMUSG00000026193","Fn1",37982
"ENSMUSG00000039395","Mreg",195
"ENSMUSG00000097131","D230017M19Rik",201
"ENSMUSG00000026189","Pecr",175
"ENSMUSG00000026187","Xrcc5",687
"ENSMUSG00000039372","4-Mar",254
"ENSMUSG00000039354","Smarcal1",1166
"ENSMUSG00000046330","Rpl37a",7215
"ENSMUSG00000039323","Igfbp2",12052
"ENSMUSG00000026185","Igfbp5",20561
"ENSMUSG00000100444","C530043A13Rik",53
"ENSMUSG00000055322","Tns1",74819
"ENSMUSG00000061815","Rufy4",168
"ENSMUSG00000026180","Cxcr2",609
"ENSMUSG00000048480","Cxcr1",134
"ENSMUSG00000006304","Arpc2",9742
"ENSMUSG00000006299","Aamp",3848
"ENSMUSG00000026179","Pnkd",1135
"ENSMUSG00000006301","Tmbim1",6317
"ENSMUSG00000073650","Catip",456
"ENSMUSG00000026177","Slc11a1",404
"ENSMUSG00000026176","Ctdsp1",6431
"ENSMUSG00000026175","Vil1",33
"ENSMUSG00000033364","Usp37",1009
"ENSMUSG00000026174","Cnot9",964
"ENSMUSG00000026173","Plcd4",78
"ENSMUSG00000026135","Zfp142",904
"ENSMUSG00000026172","Bcs1l",320
"ENSMUSG00000026171","Rnf25",852
"ENSMUSG00000033276","Stk36",615
"ENSMUSG00000033257","Ttll4",1664
"ENSMUSG00000026170","Cyp27a1",779
"ENSMUSG00000006542","Prkag3",306
"ENSMUSG00000047021","Cfap65",2441
"ENSMUSG00000006538","Ihh",11
"ENSMUSG00000026162","Nhej1",68
"ENSMUSG00000026205","Slc23a3",36
"ENSMUSG00000033159","Cnppd1",2751
"ENSMUSG00000049339","Retreg2",2794
"ENSMUSG00000026197","Zfand2b",579
"ENSMUSG00000026198","Abcb6",129
"ENSMUSG00000033124","Atg9a",938
"ENSMUSG00000026199","Ankzf1",641
"ENSMUSG00000026200","Glb1l",336
"ENSMUSG00000026201","Stk16",1301
"ENSMUSG00000026202","Tuba4a",1369
"ENSMUSG00000026203","Dnajb2",2653
"ENSMUSG00000026204","Ptprn",156
"ENSMUSG00000033061","Resp18",29
"ENSMUSG00000026209","Dnpep",1399
"ENSMUSG00000026208","Des",4808
"ENSMUSG00000026207","Speg",568
"ENSMUSG00000033021","Gmppa",1152
"ENSMUSG00000032997","Chpf",1523
"ENSMUSG00000026211","Obsl1",617
"ENSMUSG00000051703","Tmem198",76
"ENSMUSG00000032968","Inha",61
"ENSMUSG00000026213","Stk11ip",1048
"ENSMUSG00000006576","Slc4a3",842
"ENSMUSG00000026235","Epha4",1206
"ENSMUSG00000032908","Sgpp2",2258
"ENSMUSG00000026245","Farsb",1003
"ENSMUSG00000032883","Acsl3",1194
"ENSMUSG00000079470","Utp14b",217
"ENSMUSG00000047330","Kcne4",404
"ENSMUSG00000054702","Ap1s3",758
"ENSMUSG00000073643","Wdfy1",2461
"ENSMUSG00000026248","Mrpl44",465
"ENSMUSG00000026249","Serpine2",3073
"ENSMUSG00000043230","Fam124b",145
"ENSMUSG00000004364","Cul3",4699
"ENSMUSG00000103076","Gm37902",23
"ENSMUSG00000038608","Dock10",3238
"ENSMUSG00000055980","Irs1",750
"ENSMUSG00000026142","Rhbdd1",1526
"ENSMUSG00000067158","Col4a4",6377
"ENSMUSG00000079465","Col4a3",10896
"ENSMUSG00000097564","C430014B12Rik",25
"ENSMUSG00000026150","Mff",2479
"ENSMUSG00000101450","Gm28941",9
"ENSMUSG00000026159","Agfg1",5464
"ENSMUSG00000038496","Slc19a3",200
"ENSMUSG00000026166","Ccl20",30
"ENSMUSG00000053161","Daw1",104
"ENSMUSG00000026163","Sphkap",67
"ENSMUSG00000045658","Pid1",1470
"ENSMUSG00000036766","Dner",17
"ENSMUSG00000026219","Trip12",8323
"ENSMUSG00000073633","Fbxo36",340
"ENSMUSG00000026220","Slc16a14",13
"ENSMUSG00000052477","C130026I21Rik",165
"ENSMUSG00000089844","A530032D15Rik",95
"ENSMUSG00000072109","A530040E14Rik",57
"ENSMUSG00000079457","Gm7609",26
"ENSMUSG00000101751","Gm2427",34
"ENSMUSG00000090186","Gm7592",30
"ENSMUSG00000070034","Sp110",956
"ENSMUSG00000070031","Sp140",720
"ENSMUSG00000090246","Gm17017",35
"ENSMUSG00000026222","Sp100",3306
"ENSMUSG00000052760","A630001G21Rik",276
"ENSMUSG00000036707","Cab39",7070
"ENSMUSG00000026223","Itm2c",6232
"ENSMUSG00000049608","Gpr55",28
"ENSMUSG00000026227","2810459M11Rik",49
"ENSMUSG00000026229","Psmd1",4149
"ENSMUSG00000026228","Htr2b",119
"ENSMUSG00000094638","Gm21972",26
"ENSMUSG00000062590","Armc9",346
"ENSMUSG00000079445","B3gnt7",647
"ENSMUSG00000026234","Ncl",11031
"ENSMUSG00000073627","C130036L24Rik",47
"ENSMUSG00000026237","Nmur1",15
"ENSMUSG00000026238","Ptma",19596
"ENSMUSG00000026239","Pde6d",728
"ENSMUSG00000026240","Cops7b",590
"ENSMUSG00000053333","Dis3l2",684
"ENSMUSG00000084106","Gm6136",61
"ENSMUSG00000026254","Eif4e2",2082
