"gene1","module1","EntrezID"
"ENSMUSG00000027748","turquoise","22066"
"ENSMUSG00000027797","turquoise","13175"
"ENSMUSG00000050075","turquoise","229323"
"ENSMUSG00000036381","turquoise","140795"
"ENSMUSG00000036334","turquoise","242050"
"ENSMUSG00000027831","turquoise","72789"
"ENSMUSG00000061175","turquoise","329679"
"ENSMUSG00000027955","turquoise","68659"
"ENSMUSG00000033981","turquoise","14800"
"ENSMUSG00000028019","turquoise","54635"
"ENSMUSG00000033860","turquoise","99571"
"ENSMUSG00000028001","turquoise","14161"
"ENSMUSG00000027995","turquoise","24088"
"ENSMUSG00000056498","turquoise","320782"
"ENSMUSG00000015852","turquoise","80891"
"ENSMUSG00000004891","turquoise","18008"
"ENSMUSG00000059743","turquoise","110196"
"ENSMUSG00000028041","turquoise","11490"
"ENSMUSG00000000794","turquoise","140493"
"ENSMUSG00000027907","turquoise","20195"
"ENSMUSG00000028111","turquoise","13038"
"ENSMUSG00000038642","turquoise","13040"
"ENSMUSG00000027875","turquoise","15360"
"ENSMUSG00000027848","turquoise","99543"
"ENSMUSG00000002233","turquoise","11853"
"ENSMUSG00000062127","turquoise","80281"
"ENSMUSG00000048458","turquoise","109050"
"ENSMUSG00000000562","turquoise","11542"
"ENSMUSG00000040809","turquoise","12655"
"ENSMUSG00000040747","turquoise","12508"
"ENSMUSG00000068744","turquoise","56742"
"ENSMUSG00000045326","turquoise","320181"
"ENSMUSG00000027962","turquoise","22329"
"ENSMUSG00000028007","turquoise","76561"
"ENSMUSG00000028132","turquoise","99887"
"ENSMUSG00000028028","turquoise","71481"
"ENSMUSG00000058952","turquoise","12630"
"ENSMUSG00000028031","turquoise","56811"
"ENSMUSG00000054690","turquoise","59308"
"ENSMUSG00000059921","turquoise","22253"
"ENSMUSG00000028255","turquoise","23844"
"ENSMUSG00000028197","turquoise","71355"
"ENSMUSG00000028037","turquoise","99899"
"ENSMUSG00000039146","turquoise","15061"
"ENSMUSG00000040016","turquoise","19218"
"ENSMUSG00000028249","turquoise","53378"
"ENSMUSG00000051279","turquoise","242316"
"ENSMUSG00000028211","turquoise","60599"
"ENSMUSG00000028238","turquoise","242341"
"ENSMUSG00000028278","turquoise","52187"
"ENSMUSG00000028459","turquoise","12517"
"ENSMUSG00000028327","turquoise","74152"
"ENSMUSG00000039813","turquoise","381605"
"ENSMUSG00000028339","turquoise","12819"
"ENSMUSG00000028341","turquoise","18124"
"ENSMUSG00000015243","turquoise","11303"
