"Gene_ID","PC1_Loading","PC2_Loading","Gene_Name","PC1_Direction","PC2_Direction"
"ENSMUSG00000035086",0.00895722252213473,-0.000389723082570467,"Becn1","Positive","Negative"
"ENSMUSG00000020755",0.00895684427699315,-0.00117549936774965,"Sap30bp","Positive","Negative"
"ENSMUSG00000043207",0.00895660883948741,0.00143847247904987,"Zmpste24","Positive","Positive"
"ENSMUSG00000028059",0.00895654255921382,-0.000565005481912888,"Arhgef2","Positive","Negative"
"ENSMUSG00000017119",0.00895652906733663,-0.000919276949207343,"Nbr1","Positive","Negative"
"ENSMUSG00000021893",0.00895629435687516,0.000943250581444926,"Capn7","Positive","Positive"
"ENSMUSG00000023050",0.00895616823845058,0.000117656048658007,"Map3k12","Positive","Positive"
"ENSMUSG00000024764",0.00895605959198325,0.00184635918791596,"Naa40","Positive","Positive"
"ENSMUSG00000048307",0.00895591829030106,0.000882073394990029,"Ankrd46","Positive","Positive"
"ENSMUSG00000031311",0.00895554961844924,0.000334246842694087,"Nono","Positive","Positive"
"ENSMUSG00000031835",0.00895480826626066,1.05393129093995e-05,"Mbtps1","Positive","Positive"
"ENSMUSG00000030987",0.00895421151563324,-0.000383240210660108,"Stim1","Positive","Negative"
"ENSMUSG00000029433",0.00895407692950362,-0.00161052832216491,"Diablo","Positive","Negative"
"ENSMUSG00000029655",0.00895392657799167,-0.00144782542433595,"N4bp2l2","Positive","Negative"
"ENSMUSG00000029528",0.00895363077423488,-0.000596187706226564,"Pxn","Positive","Negative"
"ENSMUSG00000034544",0.00895359958977904,0.000770373172464512,"Rsrc1","Positive","Positive"
"ENSMUSG00000023572",0.00895324507617153,-0.0011555655531167,"Ccndbp1","Positive","Negative"
"ENSMUSG00000022536",0.00895281200119592,0.000570834981414728,"Glyr1","Positive","Positive"
"ENSMUSG00000039509",0.00895275510012062,-0.000409735038244386,"Nup133","Positive","Negative"
"ENSMUSG00000005069",0.00895260719783522,-0.00171297214976311,"Pex5","Positive","Negative"
"ENSMUSG00000050088",0.00895233802795894,0.00196972317726219,"1600012H06Rik","Positive","Positive"
"ENSMUSG00000006728",0.00895206601940721,0.00209930250481498,"Cdk4","Positive","Positive"
"ENSMUSG00000020570",0.00895185500641674,-0.00168366340275092,"Sypl","Positive","Negative"
"ENSMUSG00000009907",0.00895184057423973,0.000992205961336776,"Vps4b","Positive","Positive"
"ENSMUSG00000020166",0.00895168822668117,-0.000369177505339437,"Cnot2","Positive","Negative"
"ENSMUSG00000002608",0.00895160622839235,-0.0012437411515509,"Ccdc97","Positive","Negative"
