"X","ID","Gene.name","logFC","logCPM","LR","PValue"
13164,"ENSMUSG00000078915","Hsp25-ps1",-1.21914894472787,-0.404724049096215,5.9103762986606,0.0150519562684181
13216,"ENSMUSG00000056749","Nfil3",-1.03443379611163,4.02492091020659,44.7906977942769,2.19261881415227e-11
14060,"ENSMUSG00000021270","Hsp90aa1",-1.19812414852937,9.16727745570996,53.1390654147729,3.1075046670749e-13
14158,"ENSMUSG00000076674","Ighv3-8",-1.42191288238994,0.815379220122466,6.06881121420334,0.0137589534119355
14163,"ENSMUSG00000095981","Ighv10-1",-1.50156774309599,0.164229745202343,16.9152520858858,3.90862603183469e-05
14166,"ENSMUSG00000095700","Ighv10-3",-1.35641116750642,-0.161766710610753,10.0817105745506,0.00149748250895635
14176,"ENSMUSG00000095923","Ighv1-37",-2.73826693113091,-1.42055755373987,10.0343158267954,0.0015365060656306
14267,"ENSMUSG00000022206","Npr3",-1.15645012405733,7.4631719038872,17.7791395680308,2.48088427793395e-05
14439,"ENSMUSG00000022586","Ly6i",-1.00447599481747,0.675877267720068,9.43364761236091,0.00213040132375977
14966,"ENSMUSG00000022769","Sdf2l1",-1.10327420512926,4.71289529264284,40.3033747281802,2.17433064849989e-10
14988,"ENSMUSG00000092470","Gm20518",-1.24511628818992,-0.273661533526027,9.26976380233455,0.00232967744263569
15481,"ENSMUSG00000097781","9330136K24Rik",-1.04606395934444,0.391378106087422,9.5173675419155,0.00203536342819779
15665,"ENSMUSG00000024222","Fkbp5",-1.0318786085918,5.17230808823395,16.1390552264418,5.88576987724453e-05
15675,"ENSMUSG00000023067","Cdkn1a",-1.11750972144288,7.02887778600597,32.5431750636344,1.16573785923922e-08
15820,"ENSMUSG00000090877","Hspa1b",-2.52911588755876,7.04378485566297,29.7724522397467,4.85846794352914e-08
15821,"ENSMUSG00000091971","Hspa1a",-2.35284792531233,6.28251592240977,25.8449826389456,3.69965124847109e-07
15822,"ENSMUSG00000007033","Hspa1l",-1.14216689463679,0.295620650191166,9.63404099600303,0.00191003908027934
16806,"ENSMUSG00000024966","Stip1",-1.10136683287116,7.06133082365527,43.1087589240384,5.17799263866566e-11
17206,"ENSMUSG00000064336","mt-Tf",-1.0498833258237,0.522509174434359,8.75294091986039,0.00309103176107987
