"X","ID","Gene.name","logFC","logCPM","LR","PValue"
2022,"ENSMUSG00000037014","Sstr4",2.55818661294711,1.38214367685493,19.0143074613314,1.29741971890019e-05
2028,"ENSMUSG00000027442","Cst8",1.87728673456084,0.633034139533582,10.928466930582,0.000946978250155614
2223,"ENSMUSG00000017300","Tnnc2",10.6624564498794,2.16107342949911,3.87357360407108,0.0490519740926261
2273,"ENSMUSG00000087624","9230111E07Rik",1.16818849361049,0.613104313785489,5.70680402624868,0.0168992785799698
2328,"ENSMUSG00000082901","Gm14323",2.6863304180191,-0.416472436187955,11.3382918849351,0.000759251267996466
2333,"ENSMUSG00000060445","Sycp2",2.42398493330978,-0.578483330898793,7.70651049820087,0.00550220115533459
2579,"ENSMUSG00000031340","Gabre",1.0204245763036,2.05957241168028,8.86869398335927,0.00290102613007876
2600,"ENSMUSG00000002007","Srpk3",1.02458515556991,1.88472540894115,7.92803356693323,0.00486746677406193
2788,"ENSMUSG00000042750","Bex2",1.6273478482556,4.11699248831622,7.72362825426564,0.00545027541605702
2789,"ENSMUSG00000047844","Bex4",1.32203160034156,4.34496455955723,6.75828999756472,0.00933131386001598
2945,"ENSMUSG00000027530","Fabp12",1.01416242325123,0.139467709190242,4.12597204208678,0.0422297534541087
3025,"ENSMUSG00000105095","8430422M14Rik",1.64147575165242,-0.89912919713505,4.66331295541385,0.0308136815119673
3083,"ENSMUSG00000085174","Gm16206",1.65524543885384,-0.620064396739689,5.94903878639071,0.0147253133768833
3100,"ENSMUSG00000097339","Gm26671",1.08079234462602,1.53184782897032,5.73210531997304,0.0166575010952318
3217,"ENSMUSG00000059994","Fcrl1",1.25593158053162,2.25700483139964,9.50216729483289,0.00205229344185153
3337,"ENSMUSG00000043165","Lor",8.13135715188857,6.39471813452708,5.40031265811882,0.0201331445385451
3339,"ENSMUSG00000045539","Sprr3",10.8398657621076,2.33555476106242,3.84516867149572,0.0498895034492176
3341,"ENSMUSG00000049128","Ivl",2.12666844889995,1.2550272324231,5.16005911286133,0.0231121106825259
3349,"ENSMUSG00000041984","Rptn",4.73754505825423,3.80416965496242,4.05465257746308,0.0440497822564304
3515,"ENSMUSG00000106251","Gm42658",1.82101059098061,-1.0507110043948,4.73760327576753,0.0295101555858718
