"X","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000022525","ENSMUSG00000022525","Hrasls",1.77872828754298,-0.431008765913349,5.76936789392153,0.0163078993221771,0.471480992037109
"ENSMUSG00000022435","ENSMUSG00000022435","Upk3a",1.25975680261152,0.560320098110739,5.73656805079126,0.016615227040692,0.476588850173858
"ENSMUSG00000100174","ENSMUSG00000100174","Gm28719",1.3741468925188,-0.127037375694911,5.73087374132233,0.0166691869729552,0.47663159763997
"ENSMUSG00000046834","ENSMUSG00000046834","Krt1",1.01967123157392,1.0566902752208,5.62301534199676,0.0177261259986747,0.486593449189735
"ENSMUSG00000105128","ENSMUSG00000105128","Gm42870",1.32185745743934,-0.295257722708856,5.50787715097119,0.0189310107418813,0.501302808970917
"ENSMUSG00000022357","ENSMUSG00000022357","Klhl38",1.07101434804319,1.11816093806574,5.50014318568406,0.0190149166310376,0.501302808970917
"ENSMUSG00000056531","ENSMUSG00000056531","Ccdc18",1.50535266921671,-0.572797131976511,5.45096951953517,0.0195574701719376,0.51006237260822
"ENSMUSG00000062438","ENSMUSG00000062438","Adam1b",1.64273526923888,-0.471313852791348,5.42464768408031,0.0198544409709426,0.515993534452108
"ENSMUSG00000086881","ENSMUSG00000086881","Gm13594",2.08192257523789,-1.12618756023264,5.40452332243996,0.0200846328320788,0.519098928623997
"ENSMUSG00000106157","ENSMUSG00000106157","4930555A03Rik",1.38064258174568,-0.0922882230683858,5.40142991654867,0.0201202606339023,0.519216223677088
"ENSMUSG00000095026","ENSMUSG00000095026","Gm3336",1.80598999150097,-0.666646083595732,5.29331095201037,0.0214074821226537,0.534515016508699
"ENSMUSG00000079330","ENSMUSG00000079330","Lemd1",1.39560584901587,-0.127647234122682,5.28667795826391,0.0214891750841708,0.534562610787909
"ENSMUSG00000100094","ENSMUSG00000100094","1810008I18Rik",1.47424433933621,0.608359655425841,5.26161142104656,0.0218008247375192,0.539202894763405
"ENSMUSG00000103388","ENSMUSG00000103388","Gm37581",1.71599004198326,-0.511049694838578,5.22696096942741,0.0222393570413718,0.546910522162922
"ENSMUSG00000093772","ENSMUSG00000093772","4931403E22Rik",1.29495977730981,-0.277897188245765,5.21423882368986,0.0224026518794918,0.549358912874194
"ENSMUSG00000063953","ENSMUSG00000063953","Amd2",1.60756175345475,-0.664596519078155,5.13417284894748,0.0234592629303846,0.558583195658702
"ENSMUSG00000058975","ENSMUSG00000058975","Kcnc1",1.16440774615705,0.109453835291016,5.11330341524451,0.0237430709305551,0.560439023998077
"ENSMUSG00000055202","ENSMUSG00000055202","Zfp811",1.29332108232761,-0.226632788343319,5.11106653029922,0.0237737013966067,0.560439023998077
"ENSMUSG00000105107","ENSMUSG00000105107","Gm43412",1.1920525409521,0.519521294890001,5.06895854202794,0.0243580137340265,0.564956948225719
"ENSMUSG00000095633","ENSMUSG00000095633","Igkv4-58",2.10123897571036,2.50653400501548,5.01780907371217,0.0250878933349135,0.570769506636346
"ENSMUSG00000110264","ENSMUSG00000110264","E330018M18Rik",1.34113392010467,-0.408749277297131,5.01763058180306,0.0250904797092373,0.570769506636346
"ENSMUSG00000066057","ENSMUSG00000066057","Gm1976",1.14910495495318,0.475163672741993,5.00588705362341,0.0252612549578689,0.571014707183317
