"Gene_ID","Gene.name","Count","entrezgene_id"
"ENSMUSG00000026162","Nhej1",68,75570
"ENSMUSG00000026205","Slc23a3",36,22626
"ENSMUSG00000033159","Cnppd1",2751,69171
"ENSMUSG00000049339","Retreg2",2794,227298
"ENSMUSG00000026197","Zfand2b",579,68818
"ENSMUSG00000026198","Abcb6",129,74104
"ENSMUSG00000033124","Atg9a",938,245860
"ENSMUSG00000026199","Ankzf1",641,52231
"ENSMUSG00000026200","Glb1l",336,74577
"ENSMUSG00000026201","Stk16",1301,20872
"ENSMUSG00000026202","Tuba4a",1369,22145
"ENSMUSG00000026203","Dnajb2",2653,56812
"ENSMUSG00000026204","Ptprn",156,19275
"ENSMUSG00000033061","Resp18",29,19711
"ENSMUSG00000026209","Dnpep",1399,13437
"ENSMUSG00000026208","Des",4808,13346
"ENSMUSG00000026207","Speg",568,11790
"ENSMUSG00000033021","Gmppa",1152,69080
"ENSMUSG00000032997","Chpf",1523,74241
"ENSMUSG00000026211","Obsl1",617,98733
"ENSMUSG00000051703","Tmem198",76,319998
"ENSMUSG00000032968","Inha",61,16322
"ENSMUSG00000026213","Stk11ip",1048,71728
"ENSMUSG00000006576","Slc4a3",842,20536
"ENSMUSG00000026235","Epha4",1206,13838
"ENSMUSG00000032908","Sgpp2",2258,433323
"ENSMUSG00000026245","Farsb",1003,23874
"ENSMUSG00000032883","Acsl3",1194,74205
"ENSMUSG00000079470","Utp14b",217,195434
"ENSMUSG00000047330","Kcne4",404,57814
"ENSMUSG00000054702","Ap1s3",758,252903
"ENSMUSG00000073643","Wdfy1",2461,69368
"ENSMUSG00000026248","Mrpl44",465,69163
"ENSMUSG00000026249","Serpine2",3073,20720
"ENSMUSG00000043230","Fam124b",145,241128
"ENSMUSG00000004364","Cul3",4699,26554
"ENSMUSG00000103076","Gm37902",23,NA
"ENSMUSG00000038608","Dock10",3238,210293
"ENSMUSG00000055980","Irs1",750,16367
"ENSMUSG00000026142","Rhbdd1",1526,76867
"ENSMUSG00000067158","Col4a4",6377,12829
"ENSMUSG00000079465","Col4a3",10896,12828
"ENSMUSG00000097564","C430014B12Rik",25,NA
"ENSMUSG00000026150","Mff",2479,75734
"ENSMUSG00000101450","Gm28941",9,NA
"ENSMUSG00000026159","Agfg1",5464,15463
"ENSMUSG00000038496","Slc19a3",200,80721
"ENSMUSG00000026166","Ccl20",30,20297
