"Gene.name.x","Gene_ID","PC1_Loading","PC2_Loading","X88","X89","X90","X92","X93","X94","X97","X99","X101","X103","X104","X105","X108","X109","X110","PC1_Direction","PC2_Direction","Gene.name.y","ENTREZID"
"Ube2q1","ENSMUSG00000042572",0.00897296300848414,7.88358533380737e-05,1966,1669,1800,2323,2013,1913,3898,2019,2627,2016,2008,2182,2865,2474,3235,"Positive","Positive","Ube2q1","70093"
"Utp3","ENSMUSG00000070697",0.00896218475683478,-0.000690957134458571,651,552,644,766,659,637,1206,644,852,660,642,660,985,748,1105,"Positive","Negative","Utp3","65961"
"Wapl","ENSMUSG00000041408",0.00895849000287816,-0.00112520339448235,2643,2141,2042,2913,2517,2365,4516,2404,3397,2482,2380,2542,3432,2854,3974,"Positive","Negative","Wapl","218914"
"Wbp2","ENSMUSG00000034341",0.00900281857114923,-0.000536492375168783,3520,3053,3179,3880,3557,3274,6402,3523,4342,3536,3335,3644,5031,4030,5444,"Positive","Negative","Wbp2","22378"
"Wipi2","ENSMUSG00000029578",0.00896485429424234,-0.00204049104806759,1311,1107,1077,1450,1370,1154,2368,1255,1641,1171,1220,1298,1753,1456,1992,"Positive","Negative","Wipi2","74781"
"Yme1l1","ENSMUSG00000026775",0.00896673017932471,0.000611107652523591,2348,1971,1947,2479,2242,2000,3879,2140,3004,2211,2047,2379,3204,2622,3508,"Positive","Positive","Yme1l1","27377"
"Ythdf3","ENSMUSG00000047213",0.00898172946982818,0.00108544450215998,2206,1880,1819,2528,2228,2000,3989,2279,2948,2122,2163,2206,3144,2682,3675,"Positive","Positive","Ythdf3","229096"
"Zbtb7a","ENSMUSG00000035011",0.00896062514243801,-0.000823353893317567,3770,3322,2956,4043,3681,3400,6470,3713,4785,3477,3412,3531,5128,4041,5885,"Positive","Negative","Zbtb7a","16969"
"Zfp384","ENSMUSG00000038346",0.00897514070100903,-0.000468311104566303,988,815,813,1117,966,820,1749,969,1251,865,966,1008,1327,1069,1584,"Positive","Negative","Zfp384","269800"
"Zfp422","ENSMUSG00000059878",0.0089636701975425,-0.00100315256779032,605,527,540,720,584,521,1064,555,755,613,589,611,864,656,964,"Positive","Negative","Zfp422","67255"
