ID,X,Gene.name,logFC,logCPM,LR,PValue,FDR,gene,symbol,effectsize,signif
ENSMUSG00000005677,ENSMUSG00000005677,Nr1i3,0.010271614,-0.631037098,0.000598485,0.980482541,0.995129744,12355,Nr1i3,0.010271614,FALSE
ENSMUSG00000005897,ENSMUSG00000005897,Nr2c1,0.143862637,4.429566035,1.27172408,0.259443493,0.562498924,22025,Nr2c1,0.143862637,FALSE
ENSMUSG00000005893,ENSMUSG00000005893,Nr2c2,0.312272689,5.567551795,4.67652729,0.030577502,0.164264744,22026,Nr2c2,0.312272689,TRUE
ENSMUSG00000071078,ENSMUSG00000071078,Nr2c2ap,0.127648475,1.298816539,0.25150426,0.616017868,0.835275814,75692,Nr2c2ap,0.127648475,FALSE
ENSMUSG00000069171,ENSMUSG00000069171,Nr2f1,0.139114941,2.39054435,0.394190677,0.530104788,0.782336824,13865,Nr2f1,0.139114941,FALSE
ENSMUSG00000030551,ENSMUSG00000030551,Nr2f2,0.025682371,6.712255567,0.05448907,0.815428344,0.932553356,11819,Nr2f2,0.025682371,FALSE
ENSMUSG00000002393,ENSMUSG00000002393,Nr2f6,-0.111889048,5.700607546,1.221655356,0.269036032,0.572567339,13864,Nr2f6,-0.111889048,FALSE
ENSMUSG00000024431,ENSMUSG00000024431,Nr3c1,0.127335332,7.993096139,1.256842899,0.262249534,0.565893067,14815,Nr3c1,0.127335332,FALSE
ENSMUSG00000031618,ENSMUSG00000031618,Nr3c2,0.445332084,4.657813446,6.772744724,0.009256038,0.074147228,110784,Nr3c2,0.445332084,TRUE
ENSMUSG00000023034,ENSMUSG00000023034,Nr4a1,0.931603125,6.864033216,11.01882688,0.000901911,0.013508296,15370,Nr4a1,0.931603125,TRUE
ENSMUSG00000026826,ENSMUSG00000026826,Nr4a2,0.018456712,3.843042802,0.005775026,0.939424198,0.981148111,18227,Nr4a2,0.018456712,FALSE
ENSMUSG00000028341,ENSMUSG00000028341,Nr4a3,-1.34545309,4.330553904,5.718221562,0.016789728,0.109927128,18124,Nr4a3,-1.34545309,TRUE
ENSMUSG00000026398,ENSMUSG00000026398,Nr5a2,-1.222041554,2.103198487,8.764744608,0.003071091,0.033360135,26424,Nr5a2,-1.222041554,TRUE
ENSMUSG00000063972,ENSMUSG00000063972,Nr6a1,0.094394709,3.115387658,0.207530894,0.648709586,0.853766726,14536,Nr6a1,0.094394709,FALSE
ENSMUSG00000032491,ENSMUSG00000032491,Nradd,-0.08706654,3.44465791,0.278539186,0.597660288,0.824840222,67169,Nradd,-0.08706654,FALSE
ENSMUSG00000049134,ENSMUSG00000049134,Nrap,0.885596335,3.290403356,5.11632304,0.023701787,0.139448523,18175,Nrap,0.885596335,TRUE
ENSMUSG00000078202,ENSMUSG00000078202,Nrarp,-0.061458254,4.76861373,0.10960476,0.740594561,0.896063281,67122,Nrarp,-0.061458254,FALSE
ENSMUSG00000027852,ENSMUSG00000027852,Nras,-0.208944399,6.887961915,5.647165122,0.017483615,0.11313815,18176,Nras,-0.208944399,TRUE
ENSMUSG00000075000,ENSMUSG00000075000,Nrbf2,-0.154684272,3.746058179,1.146236023,0.28433847,0.58837005,641340,Nrbf2,-0.154684272,FALSE
ENSMUSG00000029148,ENSMUSG00000029148,Nrbp1,-0.016383003,6.379276203,0.03622799,0.849045439,0.945064041,192292,Nrbp1,-0.016383003,FALSE
ENSMUSG00000075590,ENSMUSG00000075590,Nrbp2,-0.006345409,6.777110966,0.003216011,0.954776297,0.985755019,223649,Nrbp2,-0.006345409,FALSE
ENSMUSG00000020598,ENSMUSG00000020598,Nrcam,-1.255939993,5.060871199,22.82646465,1.77E-06,0.000126306,319504,Nrcam,-1.255939993,TRUE
ENSMUSG00000053510,ENSMUSG00000053510,Nrd1,-0.017277147,7.37420614,0.03807957,0.845283449,0.943194754,230598,Nrdc,-0.017277147,FALSE
ENSMUSG00000021179,ENSMUSG00000021179,Nrde2,0.528673497,4.086664794,12.1287517,0.000496503,0.00861956,217827,Nrde2,0.528673497,TRUE
ENSMUSG00000042834,ENSMUSG00000042834,Nrep,-0.155268106,6.180233426,1.564341632,0.211030652,0.503453836,27528,Nrep,-0.155268106,FALSE
ENSMUSG00000058440,ENSMUSG00000058440,Nrf1,0.201920182,4.846829163,3.110722213,0.077778465,0.293718062,18181,Nrf1,0.201920182,FALSE
ENSMUSG00000062991,ENSMUSG00000062991,Nrg1,-0.616254878,3.330553765,11.06148512,0.000881395,0.013235555,211323,Nrg1,-0.616254878,TRUE
ENSMUSG00000060275,ENSMUSG00000060275,Nrg2,-0.078979025,2.601150111,0.150123726,0.69841715,0.877232295,100042150,Nrg2,-0.078979025,FALSE
ENSMUSG00000032311,ENSMUSG00000032311,Nrg4,-0.023843283,1.730485376,0.009324212,0.923074267,0.976168687,83961,Nrg4,-0.023843283,FALSE
ENSMUSG00000053310,ENSMUSG00000053310,Nrgn,0.139597244,3.999672984,0.386730662,0.53402293,0.784693258,64011,Nrgn,0.139597244,FALSE
ENSMUSG00000048490,ENSMUSG00000048490,Nrip1,0.121357087,5.674335264,1.202389616,0.272844594,0.576983311,268903,Nrip1,0.121357087,FALSE
ENSMUSG00000001520,ENSMUSG00000001520,Nrip2,0.066072976,0.188438663,0.040776525,0.8399699,0.941130971,60345,Nrip2,0.066072976,FALSE
ENSMUSG00000034825,ENSMUSG00000034825,Nrip3,-0.127340672,1.632740819,0.221445267,0.637940897,0.847164902,78593,Nrip3,-0.127340672,FALSE
ENSMUSG00000059791,ENSMUSG00000059791,Nrm,0.019508346,3.390876602,0.014258408,0.904951666,0.969273797,106582,Nrm,0.019508346,FALSE
ENSMUSG00000039114,ENSMUSG00000039114,Nrn1,1.410440493,4.562216117,32.18728071,1.40E-08,2.57E-06,68404,Nrn1,1.410440493,TRUE
ENSMUSG00000025810,ENSMUSG00000025810,Nrp1,0.080341891,8.670608177,0.554080129,0.456655332,0.735452285,18186,Nrp1,0.080341891,FALSE
ENSMUSG00000025969,ENSMUSG00000025969,Nrp2,-0.449492078,7.638649153,14.02058087,0.000180821,0.004096145,18187,Nrp2,-0.449492078,TRUE
ENSMUSG00000052384,ENSMUSG00000052384,Nrros,0.016486484,5.560836937,0.026258046,0.871271719,0.956434867,224109,Nrros,0.016486484,FALSE
ENSMUSG00000039481,ENSMUSG00000039481,Nrtn,-0.164492059,3.184125225,0.533457806,0.465156743,0.741455117,18188,Nrtn,-0.164492059,FALSE
ENSMUSG00000024109,ENSMUSG00000024109,Nrxn1,-0.948053507,0.640024129,6.609767034,0.010142093,0.078209798,18189,Nrxn1,-0.948053507,TRUE
ENSMUSG00000033768,ENSMUSG00000033768,Nrxn2,0.665669333,4.187366651,7.779908576,0.005283047,0.049573938,18190,Nrxn2,0.665669333,TRUE
ENSMUSG00000060739,ENSMUSG00000060739,Nsa2,0.173213265,5.535877168,2.246076269,0.133953678,0.397936835,59050,Nsa2,0.173213265,FALSE
ENSMUSG00000021488,ENSMUSG00000021488,Nsd1,0.123772829,7.388734395,1.341180911,0.24682582,0.546908487,18193,Nsd1,0.123772829,FALSE
ENSMUSG00000057406,ENSMUSG00000057406,Nsd2,-0.120099412,5.858067945,1.042877353,0.307153219,0.610117173,107823,Nsd2,-0.120099412,FALSE
