ID,X,Gene.name,logFC,logCPM,LR,PValue,FDR,gene,symbol,effectsize,signif
ENSMUSG00000041323,ENSMUSG00000041323,Ak7,0.188734987,4.983438666,1.91044564,0.166913765,0.380625002,78801,Ak7,0.188734987,FALSE
ENSMUSG00000026807,ENSMUSG00000026807,Ak8,0.005686432,3.048814097,0.000802072,0.977406227,0.991173072,68870,Ak8,0.005686432,FALSE
ENSMUSG00000091415,ENSMUSG00000091415,Ak9,0.320245466,2.990342847,2.42570935,0.119359201,0.308907561,633979,Ak9,0.320245466,FALSE
ENSMUSG00000018428,ENSMUSG00000018428,Akap1,-0.127707934,5.329534319,1.420249031,0.233362418,0.465348146,11640,Akap1,-0.127707934,FALSE
ENSMUSG00000047804,ENSMUSG00000047804,Akap10,0.056607335,5.077250449,0.26101129,0.609426235,0.793082481,56697,Akap10,0.056607335,FALSE
ENSMUSG00000022016,ENSMUSG00000022016,Akap11,0.222620206,6.986435443,5.303950054,0.02127712,0.096196243,219181,Akap11,0.222620206,TRUE
ENSMUSG00000038587,ENSMUSG00000038587,Akap12,-0.710867161,8.360710175,23.26174048,1.41E-06,5.02E-05,83397,Akap12,-0.710867161,TRUE
ENSMUSG00000066406,ENSMUSG00000066406,Akap13,0.268784354,8.581123472,4.903490732,0.026802464,0.112942478,75547,Akap13,0.268784354,TRUE
ENSMUSG00000036551,ENSMUSG00000036551,Akap14,0.224148548,2.503244401,1.098543257,0.294586021,0.532938232,434756,Akap14,0.224148548,FALSE
ENSMUSG00000059708,ENSMUSG00000059708,Akap17b,-0.397379824,2.945410513,3.480642191,0.062090639,0.2015403,338351,Akap17b,-0.397379824,FALSE
ENSMUSG00000038729,ENSMUSG00000038729,Akap2,0.008842708,4.139605324,0.003517694,0.952705077,0.97835723,677884,Pakap,0.008842708,FALSE
ENSMUSG00000021057,ENSMUSG00000021057,Akap5,0.000842049,9.200153166,4.20E-05,0.994831968,0.998888014,238276,Akap5,0.000842049,FALSE
ENSMUSG00000061603,ENSMUSG00000061603,Akap6,0.069424371,2.935095755,0.05474301,0.815006529,0.911443241,238161,Akap6,0.069424371,FALSE
ENSMUSG00000039166,ENSMUSG00000039166,Akap7,-0.207777758,4.954382935,3.144236235,0.076195666,0.229941896,432442,Akap7,-0.207777758,FALSE
