"gene1","gene2","correlation","module1","module2"
"ENSMUSG00000050296","ENSMUSG00000007122",0.587990979328378,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000026983",0.692487862422625,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000036731",0.577626327119128,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000026950",0.670866931956451,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000075217",0.502844373068571,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000027401",0.689149652076925,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000017697",0.651084734950747,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000017300",0.705035642106927,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000043165",0.688925421616033,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000045539",0.709006040085326,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000057609",0.603833091038711,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000027923",0.715551125943629,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000068890",0.685491439680589,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000042092",0.684009949722063,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000103243",0.692003158073507,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000068889",0.687518050981728,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000042124",0.668857440932496,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000027919",0.715551125943629,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000049593",0.715551125943629,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000068888",0.715551125943629,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000095870",0.715551125943629,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000059832",0.715551125943629,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000090314",0.715551125943629,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000054325",0.70122976150025,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000042031",0.715551125943629,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000045475",0.715551125943629,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000074433",0.715551125943629,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000068885",0.71555112594363,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000027913",0.707602066259877,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000027912",0.661505467644713,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000102439",0.715551125943629,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000041991",0.638509726727811,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000041984",0.654532968359264,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000027868",0.657704409014786,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000028464",0.557736001982173,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000028749",0.512413496080731,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000043430",0.610975720854423,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000039070",0.537929860639449,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000033508",0.657537291164827,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000030484",0.655679204738417,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000057454",0.649036365222398,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000063651",0.702319970585312,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000047586",0.581680180295238,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000053522",0.682696045890278,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000030592",0.635768963448579,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000046056",0.58285937049828,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000074199",0.710849444796974,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000030693",0.563384269017368,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000030730",0.628663242366219,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000030672",0.661932286316064,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000031097",0.706721964086454,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000061723",0.701258768604111,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000000031",0.697915350798439,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000005355",0.570845757388394,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000020216",0.512465351553025,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000020061",0.677168663614148,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000035923",0.591212297173147,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000059230",0.715551125943629,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000074156",0.571129343413283,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000031757",0.69375163600102,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000068697",0.662261576090025,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000043681",0.671618422591983,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000032262",0.563728211646466,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000059741",0.523756852923761,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000033196",0.678345424160127,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000056328",0.707139931125414,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000057003",0.671559606947085,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000055775",0.695733236487687,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000032807",0.646798467545191,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000017204",0.625672769981379,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000044041",0.705239470800092,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000020722",0.513153105500991,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000018862",0.607713284141417,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000033765",0.685558146309741,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000021506",0.536333204719189,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000059668",0.593995665344056,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000090356",0.679279641384206,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000034362",0.545482504106165,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000046748",0.508562380750913,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000062713",0.569888234977417,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000002500",0.549932077118924,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000092586",0.586882586649805,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000039269",0.666685787230997,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000025431",0.569790482406594,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000040694",0.547400425897083,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000059898",0.518382444232744,"brown","brown"
