"gene","kMEblue","kMEbrown","kMEgreen","kMEgrey","kMEred","kMEturquoise","kMEyellow","Gene.name","EntrezID"
"ENSMUSG00000032925",-0.872161366242936,-0.190827063569438,-0.196667644990141,-0.105819609533349,-0.210135198879913,0.891486477499411,-0.551581611405735,"Itgbl1","223272"
"ENSMUSG00000033066",-0.835224882016768,-0.00804531238905041,-0.288215314013834,0.00517147617953454,0.0322668476854744,0.85694014548023,-0.750052820718743,"Gas7","14457"
"ENSMUSG00000033152",-0.709848321164449,-0.325979624316262,0.0188662284653777,-0.342648951345956,-0.2333224572359,0.814980275945716,-0.603770974059124,"Podxl2","319655"
"ENSMUSG00000033174",-0.800705112504621,-0.43444984848248,-0.091316312255341,-0.200127557908448,-0.357717390791927,0.833465610473356,-0.424419910052437,"Mgll","23945"
"ENSMUSG00000033192",-0.873857864304054,-0.184360346756291,-0.207513036951337,-0.116372523195954,-0.230187625849883,0.890447240626244,-0.465291320117536,"Lpcat2","270084"
"ENSMUSG00000033200",-0.918401831468567,-0.318782884149784,-0.230509347033921,-0.0498247636076683,-0.145483198289379,0.946705069606721,-0.621309428629311,"Tpsg1","26945"
"ENSMUSG00000033213",-0.967351068767375,-0.231816668187973,-0.271496512874638,-0.0145383929793611,-0.156909686298491,0.979838349352797,-0.538594394189787,"AA467197","433470"
"ENSMUSG00000033287",-0.904975954986644,-0.211083537793861,-0.0679608168885655,-0.202398456422895,-0.331219909363817,0.927967224697978,-0.563099920478676,"Kctd17","72844"
"ENSMUSG00000033777",-0.928468539868512,-0.230070563715006,-0.400233176244738,0.112723779138194,-0.0575727775628798,0.934082434878138,-0.441929850871567,"Tlr13","279572"
"ENSMUSG00000033788",-0.931382162291216,-0.425864875011035,-0.1612572963815,-0.0701434440735975,-0.296339202984141,0.937389315370248,-0.388385305406601,"Dysf","26903"
"ENSMUSG00000033825",-0.920935413878124,-0.230554374185299,-0.10361060199388,-0.22940164302863,-0.287997972054098,0.970302346822072,-0.628719466617159,"Tpsb2","17229"
"ENSMUSG00000033880",-0.948076301680068,-0.263208125146377,-0.314837445239869,0.024320274980036,-0.0917815757156249,0.963690746476249,-0.524659137459816,"Lgals3bp","19039"
"ENSMUSG00000033981",-0.898097808918315,-0.221624845224338,-0.262843514957075,-0.0137831835698395,-0.180204998813796,0.922762618978405,-0.491016226898575,"Gria2","14800"
"ENSMUSG00000034387",-0.898499492773648,-0.202006574183194,-0.434902792956241,0.212459898619089,-0.0908723939312596,0.853367742770084,-0.259924531434912,"Ssu2","243612"
"ENSMUSG00000034457",-0.849468604602335,-0.132583466978792,-0.0620808485262204,-0.265932983789533,-0.246237970849629,0.896718422368957,-0.693431308723557,"Eda2r","245527"
"ENSMUSG00000034591",-0.830111100500584,-0.554930630747742,-0.0783000711903862,-0.177586184481679,-0.262274468552475,0.894412507532547,-0.516966978847343,"Slc41a2","338365"
"ENSMUSG00000034593",-0.951790419232143,-0.140006747229039,-0.337131765456919,0.033782337597097,-0.035484219123206,0.96380438815228,-0.628736384851774,"Myo5a","17918"
"ENSMUSG00000034648",-0.890045950497585,0.0599209191750482,-0.388520835491159,0.092996349452949,-0.029313660360321,0.895930626397544,-0.537392738217161,"Lrrn1","16979"
"ENSMUSG00000034652",-0.949574353920453,-0.163259432061773,-0.39793971788655,0.0538690935090613,-0.0638745726757378,0.962894963469938,-0.518188878648067,"Cd300a","217303"
"ENSMUSG00000034656",-0.927187703916517,-0.147719999363251,-0.410729121441234,0.101686363837254,-0.00204103319388724,0.931627477068671,-0.561930054924287,"Cacna1a","12286"
"ENSMUSG00000034675",-0.818962563454701,-0.343223715382924,0.112967895809443,-0.356769322958852,-0.383169456335478,0.879615151783485,-0.603232742354965,"Dbn1","56320"
"ENSMUSG00000034707",-0.929405697216597,-0.196452722058195,-0.363774462617506,0.106557853794816,-0.0988070283695265,0.915869841602144,-0.384676053489193,"Gns","75612"
"ENSMUSG00000034708",-0.950997965066358,-0.167035783676329,-0.319170768705601,0.0558477520613142,-0.169469450639336,0.933761518627988,-0.340885791180823,"Grn","14824"
"ENSMUSG00000034714",-0.932926283342621,-0.185377355096299,-0.291649974254143,-0.00370707539272015,-0.164077093701054,0.95055493649156,-0.470018379309605,"Ttyh2","117160"
