"gene1","module1","X88","X89","X90","X92","X93","X94","X97","X99","X101","X103","X104","X105","X108","X109","X110","Gene.name"
"ENSMUSG00000030148","turquoise",137,112,145,167,132,156,252,222,241,245,254,246,258,338,339,"Clec4a2"
"ENSMUSG00000030162","turquoise",466,338,328,483,581,442,759,730,587,753,719,1103,713,1319,1042,"Olr1"
"ENSMUSG00000030189","blue",2449,2181,2317,2316,1952,2291,3713,2055,2667,1587,1733,1764,3318,2180,2855,"Ybx3"
"ENSMUSG00000030203","grey",1499,1363,1070,1282,1139,1220,2270,1608,2090,1065,946,1130,2180,1856,2576,"Dusp16"
"ENSMUSG00000030208","turquoise",7317,5996,5461,6053,5054,5209,10243,7519,9822,6161,6021,6358,12057,8123,10867,"Emp1"
"ENSMUSG00000030214","turquoise",831,671,685,788,742,824,1489,1184,1418,1263,1136,1335,1613,1469,1829,"Plbd1"
"ENSMUSG00000030217","turquoise",305,267,269,387,288,336,624,538,502,501,543,570,581,631,727,"Art4"
"ENSMUSG00000030218","turquoise",6091,4405,4742,4708,4480,5839,10790,13397,12108,11113,11173,11825,13899,17418,17178,"Mgp"
"ENSMUSG00000030237","turquoise",2,3,2,0,1,2,13,18,41,50,58,62,46,71,95,"Slco1a4"
"ENSMUSG00000030246","blue",2728,2394,2876,2964,2311,2274,4624,2073,3127,1883,1917,2071,3586,2377,3601,"Ldhb"
"ENSMUSG00000030256","turquoise",398,266,311,538,652,542,876,711,653,1053,865,1070,699,1158,1197,"Bhlhe41"
"ENSMUSG00000030278","blue",516,446,504,596,466,556,1083,284,841,396,266,299,667,356,800,"Cidec"
"ENSMUSG00000030350","grey",90,149,206,118,119,78,273,100,134,77,78,112,153,162,135,"Prmt8"
"ENSMUSG00000030351","grey",1190,1409,2004,1262,1654,830,1746,1121,1522,732,1101,963,1814,1383,1226,"Tspan11"
"ENSMUSG00000030352","blue",5986,5074,4431,4846,3989,3568,6964,3769,5095,3426,3765,3737,6896,4291,5946,"Tspan9"
"ENSMUSG00000030399","brown",590,501,513,665,332,4039,1027,359,950,370,322,469,707,421,1274,"Ckm"
"ENSMUSG00000030411","grey",642,511,352,471,426,394,922,548,746,308,367,369,768,512,1011,"Nova2"
"ENSMUSG00000030433","brown",39,54,49,77,51,235,111,66,146,71,59,95,91,110,180,"Sbk2"
"ENSMUSG00000030470","grey",340,353,266,377,192,514,572,226,541,191,222,229,423,247,687,"Csrp3"
"ENSMUSG00000030484","brown",1,0,0,0,0,205,1,1,0,0,1,2,1,2,0,"Lypd5"
"ENSMUSG00000030495","blue",769,671,537,776,529,511,1221,438,608,438,428,325,733,381,833,"Slc7a10"
"ENSMUSG00000030546","grey",398,324,242,353,251,440,750,262,810,347,224,302,584,333,646,"Plin1"
"ENSMUSG00000030554","blue",3655,2880,2180,3328,2829,2863,5193,2399,4137,2347,2239,2267,4307,2529,4229,"Synm"
"ENSMUSG00000030562","turquoise",1069,853,876,1615,1253,1446,2739,1311,2242,1672,1470,1620,1902,1901,2505,"Nox4"
"ENSMUSG00000030577","turquoise",500,355,377,941,842,700,1378,692,592,972,837,806,828,994,892,"Cd22"
"ENSMUSG00000030579","turquoise",699,585,946,860,863,817,1489,1169,966,1161,1154,1398,1347,1723,1468,"Tyrobp"
"ENSMUSG00000030592","brown",77,58,80,106,101,808,168,89,86,104,101,94,112,118,139,"Ryr1"
"ENSMUSG00000030605","turquoise",5035,4376,5007,5290,4832,4217,8396,8472,6488,7551,6771,13132,8735,11166,8956,"Mfge8"
"ENSMUSG00000030609","turquoise",634,508,526,539,484,514,986,891,1038,678,725,863,1164,922,1268,"Aen"
"ENSMUSG00000030616","blue",482,451,418,665,532,424,956,416,560,337,367,299,551,373,602,"Sytl2"
"ENSMUSG00000030650","turquoise",88,81,86,106,123,70,232,231,261,215,163,223,376,196,310,"Tmc5"
"ENSMUSG00000030657","turquoise",167,114,138,245,183,182,441,311,267,293,324,394,344,441,434,"Xylt1"
"ENSMUSG00000030671","turquoise",502,420,312,533,482,466,836,666,956,508,494,507,802,781,1034,"Pde3b"
"ENSMUSG00000030672","brown",27,21,26,37,31,804,55,24,17,18,19,22,30,37,38,"Mylpf"
"ENSMUSG00000030683","turquoise",73,64,69,63,91,81,116,236,145,245,257,390,220,435,395,"Sez6l2"
"ENSMUSG00000030693","brown",8,11,11,11,12,103,17,16,14,13,21,11,18,14,28,"Klk10"
"ENSMUSG00000030711","blue",819,700,984,818,552,723,1539,665,772,551,734,568,976,850,1000,"Sult1a1"
"ENSMUSG00000030717","blue",2864,2063,2469,2263,1549,1634,3396,1934,2646,1594,1737,1600,3318,1959,2716,"Nupr1"
"ENSMUSG00000030730","brown",64,97,120,89,73,1584,178,63,117,100,109,92,95,75,145,"Atp2a1"
"ENSMUSG00000030737","turquoise",548,532,558,747,621,676,1327,860,943,1005,1163,1118,1021,1609,1459,"Slco2b1"
"ENSMUSG00000030747","brown",590,562,398,621,511,1011,1377,375,1203,629,433,418,764,596,1195,"Dgat2"
"ENSMUSG00000030772","turquoise",2255,1799,1530,2021,1380,1765,3368,2663,3482,2235,2067,2625,3507,2667,3797,"Dkk3"
"ENSMUSG00000030785","brown",377,286,274,326,220,453,477,242,399,202,208,270,333,256,488,"Cox6a2"
