"gene1","module1","X88","X89","X90","X92","X93","X94","X97","X99","X101","X103","X104","X105","X108","X109","X110","Gene.name","EntrezID"
"ENSMUSG00000078452","yellow",0,6,26,16,80,2,4,2,13,4,1,6,3,14,21,"Raet1d","56554"
"ENSMUSG00000019893","yellow",58,247,244,280,742,90,172,46,161,35,30,33,46,37,51,"Ros1","19886"
"ENSMUSG00000038602","yellow",5,20,49,40,68,17,19,9,23,6,6,14,15,9,23,"Slc35f1","215085"
"ENSMUSG00000020080","yellow",207,267,345,277,411,185,396,248,314,192,238,286,343,385,340,"Hkdc1","216019"
"ENSMUSG00000020057","yellow",5712,6168,7467,8565,10046,6118,10767,6504,8395,6339,7144,7875,8451,9236,8770,"Dram1","71712"
"ENSMUSG00000020183","yellow",3630,3916,3984,4921,5204,3320,5666,2136,3944,2172,2456,2539,4234,2522,3337,"Cpm","70574"
"ENSMUSG00000044433","yellow",440,527,522,529,787,417,743,435,537,330,406,462,577,387,522,"Camsap3","69697"
"ENSMUSG00000059463","yellow",10,5,9,11,24,15,1,3,1,2,1,3,0,1,0,"Spag11b","546038"
"ENSMUSG00000090137","yellow",2299,1955,3048,2763,2607,2286,3975,2312,2747,1888,2002,2159,3219,2397,3211,"Uba52","22186"
"ENSMUSG00000034472","yellow",138,163,224,227,438,198,308,152,193,167,163,213,246,235,264,"Rasd2","75141"
"ENSMUSG00000021789","yellow",48852,55694,74899,71980,94685,49958,91825,56127,77547,60184,58617,68546,82271,79147,78276,"Sftpa1","20387"
"ENSMUSG00000021795","yellow",8761,10329,16641,12937,19161,9265,17529,11754,13631,11731,11534,14658,16117,16552,15612,"Sftpd","20390"
"ENSMUSG00000021876","yellow",4262,4490,5779,5670,6244,4078,7918,4060,6124,4102,4089,4613,6493,5586,7062,"Rnase4","58809"
"ENSMUSG00000072115","yellow",170,220,226,198,257,113,233,111,169,132,132,144,217,207,227,"Ang","11727"
"ENSMUSG00000053093","yellow",2874,2449,2920,3807,4933,3400,4445,1827,2949,2020,1920,2137,2711,2139,3102,"Myh7","140781"
"ENSMUSG00000022156","yellow",0,0,19,4,17,0,2,5,7,3,1,3,0,0,1,"Gzme","14942"
"ENSMUSG00000048582","yellow",6,24,64,44,93,6,16,4,24,7,4,9,6,9,12,"Gja3","14611"
"ENSMUSG00000046352","yellow",76,116,132,124,179,168,159,81,97,57,70,82,110,69,106,"Gjb2","14619"
"ENSMUSG00000040055","yellow",116,110,167,157,152,87,234,63,104,45,59,56,129,93,82,"Gjb6","14623"
"ENSMUSG00000022037","yellow",3764,3827,5828,6402,9480,3563,6855,5205,7068,4787,3935,5833,6761,5455,7733,"Clu","12759"
"ENSMUSG00000034248","yellow",1147,1282,1142,1536,1743,1005,2331,724,1232,777,848,878,1184,772,1682,"Slc25a37","67712"
"ENSMUSG00000022097","yellow",194941,212042,302202,260764,371588,213236,338954,180281,266127,197077,211042,236735,284790,300666,270931,"Sftpc","20389"
"ENSMUSG00000033595","yellow",3422,3566,4026,4393,5470,3495,5337,2551,3714,2820,3271,3587,4059,4235,3964,"Lgi3","213469"
"ENSMUSG00000022114","yellow",1152,1061,1284,1302,1465,1157,1922,868,1254,847,910,1157,1415,1035,1580,"Spry2","24064"
"ENSMUSG00000001943","yellow",324,340,482,455,632,339,671,250,296,172,212,281,321,212,422,"Vsig2","57276"
"ENSMUSG00000032202","yellow",1213,1260,1797,1833,2016,998,1843,1084,1347,885,1003,1080,1496,1160,1182,"Rab27a","11891"
"ENSMUSG00000032357","yellow",171,146,144,136,183,113,162,63,127,80,90,99,130,140,128,"Tinag","26944"
"ENSMUSG00000032359","yellow",5122,5171,8750,7169,9878,4691,7683,5662,7001,5203,5641,6294,8222,7446,7668,"Ctsh","13036"
"ENSMUSG00000032554","yellow",1820,2270,4124,3887,6560,1599,3089,1929,3084,2042,2020,2148,2750,2869,3259,"Trf","22041"
"ENSMUSG00000041012","yellow",545,488,617,602,629,420,802,353,603,381,414,444,712,517,670,"Cmtm8","70031"
"ENSMUSG00000039115","yellow",1711,1593,2147,2021,2800,1659,2771,1898,2576,1763,1777,2004,2863,2466,2788,"Itga9","104099"
"ENSMUSG00000025786","yellow",3994,3989,4699,4964,5992,3621,6478,4021,5742,4058,4076,4502,5882,4956,5439,"Zdhhc3","69035"
"ENSMUSG00000011256","yellow",1467,1497,1499,1977,2467,1295,2658,1427,2042,1619,1821,1951,2075,1925,2260,"Adam19","11492"
"ENSMUSG00000020679","yellow",341,337,328,490,662,302,569,266,387,312,290,374,431,329,454,"Hnf1b","21410"
"ENSMUSG00000019312","yellow",706,604,750,763,911,570,1024,475,693,501,511,555,848,640,805,"Grb7","14786"
"ENSMUSG00000006777","yellow",471,485,602,518,822,433,615,304,484,326,309,392,576,429,510,"Krt23","94179"
"ENSMUSG00000035112","yellow",211,245,316,320,399,215,461,171,285,193,194,263,259,209,328,"Wnk4","69847"
"ENSMUSG00000017724","yellow",19,62,104,94,189,49,45,89,60,70,50,54,64,49,93,"Etv4","18612"
"ENSMUSG00000000567","yellow",17,37,82,103,251,20,38,9,53,19,18,12,32,18,32,"Sox9","20682"
"ENSMUSG00000039114","yellow",579,575,652,746,1135,455,789,221,374,250,203,214,428,296,483,"Nrn1","68404"
"ENSMUSG00000021556","yellow",1149,1163,1823,1921,3023,1148,2044,1524,1997,1465,1430,1707,1998,1835,2025,"Golm1","105348"
"ENSMUSG00000021456","yellow",136,221,390,326,484,205,268,229,214,162,191,247,238,243,275,"Fbp2","14120"
"ENSMUSG00000021608","yellow",7256,8002,9794,11610,13444,7895,12124,8230,10115,8177,8935,10512,11596,12401,10599,"Lpcat1","210992"
"ENSMUSG00000020609","yellow",28,40,261,55,855,8,167,18,85,16,20,30,63,36,49,"Apob","238055"
"ENSMUSG00000020566","yellow",420,557,677,853,985,586,1069,545,788,569,723,734,714,845,913,"Atp6v1c2","68775"
"ENSMUSG00000020644","yellow",1062,1053,1621,1633,2247,1042,1706,1047,1521,1308,1076,1283,1437,1351,1754,"Id2","15902"
"ENSMUSG00000021062","yellow",516,627,806,768,1138,511,893,590,774,540,538,686,907,789,754,"Rab15","104886"
"ENSMUSG00000021125","yellow",69,114,286,156,336,66,163,111,152,82,141,94,135,142,125,"Arg2","11847"
"ENSMUSG00000021187","yellow",338,535,579,833,1012,435,728,554,627,545,475,674,631,722,753,"Tc2n","74413"
"ENSMUSG00000040856","yellow",16,619,3453,3688,8266,16,236,150,1604,126,81,68,167,60,286,"Dlk1","13386"
"ENSMUSG00000021268","yellow",316,1333,1840,1593,5007,170,635,245,796,198,300,272,248,157,555,"Meg3","17263"
"ENSMUSG00000097451","yellow",135,510,788,659,1957,105,224,97,361,100,107,96,134,115,248,"Rian","75745"
"ENSMUSG00000097391","yellow",17,36,50,31,95,5,19,7,12,6,12,6,9,3,24,"Mirg","100040724"
"ENSMUSG00000051225","yellow",22,49,104,108,205,24,29,41,80,61,35,66,54,62,50,"Fam83a","239463"
"ENSMUSG00000023031","yellow",15,19,75,40,96,12,42,39,42,47,38,39,43,51,47,"Cela1","109901"
"ENSMUSG00000041247","yellow",7582,8224,9775,10235,14313,8147,13744,8174,11429,8949,8344,10986,11985,12611,13075,"Lamp3","239739"
"ENSMUSG00000038094","yellow",313,396,435,476,860,326,590,282,453,267,332,258,431,307,530,"Atp13a4","224079"
"ENSMUSG00000022780","yellow",1,9,28,20,99,1,5,3,13,5,0,5,7,3,4,"Meltf","30060"
"ENSMUSG00000035638","yellow",172,226,303,302,554,238,395,273,370,313,314,348,339,329,366,"Muc20","224116"
"ENSMUSG00000045027","yellow",17,37,151,74,165,14,35,47,63,26,25,14,34,19,41,"Prss22","70835"
"ENSMUSG00000047507","yellow",268,264,306,363,442,270,483,139,241,150,181,184,258,200,293,"Baiap3","545192"
"ENSMUSG00000024365","yellow",3,6,24,15,37,0,2,2,8,0,1,6,1,1,2,"Cyp21a1","13079"
"ENSMUSG00000064120","yellow",878,899,1172,1308,1385,874,1732,981,1074,888,1054,980,1224,1136,1236,"Mocs1","56738"
"ENSMUSG00000035678","yellow",66,129,229,98,235,60,113,115,146,79,68,63,196,99,176,"Tnfsf9","21950"
"ENSMUSG00000052105","yellow",2913,2586,2327,2968,3352,2285,4160,1789,2684,1897,2094,2370,3461,2303,3292,"Mtcl1","68617"
"ENSMUSG00000045394","yellow",1921,1602,2115,2165,2464,1830,2988,1553,2265,1668,1509,1685,2587,1859,2498,"Epcam","17075"
"ENSMUSG00000024268","yellow",62,96,180,112,205,56,117,89,92,91,71,69,75,92,112,"Celf4","108013"
"ENSMUSG00000024774","yellow",2,10,28,17,57,15,7,5,10,5,2,5,7,4,5,"Ankrd22","52024"
"ENSMUSG00000024986","yellow",493,457,583,655,720,418,908,379,516,440,335,492,566,385,712,"Hhex","15242"
"ENSMUSG00000024990","yellow",454,374,570,450,791,351,741,274,557,307,330,377,508,358,615,"Rbp4","19662"
"ENSMUSG00000025207","yellow",77,104,108,142,293,89,170,106,165,96,102,120,115,127,169,"Sema4g","26456"
"ENSMUSG00000025075","yellow",6,13,60,28,188,6,15,11,22,10,8,6,14,18,20,"Habp2","226243"
