"gene1","module1","X88","X89","X90","X92","X93","X94","X97","X99","X101","X103","X104","X105","X108","X109","X110","Gene.name","EntrezID"
"ENSMUSG00000018001","blue",5433,4745,4827,5769,4530,4166,8950,3897,6109,3727,4137,3253,7112,3825,6327,"Cyth3","19159"
"ENSMUSG00000029641","blue",549,513,629,599,459,376,782,496,620,294,445,331,792,489,563,"Rasl11a","68895"
"ENSMUSG00000092035","blue",153,126,83,106,148,76,138,64,141,61,60,32,101,50,112,"Peg10","170676"
"ENSMUSG00000002588","blue",1128,699,812,936,635,699,1452,666,1034,623,627,501,1119,710,1127,"Pon1","18979"
"ENSMUSG00000000058","blue",7364,5711,6123,7733,5844,6090,11946,4951,8198,5583,5101,4871,9103,5959,8596,"Cav2","12390"
"ENSMUSG00000007655","blue",26003,21154,21277,26452,20390,22539,41446,18003,28108,17680,17839,16332,31897,20648,30761,"Cav1","12389"
"ENSMUSG00000041301","blue",521,508,354,621,418,373,869,248,623,255,252,326,549,331,497,"Cftr","12638"
"ENSMUSG00000017978","blue",1161,868,804,1227,944,961,1700,684,1122,691,651,596,1254,688,1137,"Cadps2","320405"
"ENSMUSG00000079654","blue",210,161,180,208,124,105,328,131,148,141,125,121,221,104,130,"Prrt4","101359"
"ENSMUSG00000003500","blue",2850,2693,2840,3618,2823,2129,5139,2207,3303,2323,2276,2277,4049,2377,4228,"Impdh1","23917"
"ENSMUSG00000043421","blue",1346,1280,2098,1984,1200,1406,3177,867,1411,637,739,729,1653,649,1416,"Hilpda","69573"
"ENSMUSG00000029772","blue",3581,3111,3101,2675,2566,1865,3983,1997,3210,1674,1864,1857,3866,2184,2678,"Ahcyl2","74340"
"ENSMUSG00000038871","blue",1271,1154,990,1648,1112,1134,2754,806,1417,1160,1090,1132,1434,1005,1692,"Bpgm","12183"
"ENSMUSG00000029864","blue",723,590,715,768,625,625,1139,439,690,479,479,443,790,550,781,"Gstk1","76263"
"ENSMUSG00000029859","blue",504,441,449,611,668,636,1021,351,589,488,420,343,591,477,755,"Epha1","13835"
"ENSMUSG00000079560","blue",206,187,138,245,197,184,373,146,165,139,140,132,206,86,201,"Hoxa3","15400"
"ENSMUSG00000038253","blue",1034,929,1076,1216,902,921,1793,561,841,652,538,587,1063,476,1011,"Hoxa5","15402"
