gene1	module1	X88	X89	X90	X92	X93	X94	X97	X99	X101	X103	X104	X105	X108	X109	X110	Gene.name	EntrezID
ENSMUSG00000027227	turquoise	638	607	640	1132	1107	1159	2082	1332	1454	1678	1468	1645	1399	1842	2087	Sord	20322
ENSMUSG00000027199	turquoise	594	588	586	720	586	516	1198	1182	1467	1162	1226	1266	1698	1500	1979	Gatm	67092
ENSMUSG00000033213	turquoise	4	6	5	3	8	7	21	38	25	49	46	76	40	59	52	AA467197	433470
ENSMUSG00000027204	turquoise	2631	2343	1763	2530	1690	1675	3892	3136	3382	2927	2807	3973	3854	3563	4321	Fbn1	14118
ENSMUSG00000027360	turquoise	1671	1952	2906	1908	3399	1053	2474	3236	3831	3068	2858	3780	5292	4045	5427	Hdc	15186
ENSMUSG00000027375	turquoise	587	554	654	721	808	650	946	706	808	726	792	1033	1045	1113	1011	Mal	17153
ENSMUSG00000014361	turquoise	1603	1374	1602	1889	1425	1368	3205	2107	2390	2098	2429	2254	2581	3068	3201	Mertk	17289
ENSMUSG00000037902	turquoise	3051	2534	2770	3559	3702	3166	6076	4688	4848	5040	4828	5256	5900	6918	6620	Sirpa	19261
ENSMUSG00000027400	turquoise	2	1	3	4	2	1	1	44	19	34	18	48	23	49	19	Pdyn	18610
ENSMUSG00000027408	turquoise	464	392	423	408	394	481	881	1395	1081	1061	1071	1147	1406	1490	1555	Cpxm1	56264
ENSMUSG00000027322	turquoise	597	642	504	864	861	675	1188	954	992	1237	1276	1385	1120	1816	1561	Siglec1	20612
ENSMUSG00000079037	turquoise	3517	3096	3887	4077	4522	3697	6195	4983	5930	5067	4702	6094	6698	6514	7001	Prnp	19122
ENSMUSG00000027338	turquoise	8	5	10	2	8	7	20	84	47	58	79	76	93	113	117	Prnd	26434
ENSMUSG00000027339	turquoise	1821	1448	1319	1448	1231	1369	2522	2048	2338	1564	1750	1899	2624	2473	2905	Rassf2	215653
ENSMUSG00000027346	turquoise	987	987	1014	1638	1319	1273	2458	1376	1422	2029	1991	2051	1659	2236	2344	Gpcpd1	74182
ENSMUSG00000085071	turquoise	188	188	143	184	123	150	310	279	383	286	282	291	417	320	413	Gm14066	545466
ENSMUSG00000074766	turquoise	2183	2033	1893	1849	1535	1732	3480	3273	3690	2990	2914	3044	4337	3932	4394	Ism1	319909
ENSMUSG00000032046	turquoise	1419	1180	1439	1824	1719	1572	2936	2118	2233	2357	2439	2527	2556	3549	3069	Abhd12	76192
ENSMUSG00000032802	turquoise	509	502	516	650	510	558	1213	844	1022	771	812	839	1129	908	1144	Srxn1	76650
ENSMUSG00000027470	turquoise	4	5	4	4	3	44	9	28	6	33	21	45	43	49	20	Mylk2	228785
ENSMUSG00000038572	turquoise	310	303	400	399	366	348	621	521	453	486	585	466	596	668	538	Bpifb5	228802
ENSMUSG00000027611	turquoise	98	100	120	102	123	112	228	346	272	328	303	451	400	519	488	Procr	19124
ENSMUSG00000074622	turquoise	393	337	317	443	409	374	852	700	757	669	665	971	813	952	1061	Mafb	16658
ENSMUSG00000053141	turquoise	74	57	40	44	49	46	71	146	84	96	56	85	103	80	127	Ptprt	19281
ENSMUSG00000042845	turquoise	3	5	3	9	5	48	32	29	24	53	34	56	24	32	56	Wfdc12	192200
ENSMUSG00000017002	turquoise	1064	1148	1521	1187	1823	2455	2473	1900	1549	1804	1487	1650	2274	2151	2737	Slpi	20568
ENSMUSG00000017007	turquoise	838	1028	966	1481	1659	1025	2013	1080	1443	1100	1490	1736	1413	1497	1814	Rbpjl	19668
ENSMUSG00000017760	turquoise	3634	3023	3668	4205	4214	3632	7146	5391	5034	5565	5266	6541	6381	7609	7688	Ctsa	19025
ENSMUSG00000017929	turquoise	1302	1018	1010	1082	1080	1049	2066	1562	1744	1409	1344	1599	2077	2020	2472	B4galt5	56336
ENSMUSG00000038400	turquoise	1182	1147	1049	943	1148	801	1702	1655	1812	1385	1292	1737	2296	1855	2321	Pmepa1	65112
ENSMUSG00000016256	turquoise	2909	2400	3091	3266	3510	2864	5456	5489	4005	5239	5155	7085	5661	8286	6603	Ctsz	64138
ENSMUSG00000031167	turquoise	2114	2189	3022	3745	3114	3713	6685	3870	4650	3730	4054	3833	4432	4070	4179	Rbm3	19652
ENSMUSG00000015340	turquoise	3845	2995	3293	4746	4720	4119	8343	5533	4461	6665	5999	7080	5638	9185	7284	Cybb	13058
ENSMUSG00000031007	turquoise	1874	1498	1696	1884	1761	1628	3260	2369	2718	2251	2215	2593	3126	3050	3456	Atp6ap2	70495
ENSMUSG00000040229	turquoise	71	57	67	123	56	79	148	108	136	192	135	164	159	137	169	Gpr34	23890
ENSMUSG00000001131	turquoise	95	29	53	34	64	46	71	191	137	140	100	209	197	176	162	Timp1	21857
ENSMUSG00000001128	turquoise	380	312	312	314	352	319	680	510	580	504	477	647	711	679	822	Cfp	18636
ENSMUSG00000036502	turquoise	32	26	19	33	35	29	72	81	77	45	88	88	59	119	106	Tmem255a	245386
ENSMUSG00000037010	turquoise	1426	1262	1217	1503	1378	1384	3242	2088	3210	2055	2460	2017	3985	2635	4162	Apln	30878
